작성자,내용,추천수
JYLee-iv6dz,제발 이 끔찍한 상황이 더 이상 발생하지 않도록 가해자 좀 엄벌해주세요.,30
alexpark8557,고인의 명복을 빕니다.. 정말로 안타까운 일이 재발하다니 이것은 고쳐져야 한다고 생각합니다. 제발 자세하게 조사되어 근본적인 문제가 해결되어야 한다고 생각합니다. 유가족분들에게 미안한 마음을 전달하고 싶습니다.,0
ila2409,처벌을 제대로 안 하니까 피해자가 계속 나옵니다.,44
user-np6in1vf7u,더이상 이런일이 반복된다면 가담한 분들과 방조한 분들은 책임을 져야 할겁니다,0
woooooo8694,도대체 어디까지 피해를 봐야 이 나라가 정신 차릴까…,28
user-np6in1vf7u,얼마나 끔찍하고 수치스러움을 격었으면 계속 자기 귀한 목숨을 희생하겠습니까!,0
whyzzy2683,내 이럴줄 알았다!!!!! 당시 최고 책임자들 태도가 건성이었음!!!!(삼가 명복을 빕니다 ㅠㅠㅠㅠㅠ),1
user-rv7us9if3e,처벌을 그따위로 하니까 2차 피해자가 속출하는거잖아 진짜 공군을 싹 갈아 엎어야 된다 이정도면,25
user-np6in1vf7u,자꾸 반복 되나는거는 서로 암묵적으로 즐기려 하는 일종의 병입니다,0
user-od4tm1er5d,"공군 왜이러냐? 나 복무때는 허구한날 성범죄예방 교육하면서 여군한테는 농담도 조심하라고 다들 경각심 엄청났는데. 그덕에 <우린 의무복무도 아닌데 자원해서 온건데, 우리가 남군이랑 똑같이 일하는건 불공평하지 않나요?>라고 얘기하는 군인자격도없는 일부여군들이 분탕치고 장기되기도 했지만",4
user-vc2gg9py4l,폐지보다는 그냥 이 부대에 여군을 받지말자,8
user-jo9ni4fl9l,이부대는 음기가 가득한 터인가 왜 이러지?,15
ranew5415,이예람 중사 가해자는 증거가 명백한데도 7년받고 항소넣었던데.. 이건 뭐 증거 안나오면 큰일이겠구만,11
user-lz8fq3pd1y,두말할것없이 부대장위로 파면 시키고 부대없애라.,11
user-np6in1vf7u,이번일은 군대가 아닌 국가 사법부에서 나서야 합니다,0
user-np6in1vf7u,이번사건은 군대내에서 벌어진 n번방 사건있니다 조속히 수사에 착수해 주세요,0
user-kw7qy5mu6e,원인 확실히 밝혀라,15
user-im7px4ty2m,"앞전에 처벌이 미비 하니 또 이런 사태가 발생하니, 국방부가 문제여",0
hyunwookbaik6743,이부대 폐기시켜라,28
user-np6in1vf7u,누군가 이런일을 계속 벌이고 있다는 겁니다,0
flower8264,조사좀 제대로 했으면. 너무 화나요,1
chickim7299,"군 관계자 손대지 말고, 경찰이 직업투입해서 조사해라.",2
user-ws4kf5om6v,팩트 : 군수사를 군검찰이 해서 이런일이 또 생긴거다.,5
user-wk4by9ty8u,나라야! 대체 언제 이 끔찍한 굴레에서 벗어나게할꺼냐!!,0
user-np6in1vf7u,이런일이 반복된다는것은 조사관들을 개 무시 한거나 아님 서로 동조했다거나 둘중 하나 아닌가요?,0
user-qv5jb1pd7e,인하대에.. 공군에.. 참 ㅋㅋㅋㅋ 이 나라 돌았네 ㅋㅋ,9
user-np6in1vf7u,당신들 딸이나 여동생이 똑같이 겪는다고 생각해 보세요,0
user-sq9dr2kc5s,해체하라,8
kwalchi8059,우째 지 딸뻘되는애들 건들이고 싶을까 짐승인가?,0
user-dl2ho2ht3v,뭔 변퇴부대냐??? 걍 부대해체해라... 세금이 아깝다 ㅜㅜ 에휴...,0
user-yc5oy9fm3o,아... 아가... ㅜㅡㅡ,1
user-dz5jf3jl1b,부대 자체를 해채해야겠네.,3
user-np6in1vf7u,지금 20비행단에서 하는 것은 n번방이 해던 거와 거의 유사한 범죄입니다,0
user-ym8yf2ls8r,대체 왜 이러는건데요???,6
user-np6in1vf7u,아님 성추행이 만연해 서로들 이게 잘못되었다고 생각을 못합니까,0
MrJoongwook,"예전에 문재인 대통령은 이런 일 있을 때마다 관련 인사들 호되게 야단치고, 장례식장에도 다녀 갔었다. 윤깡통은???? 제헌절 날 공식행사 참석은 안 하고, 쓸데없이 머드축제에나 놀러가서 교통마비나 일으켰지. 정말 비교된다!!!!!!!!!",14
user-np6in1vf7u,제발 이제는 그만 하세요 자기 딸이나 여동생 이면 할까요?,0
user-to4uo5xm3i,원인이 안나왔잖아요,0
user-td2np1sb4n,장교들 중성화시켜야겠노,17
taiheepark1052,공군 여군,4
jinshiksung,구조적 문제임,4
user-np6in1vf7u,군대이니까 말을 못해서 그렇지,0
user-ws3hq3ig9q,유서 숨긴것 아니겠지,1
qlxk62,여자라서 당했다.. 연대하자 우리...,3
pass2863,검사가 대통령 하면 뭐하냐,13
user-ui7id8jk1z,요즘 왜이러냐,0
user-np6in1vf7u,뒷배가 아주 철갑인가 보네요,0
user-ft7nh3ce2y,남군은 사람도 아니냐? 남자는 강제로 끌려가서 죽어도 언급도 안되네,7
user-qx3uj3jl3x,진짜 20전투비행단은 개 노답임 진짜 11비랑 19비가 더 나음,0
lenandsun,공군 20전투 성추행단이냐?,1
user-omfgqgq,저기는 대체 뭐하는 곳임?,0
user-th7et6yq9b,여성들사이에 여군 차별없이 좋다고 인기직종인데.. 왜지?,0
user-dx1zz2zt2s,문재인 소환해요.,7
