작성자,내용,추천수
user-or7zd4zy4z,"예람씨 부디 좋은곳에서 영면하시길 기도합니다,",3
user-vn1uj4zd4o,삼가 고인의 명복을 빕니다.,0
user-xx8or5pb9m,가해자보다 조작은패 한놈들이 문제네 은패 조작 관련자들 파면 등 법이허용하는 최고형으로 내리길 기대합니다 다시는 저런일없게?,8
inhov8803,"가해자는 당연히 처벌 받아야 마땅하지만; 성폭력, 성희롱, 언어폭력, 구타, 비리 등을 적극적으로 공개적으로 조사하고 고발하는 지휘관들은 포상과 특진을 해주어야 근본적 해결이 가능해질 것이다.",3
mddm45,삼가고인의 명복을 빕니다,1
courant9390,관행 핑계 대지말고 관련자를 엄벌하라,3
alreadylemon,"가해자들 다 죽여라. 1차 가해자, 2차 가해자, 은폐하려 한 자들, 증거 없앤 자들 전부 사형해야 한다.",0
hooseoklee6064,고생하셨습니다!,2
user-yi4rp7el3o,"다 중징계로 검찰에 넘겨라. 성추행을 한 군인과 징역형을 깎은 군인도 재수사하여 공정성 과 진실이 무너지지 않게 하라. 공정과 진실은 드러나게 되어 있고, 그 힘은 무엇보다 강하다.",0
dave6261,지난 5년간의 정부는 한게 아무것도 없었다,8
user-jb9bu1pz3f,죽지말고버텼으면 좋으련만 꼭 사람이 죽어야 해결을 하는지?,2
unclevane8271,지난 정부는 한일이 대체 무엇???,2
strengthyung8392,계급사회의 비리,3
konda586,삼가 고인의 명복을 비비디바비디부,1
TV-jp4xm,군대는 남자만 가는걸로 합시다.,0
osntxe,여군 없애 제발. 여군이 왜 필요해.,4
