작성자,내용,추천수
oliviajjiny1608,이렇게 밝혀줄려는 사람 한명 한명이 모여서 유가족들이나 고인되신 분들의 억울함과 원통함의 1%라도 위안이 되지 않을까...같은 시간을 살아가고 있는사람으로써 너무 가슴아픈일들이 많은 지금인것같다...,30
user-fw9yd5ht9h,젊고 패기넘치는 소중분들의 희생이 너무나 안타깝습니다 그들의 죽음이 헛되지않도록 재발방지에 힘써주시기를 간절히 바랍니다,45
user-pd1xr2op1n,"안보, 국방참사에 말 한마디 못하는 국방부 한심 ㅉㅉ 뉴스타파 진실보도 응원합니다.",48
jijikik8088,모든 군인들의 희생에 애도를 표합니다. 국가는 그들에게 무엇이었는지 되묻게 됩니다!,42
user-fs6ce1gx6n,참ᆢ우리가 몰라서 그렇지 국방부라고 별수 있겠어요 비일비재 할거란걸 짐작만 했을뿐이죠 저는ᆢ부승찬님 존경스럽습니다,47
msp1861,공군 출신 이었군요. 후배님 자랑 스럽습니다. 천공 출현은 꼭 밝혀서 이 땅에 정의를 바로 세웁시다.,36
user-bu7bt7nw9q,독재정권 후안무치 검찰공화국 에서 시민으로서 뉴스타파가 방송 애청하면서 정의로운 애국자이신 뉴스타파 연론님들 존경드립니다,15
user-tm6it1ir8p,"하... 먹먹하다 고 이예람중사, 고 변희수하사. 죽지 않았어도 될 고인들. 군인이 좋아 단지 나라지키러 갔을뿐인데 적이 가장 가까운 주변사람 있었으니 누가 상상이나 했을까.",37
user-im1uu6br3e,들었던날 사고도 있었어서 더 잊을수도 없겠어요 ㅠㅠ,29
user-gb5ul1cs4i,군에 연대 책임을 물어서 그런가? 군검찰? 군에도 썩은 물이 흐르고 있군 부승찬님과 뉴스타파 응원합니다 홧팅!,27
user-vp6du4jh8u,용기에 대하여 감사합니다,22
user-oh8xy9nm2k,뉴스타파응원합니다ㆍ 부승찬박사님을응원합니다. 진실을향해서 국민과함께갑시다,17
lou1679,부 대변인님 정말 고맙습니다 언젠가 반드시 나랏일에 크게 쓰임 받길 진심으로 기원합니다,10
cecilialee5096,부승찬 대변님 국회로 가셔서 진정한 대한민국 국회의원이 되셔야만 합니다,5
user-zl7rd4wx1z,"군, 검찰… 제 식구 감싸기는 제 살 깍아먹기인 줄 알아야한다. 공직에 오르면 정의와 양심은 없어지는가?",16
jjy8467,전 제자신에게 백프로 확신합니다. 제가 이중사와 같은 부대의 고참이나 동료였다면 이중사가 자결하는 걸 방치하는 일은 없었을 겁니다. 그래서 화내고 이렇게 댓글을 남기고 있는거겠죠.,16
user-rl1pp7zq5r,부승찬 박사님! 정의로우십니다.끝까지 응원하겠습니다.,3
oiuytrewqkjhhgf,뉴스타파 응원합니다,32
user-pd3ps2xm4h,부승찬 대변인님 감사합니다. 응원합니다!!!!!!!!!!!!!,20
user-jm3et9xx9n,왜 군검찰과 경찰이 필요한가.. 군인이전에 사람이다.. 상명하복의 체계에서 어떻게 그 수사를 진행 할 수 있을까!! 하루 빨리 민간에서 수사 해야 한다. 군 검찰 수사기관은 수사의 주체가 될 수 없다.,13
YUZAx2,"하.. 진짜ㅜㅜ 국가를 위해 소중한 생명을 희생하신 군인분들 한 분 한 분의 넋을 위로합니다. 감사드립니다 ㅜㅜ 국방부, 군검찰, 군판사, 군고등법원은 변해야 할텐데...",1
lesliewoo3762,놀라울 뿐입니다. 군에서 억울한 죽음이 이렇게 많은줄은 상상도 못했네요. 부승찬님의 폭로로 숨겨진 사실들도 알려지고 억울하고 아픈 죽음을 막을수 있으면 좋겠네요.,1
user-mk4jw7qe5s,개검도 그렇고 군도 그렇고 중이 지머리 못깎는 법. 평시에는 군 사법부 기능 없애야 함.,21
user-sr5bg6wr7h,부승찬 전 국방부 대변인이 저술한 ‘권력과 안보’를 읽어봐야 할 것 같습니다. 또한 군에서 벌어진 많은 의문사와 죽음이 있었던 사실이 너무 비극적으로 다가옵니다. 뉴스타파 감사합니다. 또한 응원하겠습니다.,1
user-pd3ps2xm4h,뉴스타파가 있어서 다행입니다. 감사합니다.,7
user-hx6gb5ej5w,용기내어 진실을 밝히신 부승찬 전대변인님 감사합니다,1
user-wq3kd8mj4g,부승찬님 응원합니다. 뉴스타파 응원합니다,1
user-bb4bi8rv7h,하여튼 이 늠의 나라 더민주 니네 진짜 정신 챙기고 밀어 준 만큼 일 좀 해라.,15
user-jz2he5bj9j,이보다 훨씬 전 의문스런 사고로 유명을 달리한 많은 군인들의 명복을 빕니다. 그리고 진짜 사유가 밝혀지길. 언젠가는.,1
user-xq9zw4oc8v,군 / 검찰 .. 정의가 없구나,7
kes167340,"육해공 중에서도 공군이 유독 구타, 가혹행위, 자살,성폭행 사고가 유독 많은건 공군을 장악하고있는건 100%가 공사출신들. 중령이상 계급은 99%가 공사출신들. 젤 문제임. 공군 내부의 부정부패를 비판, 견제할수 있는 세력이 없음. 완전 기형적인 구조임.",4
dharma4583,군비리를 누가 당해낼수 있을까? 그나마 진실이라도 알려주셔서 다행입니다,1
user-kv8bo9xm9e,대한민국에 모든비리는 공무원들로부터 시작입니다.,6
gumsoonkang9551,"용감한 선택에 경의를 표합니다. 우리모두가 속고 살고 있습니다. 국민도 알지만....정치인들이 대신 잘 해주기를 바랄뿐인데....부패 권력, 기득권 앞에서 아까운 힘없는자만 죽어 나가내요.",0
jolie12346,항상 누군가 죽어야만 조금이나마바뀌는척 하는세상... 그댓가가 너무 큰듯하다.,10
user-hv5zu5nz3d,"2차가해 가담자들은 군인뿐만 아니라 그 가족이라 해도 입건시키고 처벌해야 한다고 봅니다. 공군뿐만 아니라 일반사회에서도 성범죄 가해남성들과 그 가족, 친지, 소속기관 관계자 등 전방위적으로 피해여성에게 2차가해하는 뻔뻔힌 가해자들이 많습니다.",0
user-wh2rq2vx5r,의인이십니다♡,0
user-yt4kb3wb8m,당신이 애국자입니다,3
