작성자,내용,추천수
user-cx8xp7vo4h,나도 내가 잘못하지 않은 것에 대해서도 욕을 많이 먹었는데 장말 공감이 간다ㅜㅜ,12
user-hk5lf3gt8y,"사람마다 통증은 다르게 느끼겠지만, 군까지 갈 정도면 심지가 굳은 분일텐데, 어찌됐든 내부 문제였다면 같은 동료 탓입니다.",10
user-bo1ob2ln2o,"본인이 잘못 살면 그 타격이 후대까지도 이어질수도 있다는것을 왜 모를까요 정말 어리섞은 사람들!.,꼭 처벌받으시길..",20
user-mz9qb8cf3y,공군 20전투비는 도저히 그냥 두어서는 안됩니다. 철저히 조사한 후 가해자들을 처벌하고 20비 부대 자체를 해체해야 합니다.,11
user-tg6qt4ei5d,저 부대의 부끄럽고 추잡한 진실을 후대에 까지 알리는 경종이 되는 차원에서 국방부는 저 부대 사고 관사 폐관하라...!!!,7
user-pg6ok1qb9w,처음엔 임태훈소장에게 오해를 했는데 군내부에 잇따른 문제 제기에 국민의 한사람으로 감사를느낀다,1
winh1997,일단 모두의 말을 들어보고 판단해야한다 생각보다 억울한 일들도 많더라,0
user-xq9wd8zn7s,모든 군부대 사건은 군법무관 가지고는 안되고 민사경찰 변호사가 꼭 참가해서 사건조사 해야된다.군 명예는 투명할때 생겨난다. 꼴통이 승진해서 군 기강이 흐려진다.,5
lIIIIllIII,공군에서 사고가 많이 터지네 요즘 ㅠㅠ 나라를 위해 애쓰시는 많은 군인분들이 계신데 저런사람들이 군인얼굴에 똥칠하네,7
bugirun2009,국민을 지키는게 군대인데 같은 군인들끼리 괴롭히면 국민은 누가 지키냐,2
user-zj4rb2kn2e,양심도 없네. 책임이 없는데 왜 그런소리를 하냐. 아무말 안해도 책임이 없다면. 신경도 안씀. 군대에서 책임 없다고 하는놈이. 장교 라니. 썩어도 너무 썩었네.,11
user-vg3wk6ok5z,본인의 가족이라면 저렇게 할 수 있냐? 인간도 아닐세 ㅋㅋㅋㅋ,12
user-uw1cl9cg7w,본인들 잘못한거 숨기고 나중에는 사건음폐할려고 유가족에게 물건을 주지도 않았다면서 20전투비행단 쓰레기들이내 훗날에 사테를 어떡해 수습할려고 에에...사건두 있었는대 알면서두 그곳을 을주었다?! 와....,11
Clara-rs2rr,저부대 자체를 해체하는게 답이다.,6
arp6425,똑바로해라진짜... 만만한 사람 잡아서 그러니까 행복하니 살인자들아...,3
user-ic6jh5ed4k,절대쉬쉬넘어가선안된다,7
mirage2000kr,명불허전 20비 ㅅㅂ...16년이 지나도 악습들 터지는건 변한게 하나도 없네,1
user-jb4bv7hv4v,군대 갔다온 사람들은 알자나 진짜 문제는 철밥통 차고 있는 직업군인들이란걸 ㅋㅋㅋㅋ 이새키들을 갈아야하는데 안바뀌니깐 변화가 잇겟냐?,4
oo-kr3kv,장중사 감형 취소해라,4
user-pf6fi7et6f,공군은 여군의 무덤인곳인가? 사람이 죽은 장소에 들어가서 사는것에 대해서 가치관 마다 다를테지만 초급하사에게 저런 관사를 왜 제공하는거냐? 일안하냐? 전투기만 띄우면 다야? KF21 홍보만 하면 다냐고 이 새끼들아,3
user-gr1nu7jj3d,썩을대로 썩은것들.. 쯧쯧,1
dcgsaxcvbfdhxdbg7691,부대해체해라,2
naver.com23,공군 가자말고 육군으로 와라 그냥 에휴 ㅈ같은 대한민국 세상인데,0
hij7277,20전비단장 이하 지휘관들은 모두 옷 벗어라.,2
FantasticFamily2015,현 시점부로 공군 엘리트 의식 개나 줘라... 살인범들에게 철퇴를...,3
user-ep3ri9kx5m,어이...윤석렬이 이런문제는 눈에 안들어오지? 왜 군 내부총질이나하는 사람이라고 해보지? 이런 문제는 대통령이 큰소리 한번하면 몇몇군인 옷벗고 몇명 잡혀간다... 니가 조용하면 또 해결안된다~~~,2
user-se4yc6zv5i,화성 서부경찰서에도 여군 민간인 사건조사중 이라하네요,0
user-fh4mc9sq4u,한국 직장 조직문화가 저렇지 뭐 에휴 ㅉㅉ,4
SJkopa,군기강이 헤이해져서 저런 사고가 나는 거다.,1
user-eu3hd7lf6i,"귀신잡는 해병, 여군 하사 죽이는 공군",4
yangss288,존나 너무하네…,1
user-tl9cm3cx3b,미친거 아닌가…진짜ㅋㅋ…,3
user-po1zs2bw4h,이예람중사가 사망한 관사는 15비 관사다. 제대로 알고 말하라,1
minsoo80,저기 해체해라,3
user-jn1so9fp7u,군인직을 관두면 안되나요? 목숨을 끊느니 뛰쳐 나오는게 좋은데... 무슨 계약이라도 있나요?,4
user-og6pr7tg4t,군대도 안간놈이 소장이가,3
youngkyusong894,인권센터장이라는 게이옹호자 저 퉁퉁한 남자 혹시 군대는 다녀왔어요?.,0
albertm569,아니 여자 사병은 안된다면서 굳이굳이 부사관 장교는 왜 뽑아서 사달을 냄? 사병까지 뽑아서 여자전용부대 만들던가 뽑지를마,0
