작성자,내용,추천수
user-gu7kn3np4y,가해자들에겐 Heaven Life. 피해자들에겐 Hell Life.,20
ijin876,대한민국 공군과 법원의 환장의 콜라보,18
tyffanyrufallo7108,에게~~~~사람목숨에 7년이라니? 이건 검사나 판사나 문제다!!!! 무기징역형 구형 해야지..,27
peter12347,여가부 폐지!!! 윤석열 각하께서 꼭 완수해 주실것입니다. 멸공!!,8
user-zi4jj7kc6m,이게 대한민국의 법이라면 정말 잘못된 일이다... 천벌이라도 내려주길,20
user-qg5ob7tp6b,겨우 7년??사람이죽었는데?? 참 법이 ㅠㅠ,58
ht30,법이 너무 물러터졌어. 법원들은 왜 저런 말도안되는 선고를 하는지,25
user-py3ft3vs8p,피해자가 사라지면 이렇게 됩니다. 피해자들은 맘 독하게 먹고 인생포기하지말고 저런 범죄자들하고 싸워서 이길 생각을 하세요.,9
user-lb7kt5ov3r,7년? 남 인생 망쳐놓고 7년이면 존나 싸네 ㅋ 대한민국 가해자들 살기좋다,42
user-jy4fe2iu2f,참 ~~군사나 판사나 참 대단하다 어떻게 저런 말이 나오냐 참 공부잘 하는사람 필료없다니깐요,9
ungjang1875,70년을 살게해라 &사형시켜라 겨우 7년이냐?? 범죄자들이 더 생겨나겠네 ...ㅠ,6
user-hb1hj1xd7q,사람이 죽었으면 살 수 있던 시간 만큼은 형량을 때려야한다고 본다,4
coracarom,반성없는 쓰레기에게 뭐 겨우 7년? 장난하나 살인죄를 적용해서 무기징역으로 가야지..,4
user-th3by5zc3e,강제추행 강간 당하고 자살한게 강간 강제추행과 자살간에 인과관계가 없다는 대법원 판례가 있는데 아직도 똑같은 생각을 하고있네….. 바꿔라좀 너무하잖아…,2
user-xf8dc4vc1e,대한민국 헌법 1조를 근거로 들으니 법이 약할수밖에 없지 않나 생각도 드네요 그래도 강화됐으면 합니다,0
user-mc3kl5gw7u,참 대한민국은 아쉽다... 어디서부터 고쳐야될지 갑갑하다 내가보기엔 언론아니었으면 7년이나왔을까? 하는의문도있음 부디 피해자가 2차피해라도 안보는 나라라도되었으면 ..,1
ilpeang6640,15년. 7년.. 느그 자식들이 똑같은 일을 당해봐라.. 목을 따버리고 말지.,2
rori3802,도대체 검사들은 뭐하냐 … !!! 7년이 아니라 7000 년도 모자란데,10
ysnkang9533,몇 년 살다 가석방으로 나오지 못하게 7년 이라도 꽉 채우게 해야지.,1
tyffanyrufallo7108,군사법원 없애라~~~!!!,3
IamMrOH,우리나라 법은 개혁되어야 합니다.,0
heartbeat7274,고작 7년이라니..,3
user-dk8cp8ko9o,미쳤냐 징역 70년이 아니고 7년?,8
user-nh3ls5iz4x,여성대상으로한범죄 강력한처벌엄히 다스리자,1
sidewinder6855,민일 당신들 자식들이 저런 꼴 당하면 과연 저렇게 판결을 내렸을까요?!,4
user-bz2ld3mb5y,이예람중사가 누구때문에 무엇때문에 혼인신고 끝난 젊은 목숨을 버려야했는지 알고 판결하라 더러운 추행범을 봐주는 판사 공개를 원한다,0
user-gb9ty6sp6d,와 이게 7년밖에 안나오네 ㅋㅋ 여윽시 미친나라,4
user-qz5op5qn1n,애초에 군사법원에 맡기면 안돼 지들 끼리끼리 덮고 감싸는 한통속인데 공정하게 판결하겠냐,0
Lr-wc2mk,사람을 죽음에 몰았는데 7년..죽여도 9년..미친나라 사람 목숨 짐승목숨이네...한 사람의 생을 끊었는데 한평생을 감옥에 쳐넣고 노동을 시켜야지,0
user-zl5vn1rb2e,법 은 감정이 없습니다~,0
