작성자,내용,추천수
msbluejin,힘내십시요. 민주당 의원님들은 제발 정신차리길 바랍니다. 총선에서 여러분들은 철저하게 가려질겁니다.,706
user-ty6sg9ol3x,지금과 같은 마음으로 국민을 위해 일해주시면 됩니다 울지마시고 같은 마음으로 응원하고 지지합니다,543
user-xc1jp5ps1g,울지마십시요 더 강해져야 합니다 박지현 의원 파이팅 응원합니다,488
TV-cq4dp,대한민국 정치가 왜 이리 슬프고 아픈걸까요? 힘내주세요.,402
25time65,"정치와 법과 국회는 국민의 편에 있지 않다. 자신들을 위한 이익 집단이다 ""우리 스스로가 더 강해져야 한다""",455
user-mi5ov8wq9t,박지현씨 그 마음 공감합니다 독하게 마음먹고 목표를 위해 한발작 뒤에서 하고자 하는 일을 하셨으면 합니다 그 마음 다치지 않았으면 좋겠고 변함없이 전진 할 꺼라고 믿으니까요,521
user-dg9bx2fx2s,마을을 울리는 정치인이 진정한 정치인 이라 생각합니다. 공감이 결핍되어 있는 정치인은 국민의 대변인이 될 수 없습니다. 앞으로도 큰 지지하겠습니다. 힘내시길...,562
user-yg7im3mb3k,울컥합니다. 썩은 정치판,111
user-kg2si4ki9n,박지현님의 진심이 여기까지 느껴집니다... 힘내십시오 우리는 할 수 있습니다!,292
0yeol773,"민주당에게 바라는건 협치가 아니라 정상화를 위한 투쟁이다,,,, 박지현위원장을 한번 써먹고 버리는 카드로 만들어 버린다면,,,, 더이상 민주당의 앞날은 없다고 생각한다,,,정신차려라,,,,민주당,,,,",295
hjr1654,울지말고 꿋꿋하게 그 자리에서 싸우고 이기세요. 그 흐느낌은 우리 당원이 항께 나누겠습니다. 젊은 패기와 바른 눈으로 옳고 그름을 보고 알리세요. 그게 당신이 그 자리에 있는 이유입니다. 응원합니다.,257
buriyasi,너무 슬픕니다 지금의 이시대가 왜 이렇게 뒤로 가고 있나요 너무 가슴이 아픕니다,350
user-hc8te2nj7h,자 어린 마음에 얼마나 상처가클까..: 더러운 정치한다고 지네 잇권따지는 저 틈에서... 응원합니다!!!ㅜㅠㅠㅠㅠ 가슴 아프네요 국민들도도 같은 마음이예요,199
user-mo1ok5en1t,힘을 내십시오 구정물 똥 오물들과 싸우려면. 그런것도 뒤집어 쓸수 있습니다. 박지현님 이 시간들을 잘 이겨내시길 바랍니다,242
jaywoo4314,여가부도 없애려는 저들이니...힘내십시오! 반대한 의원들아 네 딸이 손주들이 이예람중사와 똑같이 당할거다.,241
user-hi9zr1ds6m,울지마세요.. 힘내봅시다!! 응원합니다!!,249
user-kc5vi3tg3b,박지현님 더욱 더 강해 지셔야 합니다. 수고 많았습니다. 고맙습니다.,91
user-wv4eu3cu2y,젊은 딸과 아들은 우리 모두에 자녀입니다 정의롭고 안전한 나라 5년을 기다려야 합니까,117
user-hu7kt8ss7u,박지현씨의 눈물이 우리모두의 마음입니다. 힘내주세요!,87
hslimtop,박지현 의원처럼 약자의 편에서 싸워줄 사람이 많아야 할텐데...응원합니다~,208
user-et4bp2vl1e,우리 함께 해뵵시다 우리가 승리하는 그날을 위해 박지연씨 화이팅,97
user-dv1pb3co3o,울어야 합니다! 슬플땐....그리고 잊지말고 싸워야합니다!,154
user-sp2ke2ts6c,더불어 민주당 의원분들듀 굿힘당처럼 해야 합니다 개혁 밀어 붙이세유~~~~~,150
mukdam9028,절대적 약자에 대한 인정 없는 정치나 정치인은 후진국 정치다. 박지현 의원님 힘내세요,66
user-ho4ix4yy5n,절망하지 맙시다,63
flower07455,"울지마십시오~강하고 독해져야 합니다!!! 응원 할겁니다 서민이, 힘없는 우리가 살아가는데 더 좋은 세상을 만들기 위해 뚜벅뚜벅 한걸음씩 앞으로 나아가시게요!! 끝까지 지지하겠습니다~!!!",163
