작성자,내용,추천수
jj2203,제대로된 수사가 이루어 지길 바랍니다. 아버님 힘내세요.,86
user-zt3vy5qb7w,아버님의 목에 하늘로 떠나간 따님의 군번줄이 걸려있네요 그 부분을 보고 한참 울었습니다 못 다 핀 꽃 한 송이 같은 따님의 한을 푸는 날이 하루 빨리 오기를 응원하며 잊지 않고 오랫동안 지켜보겠습니다 아버님 힘내세요,22
coracarom,성추행 한 놈이나 이걸 덮으려 하는놈들은 성범죄자들입니다.. 강력한 처벌을 하기를 바라네요.,107
user-mv9rs6ov3z,이쁘게도 생겼네 ᆢ 비슷한 나이대 자식을 둔 한사람의 부모로써 저런 눈에넣어도 안아플 이쁜딸을 가슴속에 묻고 살아야할 남은 인생이 참..뭐라 표현할길이 없네요 삼가 고인의 명복을빕니다,40
navilove4490,다시는 이런일이 일어 나지 않기를 두 손 모아 기도합니다. 고인분께 간절한 애도의 마음과 남은 유가족분들께 애도의 마음을 전합니다. 이예람중사님의 억울한 죽음을 돌이킬 수는 없더라도 그 죽음을 만든 가해자들은 마땅한 처벌을 받길 간절히 바랍니다.,26
user-mc8rn1ov7y,떨리는 목소리에서 답답하면서도 울분을 터뜨리지 못하는 상황에 꾹꾹 눌러담는 슬픔이 느껴집니다. 안타깝습니다. 힘내세요.,32
jsk7217,넘~~~예쁘다.순수해 보이고.나라를 위해 최선을 다한 여군중사.이예람~<고인의 명복을 빕니다.부모님 얼마나 원통 할까요~너무 마음이 아픕니다...,67
hiphop6800,아버님 용기를 잃지 마세요 삼가 고인의 명복을 빕니다,8
KTU_0847,아버님 힘내세요. 가해자들도 얼굴 공개해라!!!!,28
user-zs3tz1qf8p,저리도 예쁜딸을.... 가해지놈들 낯짝은 왜 공개를 하지않는 건지요. 부디 철저한 수사가 이루어져서 가해자놈들의 강력한 처벌이 이루어지길 간절히 바라겠습니다. 아버님 힘내시기 바랍니다.,28
user-ek3rh8fn3g,비통하고 억울한 마음 어찌다알겠읍니까 삼가고인의명복을빕니다,16
user-vq3jv9nv1z,안타까운일을 이제서야 알게되어 너무 슬프네요.. 부디 하늘에선 편히 쉬시길 바랍니다. 그리고 부디 해당 군 관계자들에게 끝까지 엄중한 처벌이 내려지길 간절히 바라겠습니다. 유족분들에게도 평화가 찾아오길 바랍니다.,0
user-tk1xf5eb5b,눈에 넣어도 안아플 딸이라는 말에 비통한 심정입니다 ㅠㅠ 부디 예쁜 따님의 억울함이 풀어지고 다시는 이런 피해가 없도록 확실하게 가해자가 처벌 받기를 두손모아 기도드립니다 ㅠㅠ 아버님!! 힘내세요!!!,2
user-gv1nl1px8l,"오래오래 기억하겠습니다. 성폭력을 드러낼 수 있는 사회가 된 것에 감사하며, 성범죄자가 더더욱 용납되지 않는 사회가 되길 바랍니다. 여기에 관심을 갖지 않으면 성폭력만이 문제가 아니라 군대내 폭력 부조리 문제가 문제가 반복될까 우려되네요... .",6
jasonmedeia,살아있을 때 문제해결이 안되니.. 세상 안바뀜 얼마나 억울하실까,25
user-gc1mh7hs8v,예쁜 따님보니 마음이 더 찢어지네요.. 부모님 심정이 어떠실지 감히 상상이 안갑니다.. 억울함 꼭 풀 수 있기를 기도합니다,9
user-qw1ly4ke1v,공개 잘하셨어요. 피해자가 약자가 되는 세상... 말이 안되는 세상입니다.,6
user-dp2fc5uh5l,고인의 명복을 빕니다,0
user-fc8he7pc1y,특검해야합니다. 국방부 장관을 경질해야 합니다. 삼가 이예람 중사님의 명복을 빕니다. 대한민국이 상식적으로 이해가 되는 세상이 되기를 기원합니다.,16
kevinkevin9445,힘내세요~~~ 고인의 명복을 빌며 쓰레기들 제발 처벌받게 해주시길 바랍니다.,2
user-ph4fs2qo5k,힘내세요~ 꼭 처벌을 받길바랍니다 죄를지었으면 죄값을 받아야 하지않을까요~,2
user-sp2zx6bt3z,이중사아버님힘네세요,17
user-we3yd1nn7d,눈물나네요 힘내세요 나쁜놈들 믿지 못할 나라,2
jeffjeong9125,"군의 힘이 이렇게 클줄이야... 대통령도 힘을 쓸 수 없다니. 문재인대통령님 뭐하시나요? 이런 일도 해결 못하시나요. 말로만 엄별, 현실은 그대로...",31
jeffjeong9125,고질적인 군비리 끝까지 찾아내서 해결해야 합니다.,10
sgm3433,나도 그약속 믿지 못하겠다.. 군외 특검설치를 요청한다!,45
user-js2rc7dv4v,아버지 힘내세요. 잊지않을게요.,2
ggomalim,군비리가 진짜 심각하긴하구나 느낌니다...아들둘 군대보내기 걱정되네요,13
