작성자,내용,추천수
user-xb1op1kh8n,처벌이 약하니 이런일이 반복되는 겁니다 강력한 처벌바랍니다,78
user-cr6xt2tc6n,이부대는 성폭력전문 부대구나 코로나 확진자와 입을 맞추라니 제 정신인가?? 엄벌해야한다,60
user-xu4hg7jv5e,공동생활에 엄격한 상하관계 피할곳도 없는데 저런짓 당하면 답없지. 용기내 신고했는데 피해자를 범죄자 취급하고 왕따시키고 그냥 죽으란 말이네. 저런 부대는 해체해라. 저런 인간들이 나라를 지키겠다고? 지나가던 개가 웃겠다.,45
user-li4dl5zu2t,저부대는 전원 간부들을 교체해라. 전방 보내라.,31
user-sn8uk1zn1d,"할 말이 없네... 피해자를 가해자로 둔갑시키는 거 옛날에 경찰국 있을때 경찰들이 많이 하던 짓인데, 군대는 인식이 30년전 그대로인가...",32
user-vp7yr1nx2d,"제발 피해자 이름,사진 남발 말고 가해자 사진,이름 공개하세요! 범죄자 인권 운운하는 사람은 같은 범죄자라 생각합니다!!",9
user-nt4yt6vk3l,저런넘들이 없서도 국방부시계는 돌아간다 세금낭비하지 말고 구속하라 연금도 없세라,17
user-dy8sd1uz9y,저 부대 간부들은 전부다 잘라내고 군교도소 가야겠다,21
neutral271,"책임자들 싹 다 그만 둬라, 이런걸 대통령이 나서야지 통수권자인데. 뭐하나?",12
juhyeonkim3074,전부 잘르고 새로 뽑아야지~ 일할 사람 넘쳐나는데 두번 기회주는 것도 역겹다~,21
joohongyoum8897,정신병자가 왜 이리 많은거야...,36
user-ez6nf5cw7o,와 그런 사건이 있었는데도 변하는게 없어? 대단하다 대단해,16
user-dg9vl6lb1i,"이정도면 저 부대에 근무하는 장교, 간부들은 싹다 물갈이 해야하는게 맞는거 아니냐 제정신이 아닌 것들이 근무하는 곳이네 싹다 옷벗기고 구속시켜야 맞다고 본다.",13
user-tz1cc2mk6b,공군 병사 출신으로서 진짜 한심스럽고 창피하다... 어떻게 군인이라는 자가 저럴수가 있지 진짜 충격적이다!,0
user-qh9kv5vs2k,이정도면 부대장 옷벗겨야 되는것 아니냐? 부대장 뭐하는 인간이냐? 국방부는 당장 징계해라 담당 수사관도 함께 조사해라,2
_rosa5580,고이예람중사사건 처리 되는 결과보고 또 피해자 나오겠다고 생각됐는데 정말 또 나왔네. 군에서 엄중히 개가 웃는다. 못믿지.,17
user-sw5vg2cv6d,"아휴~~진짜 가지가지 한다. 가지가지 해.....A준위 현부심으로 파면 시키고, 해부대장, 주임원사 보직해임 시켜라!!!",5
TNTNTN999,군사재판은 성범죄 기본이 10년이상 아니냐? 군법이 당나라군대만드네. 한효주동생도 그렇고.살인자 한효주장교출신 무기징역감인데 감봉3개월,21
user-dj7yz7ns2j,절대 양보하면 안됩니다 해결사를 고용 하세요 일단 납치를 하세요 다음은 빙신를 만들던지 죽이던지하세요 이런 놈들은 피의 맛을 보여줘야함 용서가 안됩니다 사지를 절단 하세요,0
