작성자,내용,추천수
user-kk4uy7lt3k,삼가 고인의 명복을 빕니다. 공군은 어느시대인가? 훈련이나 복무관계에서 복무규율을 지켜야 하고 또한 반드시 상호인격적인 예우를 하여할 군데. 지금 뭐하고 있느냐 . 인간은 강한것 같지만 비인격적인 침해 특히 상하관계에서 견디기 어렵다. 일벌백계로 군율을 확립하라. 비인격적 관계는 막대한 전투력을 저하시키게 된다.( 예수 십자가 증인),11
Orionprince,용서하지말자. 무관용 원칙만이 여군의 생명을 보장한다.,11
_entj6535,저도 11비에서 근무했었지만 ... 여군에 대한 성추행 발언하는 많은 분들이있는건 사실이었지요 안타까울뿐이네요,37
user-dq5wp6gj2l,해당부대의 자랑스러운 전통입니다.,14
user-by1jd8kf7m,아니 도대체 대한민국은 이런일이 일어나고 명확한 범죄행위가있는데도 즉결처분이 안이루어지는거냐. 진짜 왜그런거냐 누가 도대체 목숨가지고 뒤를 봐줄수있는거냐. 저가해자가 뒷빽이 있는거야? 무슨이런일이 있냐. 30년 안때리고뭐하냐 판사는 하,2
Uh_sa_park_91.,공군이 얼마나 썩은지 보여주는 단적인 예,34
jacoblee5808,그 준위아재 자기 며느리도 붙어먹을 호방한 분이신 것 같습니다. 존경스럽네요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,22
user-ib8kw8nt5r,진짜 이쯤 되면ㅋㅋㅋ머가리가 없는건가 같은 일이 계속 반복되는데 좀 갈아치워라 처벌할건 씨게 때리고,14
dongdong727,그냥 여군 남군 따로 훈련해요,2
hankugminkan9047,이넘은 무조건 살인자로 처벌해서 펑생 감옥에서 뭇나오게 해라,34
fgfgqweqwe2997,저 부대는 답없네 전부 뿔뿔히 흩어지게 공중분해 시키고 다른부대 간부들 착출해서 새로 구성해라..,29
leehyejin3827,똘아이네...삼가 고인의 명복을 빕니다... 아직도 인성이 저런 인간들이 사회 곳곳에 존재하는거 자체가 문제... 저런인간이 상사로 근무함 다~살기 싫어지겠다... 얼마나 하루하루가 지옥이었을까...,0
user-lj6oi3ps1y,군대갔다와보면 안다 부사관들 수준 엄청낮다진짜,15
user-ch9gw4ov6i,흐지부지 넘어가니 또 발생하지. 그냥 조직 전체가 썩어있던데. 제도 자체를 개편해야 한다. 제발 정신 좀 차려라.,9
user-il5yq2jz1s,정신상태가 썩어서 그래. 잦은휴가로 인한 나태한 정신상태. 오죽하면 집에서 휴가좀 그만 나오라는 말들이 있겠냐.뺑이를 팍팍돌리고 강한처벌만이 근절될것이고 확진자 침핧으라고 했을때 하이바로 면상을 날렸어야 했다.,3
user-co5wm5kv9l,삼가 고인의 명복을 빕니다. 군대에서 성추행은 심각한거 같다. 사회의 잣대보다 훨씬 엄격하게 처벌해야함은 물론 군대내에서 성추행 예방에 대한 구체적인 방법을 찾아야한다. 나라를 지키는 여군이 왜 이런 피해를 당해야 하냐.,0
user-gh6wh2mz7o,비행단 해산해. 나라를 지키라 했지 누가 범죄자 모시랬냐,3
lim0126,"공군. 썩을 대로 썩었네요. 다른 곳도 문제가 있을 텐 데, 단지 터지지 않아서 모를 뿐일 겁니다. 군 인사 제도를 문제가 생겼는데도 방치하면 사고 친 놈들부터 별까지 가중 처벌을 해줘야 개선될 것으로 보이는데요 안 그러면 지들 몸 사릴려고 이리저리 숨기기 바쁠 겁니다.",2
user-oh8rx3ct5q,죽어야만 분리조치!! 물론 그거라도 하긴해야 되지만.. 죽기전에 분리조치 하면 무고한 목숨 살렸잖아...,9
kimchi4951,자유와 민주 그리고 인권 참 대단하다,2
user-qp2im2ek5m,내 아는지인은 당신들과 똑같은 공군이지만 지금 이순간도 한명의 피난민이라도 무사히 피난시키기위해. 하루 반나절 하늘에서 내려오지못할정도로. 죽음 을각오하고. 우크라이나 에서 싸우고 있는데...당신들 전쟁에나가 피흘리는 군인들한테 부끄럽지 않나?,6
user-xy1qo5nb9t,부대 해체가 답이다,7
seung-heehwang1805,나라 지키러 군대 간건데 이게 뭔 일이야. 옛날에 우리 부대 중사 별명이 미친개 생각난다. 아 진짜 지금 또 생각나네 짜증나게.,3
kimji6738,국방부장관은 당장 관련자 구속수사하고 당신은 장관사임해라 이사건에 관련하여 당장 책임져라,2
sseopuplife2965,이정도면 심각한거 아닌가. 선을 넘어섰다 빨리 조치를 취해야 더이상 군의 위상이 땅에 떨어지지 않는다.,0
user-zj3xo1qy9y,"군에서 군사법(군사경찰, 군검찰, 군사법원)이 빠져서 민간으로 돌려야 됨. 민간에서 수사받고 재판 받는다면 성범죄 저지르기전에두번은 더 생각하게 될 것.",0
user-xk1fb8ht4e,"도대체 군대간 여자를 몇명이나 죽일 셈이냐??차라리 뽑지말라 공군,, 니들",12
user-lr6do1zt2p,그당시제대로수사않하고 꼬리만자르는수사해서그래요 그리고 이공군기지헤체해야 할겁니다,6
user-sq2yh9fq3l,바보같은놈들 인생을 생각하지도 않는 인간들 그들에게 군법으로 무기수로 판결해라.,0
user-lo6mv7gn7t,며느리로 라도 보고싶다.... 이건 뭐냐,4
user-bp5rk5uu3y,군 내에서 그런 짓을 하면 어떡하냐?,1
user-rz9hs9lj9f,그렇습니다. 그냥 답이 없다,1
user-yq4tl1lz2w,"이부대왜그러는걸까요~~다른부대도쉬쉬하면서은패조작하는지의심이엄청가네요~""",6
belfastt7498,직업군인을 단지 성적과 체력으로만 뽑으니 인성이 개모같아도 계급부심 으로만 군생활 하는 간부가 군대에 지천에 널렸음,2
Apple-qr1nb,요즘 이런 사건 많이 터지는데 경각심이 없는건가?,2
user-rr7im5og7k,감옥에 30년 썩게 하면 막지는 못해도 줄어들게다,3
user-gw7ye1hf2r,군대가기 전에는 몰랏지만 군대 다녀와보면 확신할 수 있는거: 부사관은 짐승 장교는 반인반수정도...논리적 판단력이 없으며 군특성상 문제를 개선시킬수 없음 ㅋㅋㅋㅋ,4
kimxx864,공군은 정신 좀 차려라,2
user-eo6rf6mq2o,책임자 직무 태만이다. 해임시키고 강력한 법집행 안되나?,0
user-sg2wi6rh6o,안좋은걸로 부대가 뒤집어졌는데 저러는건 지능에 문제가 있는건가?,0
user-zo8js2dw5d,한심하다,2
user-rl6py6gv5n,저기서만 몇 명이 죽어나오는거야? 특수비행이 아니라 특수범죄부대,0
jongjang6295,전국에 이놈 신상 공개하라. 부대 이름도 공개하라.,0
U2HS1D,"저 부대는 그냥 해체 하고, 재창설이 답이다.",1
user-uq6fi9vv7g,이렇게 뉴스가 떠도 아무런 제재가 없다ㅋㅋㅋ,8
park6126,물이 고이면 썩는다고 원래 전쟁 안하는 군대는 부패가 만연해짐,4
userAmugae,이정도면 군기가 벌레수준인가보네 군생활 편하니 뻘짓거리할 여유가되나보네 지휘관과 상급부대는 뭐하고있냐? 똥싸냐? 끊고 나와라 ㅋ,2
user-uw8ef8rv5m,초반에 대충조사하고 대충징계때리니깐 같은일이 생기는거지 ㅋㅋ,2
user-mk8dt9sn7w,저딴부대는 해체시켜라. 육군은 그리만들면서 공군은 예외냐? 사고전말 은폐시도 하는 부대는 싹 갈아 어퍼야한다,1
wallofthehell,가해자는 도베르만도 못 봤나? 참새수육 재료로도 못쓸 놈 같으니.,1
trytemandala7577,명심들 하시길 바랍니다 가해자인 모준위만 처벌해서는 안됩니다 남자들만 가던 늑대소굴 같은 군대라는 집단조직에 젊은 여성들을 보내도록 허가한 정부기관과 고위간부들을 모두 처벌하시길 바랍니다 남자군인들이 여성을 어떤 대상으로 보고 취급하는지 똑똑히들 보십시요 이건 특별한 남성 한두사람의 문제가 아닙니다 일반 사회에서도 성차별과 성폭력이 심한데 가장 폐쇠적인 군대조직은 어떻겠습니까 애초부터 여성을 군대에 보낸게 잘못입니다 물론 일부 특수병과에 보내는 것은 이해합니다 가령 간호병과처럼 말이죠 저의 우려를 무시하고 방치한다면 앞으로도 이런 사건은 계속해서 일어날 것입니다 아까운 목숨 잃기전에 예방합시다 군대에선 치마만 두르면 할머니도 미스코리아로 보인다는말 농담으로만 듣지마십시요 헌데 이십대 초반의 꽃다운 젊은 아가씨들은 말할것도 없겠죠 직업평등은 아무데서나 왜치고 개방하는게 아닙니다 정 보내고 싶다면 군인들의 의식부터 개조하고 제도나 시스템이 완비된후 여군을 선발하시길 바랍니다 ....,0
user-qd9ol3po6e,공군은 왜 맨날 저런 사건이 터지냐,0
shotvworld,그냥부대를없애라,2
honginhye,공군이 의외로 빡세지 않은가봅니다. 자꾸 벌떡대는걸보니.,0
user-zl9to2gt9q,여군만 복무할수 있는 여군 전용 부대를 창설 하자~~~~,0
sofa000060,하여튼 우리나라 문제가 많아 ㆍ징역50년 이다,0
user-sv4kr2gv8w,기가찰일이네,4
user-vg6sp6wz5w,제15 특수공군강간단 이게 이나라의 공군이다 말세다,0
chois-i767,"15 특수비행단 해체하고, 전원 불명예로 이등병 전역시키고 연금박탈하라.",11
ezeron5003,하늘을 못지키는 가장 낮은힘 대한민국 공군이 되었네. 대적관은 확실하냐? 하늘이 무너지는 소리만 들린다,0
user-yx2hc5ub2k,편해서 그래,1
MRAAAAAAAAAAA,비행단 해산해~,1
user-hd8hx7ss5y,부대해체해라,0
user-gy5du4nh6k,해체가즈아,2
sasa-md2pe,미쳐돌아가는군아,1
cub9828,행안부 공군부 설치하라!,1
user-mw9rl4eu8z,너무 편해서 그런가,0
SKHRPCC,15비 해체해라 마가꼈다 저부대는...,0
koreaantique,성희롱보다 진짜 또라이인듯..,4
busmetrowalk1778,널널한 공군 같잖네 ㅋㅋ,0
user-js7qz3jk3s,성진국,0
gyo4411,"성별 강자,약자도 따로 있나요?",5
user-yh8mm8xe1v,물갈이가 필요해 보이네,0
yuongjin1466,아세이...,0
whisperinghope7141,이니 5년에 정말 망가진 나라....,3
protect_pangil,따흐앙! 전원 역추진 실시!,1
user-sy6nz1lv6o,그냥 저 부대 다 몰살시키는게 맞다,7
nrz5.,군대가아니라 짐승들밖에 없네--쯧쯧,4
user-nz1ty2le8l,공군 원래 이럼 ??? 분위기가 원래 군대에서 여자면 다 오냐오냐 해주지 않냐?,0
dmson9729,군기강이 해이해서 이런 사건이 터지는것임.가끔은 똥군기도 필요한법!,3
takataka9431,Cause Moon jae in !!!,1
jh0945,다 좋고 화나는일인데 피해자가 왜 성별로 약자?,0
user-yp3zf1yl1x,즐겼을수도 있지 않을까?ㅋㅋ아 저 사람 말고^^,0
kingjungsu,뭔 중사가 성추행 당했다고 자살하노. 권총없나?,0
kingjungsu,중사가 성추행 못하게 거부도 못하나보지?,0
laemt325,범죄자집합소 순위 공군1 해병대2 육군3 해군4,0
kingjungsu,미군들처럼 주말에 클럽가서 욕구해소좀 하게 시켜라. 한국군 불쌍하다.,0
vtwo81,하루빨리 용병제 실시해라 무슨 군대는 군대냐 관리역량도 안되면서,0
