작성자,내용,추천수
user-fc8he7pc1y,삼가 고인의 명복을 빕니다. 이번 이중사님의 억울한 죽음이 대한민국의 군대에서 모든 성폭력사건이 일벌백계되는 초석이 될 수 있도록 법과 제도가 완전히 바뀌기를 기원합니다. 대한민국이 상식적으로 이해가 되는 세상이 되기를 기원합니다.,240
shezgeon,아…24살….목소리도 너무 어리고….귀엽고 아리따운 국가를 지키는 멋진 공군 이였네요 ㅠㅠ 휴 이거 안당해보면 모릅니다..휴…삼가 고인의 명복을 빕니다,250
sayb9141,24살에 꽃다운 나이에 그렇게 세상과 이별을 하시다니 삼가 고인의 명복을 빕니다 군성폭력 문제는 이제 뿌리 뽑아야한다고 생각합니다 여군의 꿈을 안고 군인이 되신 모든 분들에게 희망이 되는 조치와 제도가 나오길 기대합니다,48
psy_elroi,이중사의 명복을 빕니다. 못난 선배들이 힘이 없어서 후배님들을 지켜주지 못했습니다. ㅠㅠ..현역에 계시는 힘이 있으신 분들이 꼭 용기를 내어 불의와 싸워주시길 원합니다. 이중사가 입고 있던 군복의 명예가 실추되지 않도록 군전체를 비하하는 일이 아닌 성범죄 처리 문제가 피해자 중심으로 개선되길 바랍니다. 군성범죄는 여성 뿐만아니라 남성들에게도 자주 일어나는 일입니다. 이중사의 죽음이 헛되지 않도록... 그리고 부디 유가족들이 심리적으로나 신체적으로나 무너지지 않으셨음 좋겠어요. 저희 부모님은 내장이 녹는 기분이었다고 하셨는데 이중사 부모님들은 그 심정이 어떨까해요... 부디 힘내세요...ㅠㅠ...,99
user-oj6of6cm9q,이나라에 멋있고 자랑스러운 군인이 되고싶은 젊은이들의 아름다운 꿈을 제발 짓밟지 말아야 할것입니다 제발 부끄러운 어른이 되지 맙시다 제발!,14
lmh5284,"가해자 열심히 지키네, 아무도 못 다가오게, 잘하네. 피해자분한테 저렇게 했어야지. 왜 여전히 범죄자를 지키고 있어?",318
user-wb7ws9yx7k,나도 딸내미 있는데ㅠㅠ 아이구 힘들게 곱게 키워 나라 지킨다는 그 자부심 하나로 입대한 딸을.. 나라를 지키는 큰 힘중에 내 아이의 작은 힘도 있겠구나 생각하며 자랑스러워 하셨다고 하는 부모님 말씀보며 눈물이 난다ㅠㅠ 저 가해자 얼굴공개하고 윗대가리들 모가지 다 잘라버려라,47
user-le4xr6wx2d,사람이 죽어야만 움직이는 이 상황이 말이되냐 진짜.. 벼랑끝으로 몰릴 수 밖에 없는 피해자가 겪었을 마음을 생각하니 마음이 너무 아프다 진짜 끝까지 버텨보려고 했던 분인데..,15
dlakdma0127,삼가 고인의 명복을 빕니다. 대한민국 모든 군인이 지휘관이 이렇게 무책임하고 숨기기 급급하지 않았으면 합니다. 명예로운 군복을 입고 한시도 명예롭지 못하게 행동하는 것은 너무 무책임한 행동이라고 사료됩니다. 자신의 군복에 있는 계급장의 무게를 생각하며 진실이 명명 백백히 밝혀지면 좋겠네요.,49
user-lw8dh8en2z,강력하게. 처벌하라. 다시는. 이런일이. 없애야합니다. 이중사님. 삼가. 고인의 명복을 빕니다,100
jinkim2438,우리 아이가 저기 누워잇다는데 ...가슴이 미어진다..아,39
user-fg2ym6vq8h,저것들은 절대 반성안해. 이중사때문에 몇명이 피해보냐고 오히려 고인을 모독할것 같음. 절대 저런넘들은 바뀌지 않음.. 아우 저런 천벌 받아 죽을넘들,57
user-po7yl8ni2h,싹다 잡아넣고 제발 이런 일이 두번다시 일어나지 않게 했으면 좋겠다 제발!!,357
user-qq2ng4sn1z,"PD 수첩 이번 회차, 구역질이 올라오고 눈물이 차오르지만 이중사님 생각하며 끝까지 봤습니다.. 짧은 방송 보면서 내가 느낀 감정은 이중사님이 겪은 고충과 각종 모욕에 감히 비할 수 없기에.. 관련자들 제대로 처벌 받을 때까지 계속 주시 할 것이고, 본 사건 절대 잊지 않을게요. 늦장대응 .. 다시 생각해도 열불나네요. 고인 생전에 구속되고 제대로 된 처벌이 이루어졌다면, 고인의 운명이 지금과 달라졌을 거라고 확신하기에 ..........그저 답답하네요. 군 특유의 폐쇄적인 문화 제대로 개편해야 합니다.",14
user-dk8qx7nk2t,정말 눈물이 나네요~~국가는 무엇을 하는가~~군을 보호하는가~~나라를 위해 싸울사람은 우리 국민이다~제발 멈추어 주길바란다~~고인의 명복을 빕니다,6
Leehomill,장중사 얼굴 안 밝히나요 너무 끔찍한데요 나중에 민간에 아무렇지 않게 돌아다닐 거 생각하면 너무 소름끼쳐요,326
jmslifejm2915,삼가 고인의 명복을 빕니다. 너무도 아깝고 아까운 딸 이중사 너무 가슴 아파서 눈물납니다.,6
user-bn4fr1lw9k,군 뿐만이 아니라 성폭력 피해자에게 교묘하게 책임을 전가하고 꽃뱀으로 몰고가는 2차가해 전부 없애야 한다.. 사람을 두 번 죽이는 일임,209
user-zh3uo8jd4i,강력히 처벌해야 된다 진짜 다신 이런일 없도록,78
momofnature1057,딸아이 곱게 키워서 나라 지키라고 군대에 보냈더니 그 딸아이가 주검이 되어서 돌아왔네.. 하늘이 무너지고 땅이 꺼지고 그 누가 이중사 부모님 마음같이 아플까? 21세기에 아직도 19세기 마인드 군대를 유지하네.. 이중사 부모님 힘내세요. 우리 딸 이중사는 좋은데 갔을거에요. 이 방송을 보면서 정말로 한없이 울었습니다. 어떻게 우리나라 군대는 옛날이나 지금이나 바뀌는것이 없는지요,13
user-zl1xt3fo6x,삼가 고인의 명복을 진심으로 기원 합니다,5
BlueNovaSonic,이중사가 안죽었으면 아마도 단 한마리도 처벌 안받았을것,1.1천
user-zf5zr1gt9t,싹다잡아드리고 군은 싹은 집단 이다 그래서 군 검찰을 감시 할수 있는 기구를 만들어야 된다 고인의 명복을 빕니다 가족들에게도 심심한 위로를 보냅니다,57
user-nh9ft3uu4q,장중사 얼굴 왜 안까는데?? 사람 죽여놓고 지는 얼굴 들고 살려고? 지 잘못을 모르는 인간인데 그렇게 보호를 해주고 싶나... 같은 부류라 남일 같지 않아서 봐주나... 이런걸 국정조사해야지 맨날 부르짓던 국정조사 하자는말 안하냐,430
user-rx2ru7fx7w,꼭 죽어야만 움직이는 나라....,332
IiI-gh5qg,너무 안타깝고 되돌릴 수 없다는 것에 속상하다… 이미 피해자는 떠나고 없는데 제발 사건 마무리 똑바로 하길 어떻게 하나 끝까지 지켜볼거임,2
eagle1546,고인의 명복을 진심으로 빕니다 살아있는 우리가 고인의 참 부끄럽기 짝이업읍니다 편히 쉬세요,1
sunheejo5358,이런식이면 어느누가 여자로서 여군을 꿈꾸고 여군을갈수 있겠나요? 해결책을 내야하지... 이나라는 썩을대로 썩어빠졌어...,423
