작성자,내용,추천수
user-so2hs5ie4j,이게 진정한 국회아닙니까 대한민국의 의대한 국회가 되길 바랍니다,23
hangoos,"국회의원 님들!!! . 주로 싸우시기도 하시지만, 이번 일은 아주아주 잘 하신 일입니다!!! . 감사드리며, 수고하셨습니다!!!!!",27
user-zr3gf6le3v,고인의 명복을 빕니다.,16
user-bz6ni5km8l,"군인은 국가와 국민을 지키는 전투세력이다.제발 방산비리로 매국하지 말고,검사처럼 권력을 탐하지 말고,약자를 괴롭히지 않는 진정한 국방부가 되여주길 바란다.",18
user-vd7bd1vr2e,정치인 하고 관련있는 특검법도 지금처럼 확실하게 통과 시켜라,13
sgk5260,그 비극이 다시 또 같은 부대에 소중한 한 여자부사관 한분이 돌아가셨습니다... 삼가고인의 명복을 빕니다... 법집행을 제대로 해야 합니다...,1
King-ml5by,간만에 정말 제대로 일하셨네요 이예람 중사님의 억울함이 꼭 풀어져 가담자들은 모두 제대로된 처벌을 받길 바랍니다,8
js-oo8jn,김건희 특검법도 해주세요. 도무지 수사하질않습니다.,26
user-cq2rq3uc8g,박병석 의장님 제가 팬입니다 ^^ 화이팅 ~,5
user-gi7hc2on2r,눈물은 진심입니까? 정치검사와 정치기레기들의 횡포에 고통 받는 국민들의 눈물은 보이지 않나요? 협치타령 하며 또 개혁 발목 잡고 무산 시키려 한다면 용서 받지 못할 것입니다. 제발 개혁 입법에 동참해 주세요,20
user-po4fn8yo2x,특검법도 정상화 시켜야 한다. 검사는 특검도 수사를 할수 없다. 수사는 수사를 배운 사람이 해야 한다. 사건에 대한 의문을 푼 적이 1번도 없다.,1
jinheebae2642,김건희 윤석열 특검 법도 해주세요!!!!!!!,23
user-to7rn7iy6n,울먹인다고 해결될 문제가 아닙니다 사회정의를 실천하시기 바랍니다,1
user-lc2fi4wl5u,이제...국회의원들... 쓰리 아웃제 도입하자...,14
taegyukim8244,다행이다,3
IT-kz1yn,고이예람중사님에 저주가 시작되었다. 가해자 3족이 멸할것이다,1
sideplanet4723,심상정은 아예 참석 안했죠? 참나... 티비 앞에서는 이예람 중사 아버지에게 꼭 진상규명 하겠다고 쑈 하더니.. ㅉㅉ,3
hahomao2339,병석아? 안타까운 일이라 애도해야지. 당신은 뭐가 중헌지 모른다. 전반기 끝난다고 당신 맘대로 국회운영하면 많은 국민이 피눈물 흘린다...,1
qpalzmwoskxn-dv7zl,바로 되풀이 됐죠?????? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 대한민국 수듄..... 우리나라 국민들 참 착하다... 자기만 피해 안당하면 된다는 마인드~,1
user-lq3ic3be2l,악어의눈물!!! 진짜 민주당스럽다 이예람사건이 그렇게 울컥하세요? 검수완박은 대차게 상정통과시키겠죠???,0
user-xt8ss7yh9v,특별검사도 수사와 기소를 나누지 그러냐,0
user-ke8no9ih3d,병석아 쇼 하지 말고 큰일 좀 해라,10
user-cc2op9oq6d,병석아 그거만 중요하냐? 병석아 외국엔 왜 가냐?,2
user-gn6ut9ts8e,나는 왜 이예람 중사 부친만 보면 증오와 혐오심이 나는지,0
user-th6zs1wt4e,야당 놈들은. 말로. 하지말고 확실하고. 강력한. 법을 감행 하여. 군대체질을. 잡아야. 된다!누가. 자식들을. 군대에. 보낼까!?,0
user-qr1kk6my6i,공군만 그럴까? 이번에 군부터 개혁 혁신시켜라 이후 검경 확대시켜라,1
user-iv3me3wy3l,BBS.... 지켜보고있다.,0
user-jk6ob2uk2b,박병석 의장은 미국가지말고 검수 완박도 통과 시켜라.,1
user-qp4oi4hn3l,검수완박.~~ 이법이나 막아 주시요. 진정 국민을 생각한다면,0
user-hx5qg4yj3b,국홰의장 그대는 그림자였을뿐 나라발전에 기여한게 1도없었다는것을 부끄러움으로 알라,3
user-iw8yi7nh1j,임기말에 해외순방잠시미뤄두고 검찰개혁 꼭 이뤄주세요.,3
protect_pangil,검수완박 했으면 저런것도 경찰이 수사하다 계곡살인사건마냥 묻어버리겠지,0
Sprise,피해호소인 운운 생각나네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
nadearo,울어? 액션 이런 사람이 국회의장이라고?,0
ilillililiiilllliiliillli,군대에서 죽은 남자들은 죽어도 상관없고 자원해서 들어간 여자들은 군대에서 죽으면 이렇게도 관심을 갖는구나,5
utangom,아니 대통령바뀌니 이제 겨우 통과시커 1년만에 그래놓고무슨 울먹인다고 쇼를해 ㅋㅋㅋ,0
user-ow4vo7ff2t,ㅋㅋㅋ 바로 되풀이~,0
user-cx5ge6pr1t,검찰개혁법은 의결 안하고 미국으로 튀는주제에 질질 짜는척 하고있어,1
user-nj9jl3wx4w,놀구있네 ? 언론법도 방해 검수완박도 방망이들고 하와이로 나르샤,0
sunheejung2670,여행만 다니는 의장 왜그러실까? 일좀 하시지 검찰개혁 언제 하실려고 언론개혁? 왕수박,4
user-ib2eb4uc8y,좌파가 또쇼하네.개가웃느다,0
