작성자,내용,추천수
jingchen9695,getting teary eyed just looking at photos of her and her parents together. it's so heartbreaking to watch. genuinely wish her parents can find love and peace in their life again.,164
KaraleeX,"Rest in peace , I'm so sorry they failed you.",77
purnima7771,"Such a beautiful tribute lot of love , faith, peace and strength to you and your family",58
lizazul18,Que hermoso tributo para Lee Yeram. Descansa en Paz,35
dimpledsunflower,"I can feel the love of this family, I’m really sad but also happy that she was loved so much. Rest In peace.",16
shrimi,"rest in peace yeram, i'm sorry the system failed you. you fought hard, you're an inspiration for all of us",18
myrandomlife4676,she's so strong and determined. I'm so proud of her for even hanging on for as long as she could. she's truely such a role model. may god provide eternal peace to her,4
user-my1pl9go1b,공군기술학교때부터 항공과학고등학교에 관심이 많았던 사람입니다. 고등학교 시절부터 부사관의 꿈을 품으며 달려온 이예람중사님 편히쉬세요..그리고 군의 폐쇄적인 시스템이 20비행단과 15비행단만의 문제일까요? 부디 피해자가 가해자처럼 몰려 괴로워하는 일은 더이상 일어나지 않도록 해야합니다. 이예람 중사님의 명복을 빕니다. 꽃다운 나이에 안타까운 죽음이었지만 이예람중사법을 만들어 재발 방지에 힘써야 합니다.,346
user-ub1nn8no2c,가족들이 이노래를 만들며 얼마나 우셨을지… 피해자는 절대 한명이 아닙니다 가해자가 처벌받는 그날까지 지켜보겠습니다,129
user-nr9un9bu5h,삼가 고인의 명복을 빕니다... 가족분들 힘내세요,157
user-yg9zc1yn2f,본방 시청하는 내내 울분을 참을 수가 없었어요.. 너무 안타까운 별이 져버렸네요ㅜㅜ 가해자들 꼭 엄벌에 처해주세요. 삼가 고인의 명복을 빕니다..,84
user-xj8ck9qy4l,고인의 명복을 빕니다. 가족 분들의 사랑이 느껴지네요. 모두들 건강히 지내시길 바랍니다,31
abinp4509,공군인 전역인으로써 가장 부끄러운 사건. 병사들에게만 모든걸 강요하지마시길 진심 어디가서 공군출신 이라고 말하기 힘들다. 삼가고인의 명복을 빕니다.,139
srlee9784,본방사수 했는데 가슴이 먹먹해 죽는 줄 알았습니다... 부디 가족분들 힘내세요! 삼가고인의명복을빕니다,88
user-wo4om6pt9x,오빠님이 노래를 잘지으시고 노래도 좋아요 들으면서 울컥.. 모두 평안하세요..,59
user-le3kz9jb3j,얼마나 고통스러우셨을까... 사후에도 어떤 세계가 있다면 정말 행복하시길 빕니다,17
DDDK2,어떠한 처벌이 내려지더라도 부족하겠지만 피해가족들 그리고 국민들이 납득할만한 가장 강력한 처벌이 가해자에게 내려지기를 바랍니다 고인의 명복을 빌며 남은 가족들분들에게 위로를 드립니다.,45
4_ever_a_dreamer495,Rest in peace Lee Yeram,6
tghj918,삼가 고인의 명복을 빕니다. 군대가 부끄러워지는 이 순간이 참 괴롭습니다. 나라를 지키러 와주신 당신께 부디 온 국민의 진심어린 애도가 닿기를 바랍니다.,11
user-ek2lh7si6u,삼가 고인의 명복을 빕니다.. 가해자가 꼭 엄중한 처벌 받기를 바랍니다!,28
annlouis8294,쓰다.... 노래를 들으며 삼키는 감정이...... 가족분들께서 아픔 잘 견뎌내고 이겨내고 계신듯이 보여 다행입니다... 아파만 하고 계셨다면 중사님께서도 많이 힘들어하셨을텐데 정말 다행입니다..,45
asmuzen,May her soul rests in peace You'll be missed and may those perpetrators be burned in hell monsters My condolence to the grieving family,4
sandrago3141,슬프네요 모두들 힘내시길바래요.. 고인의 명복을빕니다ㅠ,38
RedRose2355,"I'm sorry you had to go through all of this when you were right all along. You are an inspiration on determination to seek justice, I'm so sorry you were bullied. Rest in peace sister, see you on the other side. Much love",0
user-nc6ys4vi2g,삼가고인의명복을빕니다 관련자들 모두 엄벌받았으면 좋겠습니다,68
letdanielletellyou,What a special woman you were and how much you were loved. I’m so sorry the pain was to much for you and that the people who should have protected you most failed you. Shame on them. You deserved better. Your story will be told and hopefully people will learn from this. Woman deserve respect and compassion. God test your soul. ️,0
INFP22,고인의 명복을 비는 것에 그치지말고 다시는 이같은 비극이 없어야 그게 고인을 향한 진정한 애도라는 생각이 듭니다.,35
