작성자,내용,추천수
stickcandy10,피해자 가족 분들 절대로 죄책감 갖지마십시오,44
user-fb8id9mc6k,저승 가서라도 꼭 피해자에게 무릎 꿇고 사과해라.,45
kwangsoonp,피해자 만나면 꼭 사과하시길... 명복을 빕니다.,26
mori4665,억울함이 없게 엄정히 대처하려 했으나... 사람이 죽었으니 중단 이딴말만 하지마라,556
user-sm9fs8bp4l,피의자 죽었다고 수사 중단 하지마시고 끝까지 관련자들 철저히 수사 하시고 엄중 처벌 하세요,13
user-od2zp3ld9p,죄지었으면 법적처벌받고 가야지 뭐하는 짓거리야 참 인간말종이네 죽어도 좋은소리 못듣는짓 했다 불쌍하지도 않다,163
user-wc6dr3lr4w,그러게 왜 그런 인간같지도 않은 쓰레기짓을해 안들킬줄 알았겠지 죽을놈들은 어떻게 해서라도 죽음,500
JS-bq4cf,이와 관련된 더 철저한 조사와 엄중한 처벌이 꼭 이뤄줬으면 합니다,2
-ch5487,죽어서도 욕먹는 처참한 인생...,13
user-ft5zu1sg6k,벌은 받고 죽어야지...,610
rycaon,군인정신이 조금이라도 있었다면 본인도 남은 가족도 행복했을 겁니다,4
user-gg3md1iz5d,삼가고인의명복을빕니다.,0
user-qi3qd6zh4d,군대는 뭐하나 제대로 되 있는게 하나도 없네 어떻게 수감자가 잘못될 수가 있나? 아이구 이 한심한 것들아 이래가지고 전쟁은 똑바로 할수 있겠나?,62
goodmandosomething5094,그러니 자신의 직업적 소신에 맞게 행동했으면 피해자 이중사도 극단적 선택까지 하지 않았을 것이고 너도 지금 가족과 잘 살고 있었을 것!,5
001yutyut,그래도 간만에 코로나로 인해서 힘든국민들에게 그나마 위로가 되네요…^^,8
cjsrnrdptj1009,"그 놈의 ""인권""이라는 단어 좀 그만 쓰면 안되나? 누구를 위한 인권인가? 고인이 된 부사관의 가족들에겐 안 된 말이지만, 결국 자업자득. 비겁하게 죽음으로 도망가면서도 자기변호를 위한 글은 안 남겼으면 좋겠다.",109
user-br6pi4gb8h,삼가 고인의 명복을 빕니다 지장보살부처님 지장보살부처님 지장보살부처님 과거현재미래의농촌마을어촌마을도시에부처님의자비와축복이충만하시길육십갑자일내내기원합니다소원합니다기도당으로인도해주옵소서나무대비관세음보살부처님,0
sukjung489,지은죄를 감당하지도 못하면서 왜 그러셨어요 죄를 용서하진 않지만 그에 합당한 벌과 비난을 철판깔고 감당하진 못할 정도인데.. 아들군대보낸 엄마입장에서 남겨진 가족 생각해보면 가슴이 아립니다.,1
duri4364,엄청난 사실을 얘기할까봐 더 나쁜 인간이 죽였을수도...,154
stonerhearth7957,대한민국애서 가장 안좋은 점들은 전부 군대에 쌓여있다. 천천히라도 해결해 나가자. 멈추자 말자.,3
user-hz3dy3fm4g,고인이 된것에 축하를 드립니다 풍악을 울려라~~~,3
user-kj9mz1qm4t,죽음으로 죄를 씻을 수 있을거라 생각하지 마라. 진짜 하늘에서 무릎 꿇고 손에 불이 나도록 무릎이 아작나도록 빌고 또 빌어라.,0
user-wi9ib4jg2k,죽어도 분이 안풀리는 건 왜 때문이지...?,3
chumihee2797,끝까지 무책임 하고 비겁한 행동을 했구만… 이중사의 억울함을 풀어주는데 도움주고 당신도 속죄 하는게 훨씬 가치있는 일인데…,90
user-rh3uu1xr9p,자살이라 수감중인데 필기도구는 어디서 나서서 작성한거지?CCTV 으로 감시하고 있다며 어떻게 자살했는지 공계해봐 자살으로 꾸며서 자살으로 성폭행사건 마무리짓고 꼬리자르기 할려고 하네 참 어이없네 혹시 위선에서 지시하게 뻔하고 그런데 윗선도 가해자있다는 뚯 함 할말없다,136
user-dz8ts8lk5v,살아서도 말썽 죽어서도 말썽,2
user-nm4co3dh6e,군 관리 및 처후의 실상이 낱낱이 밝혀지는 사고 물론 관련자들 조사 대상!,3
user-vr6iu6qo7b,사건을 이대로 흐지부지 넘어가려는 것이 아닌가 생각이 듭니다. 가해자가 사망할 환경을 만들었다는 것도 수용 시설에 무슨 문제가 있지 않을까 생각이 됩니다. 피해자 분이 억울함을 해소할 수 있도록 끝까지 조사를 했으면 좋겠습니다.,0
