작성자,내용,추천수
alexpark8557,고인의 명복을 빕니다.. 정말로 안타까운 일이 재발하다니 이것은 고쳐져야 한다고 생각합니다. 제발 자세하게 조사되어 근본적인 문제가 해결되어야 한다고 생각합니다. 유가족분들에게 미안한 마음을 전달하고 싶습니다.,4
JL-ox4ty,고인의 명복을 빕니다.,1
user-jz5cq9uc8q,마음이아프네요 ㅠㅠㅠ,2
user-vn8bn6jl5c,얘네 진짜 문제네! 절대 그냥 넘어가면 안된다! 인생 아주 쪽박찬다는 걸 보여줘야 한다!,7
Alteizen3823,진짜 쪽 팔린다 저딴 것들 때문에 간부도 단체로 욕먹잖냐ㅡㅡ,2
user-ov3kp4oc9t,이정도면 월급에 성관련 비용도 줘야하는거아냐? 걸린놈들 손목 과 성기 절단형으로 ~~~~ 이번에는 과연 뭐가 문제 였을까?ㅠㅠ 제발 군당국은 사실을 음폐말고 니들의 잘못을 인정하라 ~~ 공군참모총장이하 부대장은 이등병 제대 시키고 범인은 20년형이상으로 처벌하라 ㅠㅠ (희망 ㅠㅠ) 고인의명복을빕니다,5
user-xy3lg2ft4c,고인의 명복을 빕니다 일동 묵념,6
hagsun9987,전시도아닌데 군사비밀이라하고 수사도유야무야하는 국방부 성역없어야한다,2
user-bp8ei8br1m,벌이 약해 살인 죄로 다스려야 하는데 ...,2
user-or7zd4zy4z,"예람씨 뉴스가 아직도 생생하다, 햐 내가 군을어떻게 봐야겠니?",5
user-cr9me4wo4v,걍 피해자 죽으면 가해자도 사형으로 무기징역 때려라 왜케 처벌이 가볍냐,0
user-nf7ei1vk2r,이부대뿐이겠나 전면 조사하라 근본을 해결하라,2
hagsun9987,피해자보호가 전혀이루어지지않는구먼,1
jayj3371,섞은 공군 2021년 성추행 피해 공군 부사관 사망 사건의 여파로 20비 단장이 보직해임되고 누가 박기완 준장 후임 선정했는지 조사 바랍니다. 이 사건 보직해임된 전 사령관부터 다시 수사해야 됩니다.,1
user-uw1cl9cg7w,저봐..군당국 아직도 난초해 할뿐 아무것도 해결하겠다 이런거 없으면서 신단만 바꾸면 뭐해 성적인부분에선 아직두 저러는대 또 걸리면 가족지키기식으로 나올거면서 죄를 저질럿으면 죄갑치뤄야지 가만히 살려 말이나되 하긴 공군 머리라는 인사는 책임을 무겁게 느낀다하면서 도망첫지..,1
user-pe6wu1re5j,요즘 저런 군대가 어디있냐....공군 진짜 어떻게 돌아가는거야...,0
user-ky5lt9ei2g,그 부대 자최를 없애고 다시 제 편성해야... 다 강등시키고 불명예 제대시켜라.,0
user-kz6pi7yh9e,또또 20전투비행단애 정비담당이네...가해자 한명의 문제가 아니라 부대전체에 잠재적 성범죄자들이 문제인듯....반드시 뿌리뽑지못함 희생자만 억울하지...군법이 민간형사법보다 강해야되는데 이나라는 어째 군법도 물법이야...,3
user-pw3gd1yx8i,이부대는 도대체 어떤부대 이길래 여군들이 계속자살을 하는지 안타깝다 이부대는 해체가 답이다,1
IT-kz1yn,고이예람중사 저주가 시작되었다. 모든 가해자들은 3족이 멸할것이다.,0
neoper8074,"수원 제10전투비행단과 합쳐 완전히 구조조정해야, 썩어빠진 충남은 대대적 개혁이 필요하다.",2
user-pm6nd1gd5h,참답답다 한심하다,2
hagsun9987,국방부 사건은 경ㅈ달이수사해야한다,0
user-uz8tq6iu1y,이건 저 부대에 문제가 있는거다.,0
michaelcho8689,또 사망이라니 느들이 인간이냐,2
user-he5lq6pw9i,해당 부대관련자들 인식수준..,0
soongpark683,부대내 에서는 누가 그런일을 벌이고도 안 잡혀 가는지 알고 있다 북한간첩 민주당편에 서서 온갖 못된일을 서슴 없이 하는 권력 실세 군인 이지 누구 겠나,0
user-mr4bk1of4s,관련지휘관 무두 면직.파면시켜라. 지지율 또 급락하겟네,4
user-ye9cf3np4n,"공군부대, 없~애라.",1
hagsun9987,국방부 아주 못쓰겠고만,0
user-yh8mm8xe1v,변퇴 부대,2
chatterfrog1957,"남.녀 평등 얘기하지말고 여군은 여자만, 남자는 남자끼리 군생활 시켜, 계급사회에서는 저런일 계속 반복 될 뿐이야, 아니면 뽑지 말든가",2
user-hu3of2cd1x,죽는 것은 어디에도 있다. 오늘 한국인 몇 명이 사망했을까?,3
user-nl2cv6vq4w,여자들군대갔지마,2
user-hz2uh8st2c,여군 그만 뽑자.,1
