작성자,내용,추천수
hyeyoung0610,이예람중사님께서 81일 동안 가해자들에 의해 받은 고통으로 힘드셨을까 생각하면... 38명의 가해자들이 오랫동안 고통받으며 살아가길 바랍니다.. 정말 속상하고 억울하네요..ㅠㅠ,1천
april27_water_lily,"피해자가 초동 대처부터 적극적이고 합리적인 노력을 했음에도 공군의 조직적이고 비이상적인 대응과 가해자를 두둔하고 사건을 축소, 은폐하는 태도가 결국 피해자의 극단적인 선택을 유도한 것이나 다름없구나",1.3천
user-dl2vm9qi4j,진짜 너무빡치는 사건임 사건을 은폐해서 공군의 위신을 지키는게아니라 이런 사건이 일어나면 확실히 어떻게 되는지 처리해서 사건을 방지하고 그러는게 더 공군의 위신을 세우는거라는 생각을 지금도 못하고있다는게 너무 빡치는 사건임,1.1천
leejune5282,취재해주셔서 감사합니다. 저도 작년에 이 사건을 접하고 마음이 너무 안좋았는데 그알 덕분에 다시 한번 관심갖을 수 있게되었습니다. 나라를 위해 살아가고자 했던 고인의 노력이 느껴져 더욱 안타깝습니다. 유가족분들이 원하시는 합당한 처벌과 조치가 제대로 이루어졌으면 좋겠습니다.,220
user-oc4ti1yc1j,너무 가슴아픕니다.. 언제쯤 여성군인이 직장 내 성범죄로부터 제대로 보호받을 수 있을지.. 답답하네요,583
som9579,진짜 어떻게 보면 이제야 수면위로 오른거 아닐까.. 그전에도 무수하게 많은 피해자들이 있는게 아닐까 그래서 법진행도 저런식이고 가해자태도들도 저런 분위기인걸 당연시해서 그런걸수도 있을지도 진짜 너무 슬프다.. 그알에서 이 사건을 끝까지 물고 늘어져주길바랍니다,418
user-eq3lz9ze7u,시청하면서 많이 울었어요ㅜㅜ 남겨지신 가족분들도 남편분도 얼마나 힘드실지 짐작도 안갑니다... 이예람 중사님 고인의 명복을 빕니다.,131
user-iu7pm5wy6m,야 미쳤구나 가해자가 도대체 왜케많어 미친것들 아휴진짜 이런것들이 지금 숨쉬고살고있냐 꼭 천벌받길 바란다,288
user-rx4fh7wh6t,꽃다운 나이에 사랑하는 사람도 두고 떠날 정도면... 설마 아직까지도 겨우 그정도 일로 라고 생각하는건 아니겠죠? 가해자들은 평생 죄책감을 가지고 살아야 합니다.,276
user-dy8st5rf5b,"술 따르라고 굳이 여군을 부르고, 그 여군을 성추행하는 데서 군대가 '여성 군인'을 어떻게 생각하는지 보여서 기가 찬다ㅋㅋㅋㅋㅋㅋ저래놓고 81일동안 어떤 말로 사람을 피말려 죽였을지도 훤히 보인다. '이래서 여군이 문제야' 이랬겠지? 한마음 한뜻으로 뇌가 고추에 지배당한 가해자 남성을 보호하고 자신을 두 번 죽이는 '남성 집단' 안에서 얼마나 무섭고 두려우셨을까 눈물이 난다..",439
