작성자,내용,추천수
user-dwkk,어떻게 이럴수가 있냐... 왜 같은 일이 반복되는건지 너무 어리고 아까운 나이에... 부모님 마음이 어떠실지... 반드시 그 가해자들 마음편히 살지 못 하도록 벌받길.,624
romio682ify,밝혀진게 이정도면 그냥 쉬쉬하고 넘어간 사건들은 얼마나 많았을까.. 고인의 명복을 빕니다.,2.1천
user-sc8fd8zn6f,"여러분 명심하세요. 1. 거지 같은 곳에서 마음 졸이지 말고 빨리 때려치우고 새롭게 출발하자. 2. 살고 싶지않다면 절대 혼자 가지말자, 원인 제공자를 저승으로 데려가자.",3.1천
k-6.9sdick,한명 죽게 했으면 평생 쉬쉬하며 살텐데 얼마나 썩어빠질때로 썩어빠졌으면 몇년된 것도 아닌데 사건이 연이어 터질까.. 하나도 은폐하려 하지 말고 연관된 가해자 모두 엄벌을 처해야 한다.,1천
stasera4136,세상에 숨진 여군의 부모는 눈에서 가슴에서 얼마나 피눈물이 날까 ….. 삼가고인의명복을 빕니다…. 천국에서 편히 쉬소서…,411
a.rich.unemployed.person,"21살....정말 꽃다운 나이인데..ㅠ,ㅠ 삼가 고인의 명복을 빕니다",341
heartbeat7274,저렇게 스스로 목숨을 버려서 까지 억울하고 힘듬을 알리려고 할 정도에 일들이 같은 부대 내에 계속해서 있다면 저 부대는 진짜 문제가 심각한거 아닌가?,2.3천
user-ju8hc9jh3x,너무 안타까운 사건이다.. 강력히 사수해 모든 가해자들이 강력한 처벌을 받길 강력히 원합니다.,590
vivivsl,가해자들을 꼭 처벌해주세요 부탁드립니다 강하사님 부디 그곳에선 힘들어하지마세요..,286
DesN.A.,저 부대 문제 진짜 심각하네. 그런 비극이 있었는데도 전혀 처벌도 물갈이도 안 된 게 분명하네. 스물 한 살 젊은이의 꽃다운 목숨이 저렇게 또...,708
hyunolee9503,"제 여자친구도 군관련 기관에서 일했는데 계급 높은 양반들이 술자리에서 허벅지 만지거나, 노래방에서 포옹하는 행동이 아직 있다고 합니다. 심지어 출장 가서는 사람들에게 내 와이프야 라고 말 한다고 하네요. 여자친구가 나이가 많지 않다보니 어떻게 대응해야 할지 모른다고 했는데 이런일이 벌어지지 않도록 제도적으로 개선하고 직장내 성희롱과 성폭행은 강력하게 처벌하여 주세요.",329
andantino77,화가난다 정말 21살이면 아직 애기다. 저 어린 아이가 얼마나 힘들었을까? 저 부대는 간부들이 썩었구나,864
user-kr8kw7jr6o,이부대 해체시켜야한다 처철히 조사해서관련자 자처벌해라 고인의명복빕니다 꼭진실이 밝혀지길,1.2천
holyyeon3926,유서가 보이지 않았다라는 말도 믿을 수가 없을 정도로 썪어버린 부대인듯,2.3천
hmk9503,삼가고인의명복을빕니다 그곳에선 편히 쉬세요 ㅠㅠ,91
user-nt5zv7fk7v,아직 어린데 안타깝네요 고인의 명복을 빕니다 부디 좋은 곳으로 가셨으면 합니다,199
hyuk2635,강하사님 편히 쉬세요 삼가 고인의 명복을 빕니다,261
gwichonist,"똑같은 일이 같은 부대에서 반복되는데, 책임자들 엄벌에 가중처벌 해야 하는 것 아닌가요? 의식 수준이 기가 막히게 천박하고 한심하네요.",141
user-yw8sz2vo3b,왜자꾸 여군을 못살게 구냐 어린나이에 안타깝네요 삼가 고인의 명복을 빕니다,1.1천
user-qe4ds3hr5y,죽은 사람만 억울한 일로 끝나지 않기를 바랍니다.,688
yurini5940,어떻게 사람이 죽었던 관사에 배정을 할수 있을까? 언젠가 알게 될텐데 ㅠㅠ 삼가 고인의 명복을 빕니다.,60
user-vh1ng4ep7c,가해자 신원공개해라!!!! 개같은 법이다!!! 사람이 죽어나가도 제대로 처벌도 안되니 또 이런일이 생기지!!!! 2차 가해하는 인간들~~~ 아니 짐승들!!! 똑같이 죄인이야!!,175
user-ko5ub5mg8u,언론에 직접적으로 밝혀지는거는 극히 일부라고 생각됩니다. 삼가 고인의 명복을 빕니다,174
user-it3nc2hq5m,말도안돼...어떻게 자살한 방을 배정을 할수가있지...어떻게 저러지 진짜,159
TheMan-gn2sl,만 21세면 01년생일텐데 이런 전도유망하고 피끓는 청춘을 허무하게 보낸 자들 철저히 수사해서 응분의 죗값을 받게 하라.,666
dog__0000,좋은 일 하셨는데 정말 안타깝네요... 부디 좋은곳으로 가서 그곳에선 편히 쉬시길 기원합니다,24
user-of6ny7dh2u,진짜 가슴아프다 사람이 사람을.. 마음속으로 미워는 하되 괴롭히진말자...,129
lys3557,도대체 몇사람이 저렇게 희생되야 제대로 수사할지ㅠ 제대로 수사를 않하니 귀한 목숨을 저렇게 버리시지ㅡ 맘이 너무 아픕니다ㅡ,60
user-gr7km5bh2d,삼가 고인의 명복을 빕니다,19
user-ly7gy8bi3j,이런 끔찍한 살인이 또 벌어지지않게 조치를 취하고 뭔가 대책은 생각했어야지..하... 얼마나 외롭고 과롭고 화나고 무력감을 느끼셨을지.. 고인의 명복을 바랍니다.,1
user-is8co9it4j,"노답이다. 죽어야 관심을 가지고, 사회적 이슈가 되는게 빨리 개선 되면 좋겠다 (고인의 명복을 빌며..남겨진 가족 분들 작은 위로를 드립니다.)",186
WW-un2fl,가슴 아픈 일이 또 반복되었다니 안타깝기 그지없네요. 오랜 공부와 훈련 끝에 꿈을 안고 임관하게 되었을 21살 초임하사에게 선택의 여지도 주지않고 본인 모르게 고인의 숙소에 그대로 배정한 일은 너무나너무나 잘못된 처사라고 생각합니다.,16
user-uk4yq7ci2o,진짜...할말을 잃었네요 또 다시 이런일이 ㅠㅠ 무슨짓입니까 ..얼마나 억울하면 죽기까지 합니까 진짜 욕이 나오네요 너무 안타까운 죽음입니다. 손뻗어도 잡아주는 사람이 없다니...얼마나 힘들었을지 상상조차 안됩니다..,2
user-vx8nh6cq8j,고인의 명복을 빕니다,3
youngholee5481,군이라는 익명성을 이용하는 악마들을 처벌하라!!,709
user-hn4vg4om5x,고인의명복을빕니다,1
user-qu7te5cq9g,어렵게 공부해서 보내놨더니 저렇게 하늘나라로 가버렸으니 부모님은 얼마나 가슴이 아플꼬...,197
user-iw6mq8vy6j,처음 수사하고 제대로된 판결을 내렸으면 이런일이 번복되지 않았을건데 이번에는 제대로 좀 처리합시다. 고이예람 중사 가족분들이 이걸보면 얼마나 마음이 더아플까요 2명의 앞날 창창한 여성2분이 꿈도 이루지 못한채 세상을 떠나야한다니..,35
user-bo7cg9uo2b,여군 하사들 고생 많음. 여군이라서 불편하고 임무수행이 남군보다 불리할 거라고 사람들 생각해서 장교들도 그렇고 다른 부사관들도 꺼림. 그래도 악착같이 열심히 하려고 하는데 20대 초반에 수직적 사회에서 소수이기 때문에 느끼는 외로움도 많을거임. 그런데 거기에 남군(특히 선배 부사관들)이 툭툭 건드리고 만지고 그러면 그 상황을 어떻게 벗어나야 할 지 모름. 부모님 걱정도 되고 여군이 또 난리친다고 할까봐 말도 못하고 마음 앓다가 공황장애 우울증 걸리고 결국 저렇게 자살하게 되는거임. 그러면 부대에서는 자살한 여군 흠 하나 잡아서 (술집을 자주 다녔다는 둥 성관계가 문란했다는 둥) 자살한 근본 원인 묻어버리는거 자주 봄. 아무튼 여군은 군대에서 고생 많음. 그나마 남자 위주의 경직된 군대를 여군이라는 존재가 더해지면서 부드럽고 유연한 사고를 할 수 있는 조직이 되었다는 점 군인들이 잊지 말기를!,89
hwang7012,고인의 명복을 빕니다.,2
gsjhag2994,속에서 천불이 나는데 유족 분들은 어떨지 상상도 안갑니다..ㅠ 고인의 명복을 빕니다ㅜ,10
user-qs2lm2rl1z,아이고... 저 원혼을 어떻게 풀어주려고.... 난 귀신 안믿는 사람이지만 이런거 보면 무섭던데... 삼가 고인의 명복을 빕니다 21살이면 너무 어린 나이인데 안타깝습니다..,259
user-fv2db3mm9d,안타깝게 왜이런선택을했는지 끝까지살아서진실밝히고 가해자를죗값치르게할수는없었을까요?명복을빕니다. 그리고조사비리없이철저히해야합니다,104
thinktank7652,"모든 부조리와 불합리를 발본색원해서 다시는 재발하지 않도록 강력조치해야. 하지만 앞으로 다시 이런 일이 있더라도 그냥 그만두고 다른길을 모색해야지, 다시없을 자기 인생을 함부로 포기하지는 않았으면 한다. 우리 모두 우주에 머무는 이 시간은 이전에도 없었고, 이후에도 없을 것이기에.",201
user-kq7kp7nc9j,같은 부대. 관사라.... 군대 전체도 문제겠지만 특히 저 부대의 구성원 등 부대 자체가 문제가 많은듯 철저 조사하고 다신 이렇게 어린 나이 목숨 잃는 일 없기를,82
user-je3ko6il4r,"투명하게 제대로 수사 안하는 군사경찰, 검찰을 없애야 된다",109
user-mz9qb8cf3y,숨진 하사는 공군항공과학고를 졸업한 재원인데 너무 안타깝네요. 항과고는 중학교 졸업 후 3년 동안 공군에서 전부 교육을 시키는 곳인데 조직 생활을 한 경험이 있기에 더 잘 적응을 할텐데 짐승 같은 선임을 만나서 결국 세상을 버렸네요. ㅠㅠ,53
i1l1ii1li1,삼가 고인의 명복을 빕니다,56
bj4546,삼가고인의명복을빕니다 ㅠㅠ 근데 이같은 사건이 계속 일어난다고 생각하면 분통이 터지네요,1
sado429,"미국에서 이런 심각한 경우는 피의자들 얼굴 다 공개하는데, 이렇게 피의자들 인권 챙겨주시느라 피해자들의 인권을 짓밟고 좌절시키는 선진국은 대한민국 정부 밖에 없을거 같네요.",99
shl9132,21살이라니 꽃다운 나이인데 저 어린애에게 나쁜샤끼들 무슨 짓한 거야 그만둘 수도 없고 세상이 얼마나 악마로 보였겠나 저 관련자들 제대로 벼락 한번 맞았으면 좋겠다,0
triffissjeon4285,"20비 생활해본 사람으로서 주변 환경이 너무 열악합니다. 서산비행장이 뭐라 콕 집어 말할 수 없지만, 황량하고 사람을 힘들게 하는 분위기가 환경적으로 조성되어 있습니다. 그 넓은 평지와 갈대숲 황량한 풍경, 우울한 분위기... 사람을 좀 우울하게 만드는 환경입니다. 규모도 다른 비행단에 비해서 큰데, 그 공간이 사람을 힘들게 한다고 해야하나... 관사도 부족하고 열악하기로 유명한 비행단인데 거기다가 환경까지 겹쳤으니... 거기다가 전에 자살사고 있던 방까지 줬으니, 처음엔 모르고 들어갔더라도 나중에 다 알았을텐데, 그럼 무서워서 밤에 잠도 못잤을테고, 잠못자다보면 우울증 오게 되어있고, 서산 환경은 그걸 가속화하고...",40
user-ir3lw4uq5x,아~~참 왜 이렇게 안타까운 사건이 자꾸 발생하는지 모르겠네요 죽을만큼 힘이들면 그만두면 되지 죽기는 왜 죽어요 손뻗으면 부모님이 잡아주겠죠 왜 그손을 잡아줄 사람이 없다고 생각을 했을까요 고인에 명복을 빕니다,1
user-qg7pg7vi3v,썩어빠진 인간들! 그 업보가 너희 자식들에게 가도 후회는 소용 없을거다. 짐승만도 못한 ㅠ ㅠ 그 한을 어찌 풀어줘야 하나요. 마음이 너무 아프네요 강하게 처벌해 주세요~,54
user-ii8mv1dm1h,힘없는여군들만 괴롭히는 인간들 엄벌에처해주세요,1
user-mx1wj7ti9u,제발 가해자들에게 무거운 형을 때려라!! 솜방망이 처벌때문에 계속 안타까운 목숨을 잃고있다.,17
nayounglee4497,원인제공자들 엄벌처벌 바랍니다. 저런 사람들을 왜 군인이라는 명목으로 지은 죄들을 묵인해야 하는지 진심 부디부디 저런 일 다시 없게끔 힘써 주세요,10
Ryan-oq4bo,군생활이 얼마나 편하면 온갖 부조리들이 난무하여 대한민국을 이끌어갈 별들이 사라져야하는가 지금까지 해온방식들이 잘못되어 현재는 그 잘못들의 문제점들이 결과로 나타내지는 것을 보니 대한민국의 모든 국가기관 및 공직자들의 세대교체가 이루어져야 할 것 같다.,9
user-uz7oe6dh5s,하..그냥 저 부대엔 사탄만 모인건가 지들보다 계급낮은 여자한테 저러는거보면 정신병원 다 쳐넣어야함.높은남자상관한텐 안 저럴거아니야 선택적으로 괴롭히고,90
follower-ke2tg,처음사건터졌을때 다조져서 수사했어야지 이게 뭐냐 관련자들은 모두 반납해라 징역살분들은 다살고 은폐더이상하지말고 미친,454
user-jr4mu7ym2k,마음이아프다정말...,1
YOU-ly9yr,내가 읽었던 책에서 이런 말이 있었어요 죽으면 모든일은 묻친다 죽으면 그 일은 없었던 일이 된다 라는 글이 갑자기 생각나네요 명복을 빕니다,0
user-pd3oy8pd4z,삼가 고인의 명복을 빕니다,0
user-pt7ew4zl8i,직업군인도 의무복무 말고 언제건 사표내고 나갈 수 있도록 만들어졌으면 좋겠습니다.,16
TVBOKI,"얼마나 외로웠을까.. 고립된 공간에서 그래도 떳떳하게 이겨보려고 이악물고 열심히 살았을텐데 왜 이런 슬픈일이 반복되는걸까.. 부대가 참 문제많아 보이네요. 원래 군부대가 극비리 사건들이 많이 난다지만, 부대가 참 문제가 많아보입니다. 저정도면 부대내에 있는 사람들의 심리가 참 궁금해질 지경이에요.",9
