작성자,내용,추천수
dreamingprincess6967,임기끝나는순간까지도.. .끝까지약속지켜주길...,0
user-cz8tv6mo3h,4개월이나 지났는데 아직도 특검 안하네,5
user-ll7ic1gf5u,감사합니다 아주아주 잘 하셨슴다 아픈마음 어루만져 주셔서.....,4
user-xr7uv8bd8i,군범죄 부실수사 문재인 대통령 도 책임을 져야 한다,1
user-tk6te1of3q,여성가족부 폐지 이후 새롭게 개편되면서 일차원적인 '여성'이 아닌 '성폭력 피해자'가 느낀 고통을 보듬어 줄 수 있는 기관이 만들어 질 수 있도록 해주세요,0
bibi11004,문재인 대통령님..따스함에 감사 드립니다..언제나 믿고 지지합니다,5
user-ou9en9uz9c,드디어 차별없이 감방가겠네..차별하지말자,0
astra_lol,우리 철수 이번 대선에는 삿대질을 배워왔구나. 저번에는 마라톤. 저저번에는 제가 아바탑니꽈!! ㅋㅋㅋㅋㅋ 지켜보는 재미가 있어 ㅋㅋㅋㅋㅋㅋ 근데 눈을 왜 그렇게 떠?? ㅋㅋㅋㅋㅋㅋㅋ,8
coco-fm7iy,"저런 피해자분들이 직접 대통령을 만날 수 있다는거 자체만으로도 세상이 바뀌었구나, 희망이 있구나하는 기분이 들긴 합니다..",2
user-jq3kj6ok7v,조국이 부르면 미국으로 톳겨라 - 스티브유. 니가 옳았다,1
user-wj8tg7xd6z,시체냄새 하나는 기기막히게 맡네 ㅋㅋㅋ,4
user-hv5zu5nz3d,2009 프랑스 한국인유학생 불법촬영 조직스토킹 범죄단체를 왜 방치하십니까?,0
user-vy9cu3pk5d,소 잃고 외양간 고치누만...ㅠ,0
ilillililiiilllliiliillli,진짜 여자군인 죽은곳엔 빠지지않고 참석하네,8
rokgptr,60년동안 죽거나 자살한 남자군인1만명.....문재인 당신이 말하는 정의는 도데체 뭐요?,7
user-kh3nu8lr1w,"사건 발생한지가 언제인데 이제야ㅡㅡ, 행사하러 가셨구만",5
ususuide9373,그래 쇼라도 이게맞는거다,1
sunkillhong6223,쩝쩝이답다^^,6
MrScrolldown,넵 그렇지만 9년 판정,2
leesungmanmusic8594,부모 만나면 뭐해! 강력하게 법을 만들어야지 민주당넘들은 도데체 보수당이냐? 수박들아,2
mj-kl1bx,어이 쇼통령 또 쑈하러 감?ㅋㅋㅋ,16
castle_base7149,만나서 뭐할건데? ㅋ,1
user-rx7ic8kl2g,문재인대통령님 감사합니다 사랑합니다,1
