작성자,내용,추천수
unknown_641,오빠 분 말이 뼈에 박히네요 이 나라는 아직 바뀐 것이 없구나 라는 것을 정말 잘 느껴 졌고 동생있는 오빠에 입장으로 본다면 정말 증오하고 화날 것 같군요.. 정말 하루 빨리 바뀌는 것이 좋지만 솔직히 이 나라 쉽게 안 바뀔 거라고 생각 하기에 더 암울 하게 느껴집니다. 부디 동생 분..명복을 빕니다. (무기 같은 거만 세금 팍팍 써서 최첨단 군대 만들 생각만 하지말고 그만큼 군 내부 질도 더 바꾸길 바랍니다. ),274
user-xs5sk3qb2v,아.. 기사 볼때마다 가슴이 너무 아프네요. 부디 그곳에서는 편히 쉬세요.,95
cadetkstubeyou,"군사법원을 없애야 할 이유 하나가 추가됐네요. 밖이라고 크게 다를 것 같지 않지만, 군사법원은 군범죄자들에게 너무나도 관대합니다. 제발 군사법원 없애주세요.",128
younghoonkim9199,은폐하고 숨기려고 무마하려 했던 지휘부도 엄히 처벌해야 합니다.,91
space9540,9년은 너무 적다 고인의 고통을 외면하고 죽음으로 몰고 가는 상황을 생각하면 법은 결국 산사람만 죄인을 위한법 고인의 가족들이 평생을 살아 있는 동안의 고통스런 삶을 살면서도 마음 한구석에 죄책감이 억울함을 풀어주 못한 미안함 하실텐데,84
aronk227,세계 어디든 인간이 존재하는곳에는 권력이 모든걸 지배한다. 특히 우리나라는 공부해서 출세해야 억울함없이 살아갈수있다. 삼가고인의 명복을 빕니다.,78
user-bv9vg6bm9l,가해자들 진짜 평생 괴로움에 시달려서 죽지말고 영원히 자식까지 고통받고살길 간절히 빕니다,7
user-hq6xn8nx6z,뭐라 할말이 없다. 가해자가 9년을 받든 90년을 받든 죽은사람은 돌아오지 않는걸... 에휴...,107
user-qc6to2ku2e,판사 딸 부인 엄마에 할머니꺼지 꼭 똑같은 일을 당하길 간절히 기도한다,80
user-uk9nj4vd6x,어처구니가 없다 살인마가 9년 징역이라니?? 유족들의 억울함 어찌하나~~ 고인의 명복을 빕니다,50
moveon2,"한국 법이 피해자편에 서서 보호해주고 도와주지를 않는 현실을 또 느낀다. 가해자 죄질이 얼마나 피해자에게 고통스럽고 역겨운짓인지 사회적 인식을 갖게하고, 죄값에 책임지게 하려면 미개한 법의 개정 및 판사역량 강화를 요구한다!",24
basicssupport_Kiseo,고인의 명복을 빕니다. 할아버지께서 하신 말씀이 기억나네요 직업군인할거면 우리나라에서 하지는 말라고 왠지 알겠습니다. 제 인생에 있어 최선의 선택인거 같습니다,30
YKjykgg,재판장이 입장 바꿔서 생각해보세요 제발 자기딸이면 과연 이런판결이 날지 이런기사보면 진짜 화납니다,27
user-sn3fs5gy6p,항상 판사 가족들 사건 나길 기도 합니다,66
sejunghwang7563,9년??????? 정말 억장이 무너지네요.. 내 가족이 당했다고 생각하면.. 정말이지..,20
user-fi3vo2fo8y,가해자 가족들 대대손손 고통속에 살아라 영원히,5
user-rk6zt7dw9m,우리나라 법 수준 1. 전국민이 아는 큰 범죄 = 무기징역 2. 무기징역보단 약한데 심한 범죄 = 20년 3. 그냥 적당히 주자 = 10년 4. 그 외 = 5년 이하,124
hee2258,와 ㅅㅂ 한가족을 망치고 한 사람을 죽였는데도 9년?,192
user-wc7vv3fi4z,우리나라 법은 강한자에게 강하고 약한자에게는 더 약한 법이다. 삼가고인의명복을빕니다. 진심으로 군은 반성해야하고. 유족에게 사죄를 해야합니다.,0
user-nc3uz6bb3t,사람죽여놓고 고작 9년 어느나라에 사람죽이면 징역 몇십년넘는데 대한민국법의 어떤기준인지 참 궁금하군,95
user-jw9tc3ou9n,가족분들 꼭 힘내세요.딸 키우는 입장으로 남일 같지가 않습니다.,14
momokim1583,이중사 가족분들 응원합니다. 깊은 분노로 함께 이 사건 지켜볼게요.,14
cherryboy1798,가해자 가족들 신상 모두 공개해서 죽을 때까지 지옥에서 살게 해야한다,3
user-jy4xv9ov2p,가슴이 미어집니다.,8
user-bu1ky2cq3h,이예람중사님 하늘에서 부디 편히쉬십시요. 하늘에서 훨훨날아서 못다이룬꿈 이루세요.. 같은여자로서 너무슬픕니다.. 지켜주지못해 죄송합니다.. I'm so sorry,0
koleanan1001,"그것이 알고싶다 이예람중사편 요약 1. 공군은 가해자 장동훈을 불구속 수사했고 장동훈은 진심어린 반성을 하긴 커녕 탄원서를 받아냈음은 물론 전관예우 찬스를 활용했다 2. 공군본부 법무실장 전익수는 이 사건을 엄중히 구속수사했어야 했음에도 불구하고 전역 후 전관예우를 받고 싶어서 불구속 수사를 지시했다. 3. 장동훈, 전익수는 모두 식빵강아지들이다. +그당시 공참총장 이성용도 장동훈을 변호한 전직 공군 법무실장으로부터 뇌물을 쳐먹었을 가능성이 높다.",29
user-rd4ql1lf8l,9년이라니 너무한다 정말 모두 다 납득할 수있는 형량이길 진정 바랬건만,8
sumok5965,나라가 개판이구나...,33
7cleanshot,"판사 특 : 깎기 장인 다 깎아 본인들 뇌도 깎은듯 이 나라는 이상하게 10년 이상 때리는걸 판사들이 두려워함 근본 없는 법체계과 ㅂㅅ 같은 법이론 학설 , 구시대적인 판례에 구속되어 있는 꼰대 판사들 물갈이 되어야함",59
user-jq3kj6ok7v,조국이 부르면 도망가라 - 스티브유. 니가 옳았다!,37
user-yv2jc1nn9u,시스템이 바뀔때 인적자원도 바뀌어야하는데..,4
user-ev7ll1mp4j,"인과응보,사필귀정. 이 일을 은폐하려했던 모든 사람, 방관자, 판사까지 분명 언젠간 돌려받게 될거에요. 반드시 돌려받게 할겁니다.",0
inhov8803,군법무관들 끼리끼리 서로 등긁어주며 앞으로 전역시 법무법인으로 취업하려고 떡고물에 눈이 어두운 사람들. 군사경찰도 말만 경찰이지 일제황군헌병들의 악습이 전해오는 조직. 군비리관련 사건은 절대적으로 민간검찰 또는 민간경찰에서 조사해야하고 민간검찰에서 기소하고 민간법원에서 심의해야 한다.,0
younghoonkim9199,"여론이 들고 일어나니 가해자 징역9년 나오네,피해자보다 가해자 인권을 더 우선시 하는 풍조는 없어제야 한다. 만약 여론이 없었다면, 그냥 묻히고도 남았을 사건이라 좀 그렇네요. 억울한 피해자가 없도록 법을 좀더 강화 해야합니다.",12
