작성자,내용,추천수
user-oe8jb5mh2p,만악의 근원인 법원과 검찰...,19
ncenc,너무 마음이 아픔니다,13
user-nw2ry7sm5q,"정치인, 법조인들을 학살하고 공정과 정의를 위한 개혁이 시급하다고 봅니다.",24
user-ol4su4be3b,"이런식으로 법꾸라지를 통해서 억울한 사람들 편을 들어주지 않는다면, 사람들은 더이상 법을 존경하거나 의지하지 않는다. 시민들이 직접 심판하려 할 것이다. 그 날이 오고있다. 명심해라..........",6
user-mf5xv5nt7x,검사와 판사도 재판결과 국민평가받아서 부정결과나온 사람은 옷벗겨야한다,17
zsdaxc4567,군대의 정의문제는 수십년째 이렇다할 변 화가 없네요..,16
intj5597,취재와 보도 감사합니다,0
user-gy5ro1po1o,법꾸라지들이 사회 곳곳에 뿌리를 내리고 있구나 법꾸라지들 사라지게 하려면 더욱더 어렵게 시험제도를 만들어야만 한다.,16
ncenc,너무 가슴이 찢어서 아픔니다,10
user-be1tn9vq3h,가해자를 피해받은 만큼 처단 할수 없는데 높은 사람들은 온갖 갖은 방법 동원해 법아래 국민을 갇둬서 실형이며 벌금받는데 정권바뀌면서 가둬놓은사람들 다풀어주는 그런 법이 법이네요,5
westhero76,"윤석열, 국민의힘 총선 영입 1순위겠네. 법이 있어도 지들 입맛 대로 가지고 노는 법꾸라지들 세상.",14
hycho7410,진짜 법원 검판사들 문제네요!!특히 판사들 개판오분!!!오판결시 판사처벌법 만들어서 끝까지 책임묻고 처벌해야할듯!!,4
user-jt3en4gz4h,법조인 끼리는 서로 봐주는군 그렇다면 법이 왜 필요한가?,7
user-be1tn9vq3h,법은 검찰 검사 등 높은 사람들 본인들의 자기 방어권을 위한 법이지 국민을 위한 재판이 아니네요 .. 대통령도 법원도 검사 판사 재판장도 국민을 위한 단 한사람도 국민을 위한 사람은 아무도 없고 그저 대한민국에 모든것을 갖기위해 국민을 이용 하는 사람들을 방어권행사하는 입막음용일뿐이네요 그걸로 국민을 처단 하고 말이죠,4
user-xt3hx6dk9w,????? 유가족 분들 몇번이나 더 가슴에 상처를 줘야 분이 풀리냐 재판부는?,5
user-yb8bw8ie6u,송구스러운 짓을 왜했냐? 알면서 했으니 벌 받는게 당연하지! 어떻게든 변명해볼라고!!!,4
user-no9rh7ch6z,그냥 판사놈을 구속시켜라,5
jaemanlee9799,역시나 개판들이 문제네...어케 무죄냐....뒷돈 받았냐....아니면 법조 카르텔....,11
user-qv6sr7yw4h,이번정권 들어서 눈치도 안보는구나 ... 슬프다,4
freeman7617,계속 이런식 판결이 나면 피해자가 가해자 또는 그 사건에 대한 동조한 자에 직접 벌을 내릴지도 모른다....,0
user-bq6io8er3b,양심도 없는 것들 천벌을 받을 것이다.,0
hwang7012,사법부는 죽었다.!,9
sniperkane,AI판사 도입이 시급하다.,11
dasi4649,에효 ...... 왜이러냐 .. 윤석열정부는 왜이래,8
ncenc,고 이예람 군이 여성 분이 너무 억울 했습니다,8
johnnybegood632,벅관에겐 유죄란 없다. 좌웆지간 우리나라는 그렇다. 검사 판사 만만쉐이.,4
ggondigi,"이제 좀만 있으면 ""술마신 건 맞지만 음주운전은 아니다""라는 판결이 나올 듯.",2
user-ks8fr7dn6i,미쳐 돌아가는 대한민국,6
user-cq5rg6ij6g,이게 나라다.. 이게 대한민국이야.. 국민들이 이렇게 만들었어..,1
user-un1zu9kb3m,부적절하면 벌을줘라! 니들 그렇게 법을 니들 맘대로 사유화하면 국민들이 그냥 참을것같냐?,0
user-fc1yf6lo8g,이예람중사 가족들이 하소연하러 찾아간게 굿짐당 하태경이지....물론 쌩깟지...직원탓하면서...도박쟁이 월북 사망한 그 형에겐 딱붙어서 놀고있지...,7
user-mc3rg9ku2y,참 이걸보면 우리나라 판사들 필요없을것같다.AI판사 도입이 시급하다.,0
ncenc,고 이예람 군이 언니 너무 억울 했습니다,3
hyunhawk,이제 강등 당한거 다시 진급시켜달라고 하겠네. ㅋ,8
skid631,사법부와 군대는 쓰레기 조직이란걸 다시한번 입증했네,1
tjahn6429,빨리 판사를 AI로 대체하든가 해야지 진짜 젖같은 세상이네,11
YOUNGPARK-in9py,"부적절했는데, 무죄야? 뇌가 분열된 사람말고, AI판사가 판결하지.",3
jonghopark6790,부적절한 행위는 맞다며 무죄는 무엇인가?,1
