작성자,내용,추천수
user-ng8cb6bi5f,가해자 얼굴이랑 실명 공개해야하지 않나요? 피해자는 그냥 공개하더만 이건아니지,73
cjlee8849,가해자 신상 필요없다 가해자 가족 신상을 알려라 지 가족 누구 하나 죽어야 지가 얼마나 큰 죄를 지었는지 알지,8
koleanan1001,"그것이 알고싶다 이예람중사편 요약 1. 공군은 가해자 장동훈을 불구속 수사했고 장동훈은 진심어린 반성을 하긴 커녕 탄원서를 받아냈음은 물론 전관예우 찬스를 활용했다 2. 공군본부 법무실장 전익수는 이 사건을 엄중히 구속수사했어야 했음에도 불구하고 전역 후 전관예우를 받고 싶어서 불구속 수사를 지시했다. 3. 장동훈, 전익수는 모두 식빵강아지들이다. +그당시 공참총장 이성용도 장동훈을 변호한 전직 공군 법무실장으로부터 뇌물을 쳐먹었을 가능성이 높다.",5
user-minecraftgosu,사람도 아닌놈들한테 뭔 인권을 논하냐 가해자보고 인권 거리면서 모자이크 참 대단한 나라!,10
user-uv8vi5lc4p,15년뒤 또 어떤 누구의 딸들을! 누구의 누나들! 누구의 여동생들! 누구의 여친들!을 건드리면 죽여 주실겁니까? 묻습니다! 죽여 주실겁니까?,9
user-vm5mx9sq8e,추가로 거세도 해야 하는거 아닌가요;;,22
Rider_Lany,참 법이 x같아서 겨우 15년 ..슬프다.성폭력 가해자인데 신상공개 안하는 그지같은 법!,4
user-ss8sy2ix9v,사람이 죽었는데 15년 에라이 니들 딸이 죽어도 그렇게 판결할거냐!,6
lkas607,한 5년살다 나올거아녀 어휴 속터져,13
user-vh4hm2ip7y,이게엄정한가 ! 피해자는 죽었는데.,6
user-te4lw8bk9w,정신좀차려라,1
freedom_is_notfree,훙악범 처벌이나 잘해라 쓸데없이,0
leejoes5914,군법이 이러케 물렁하냐 군법은 최소 사형아니냐,0
user-kx3cl9yr4m,아 책임자들은 다 장교라서 냅두는거지?,10
user-eo5ub1hk3w,고작.. 15년..,4
user-zc8ub2vo2q,신상공개 해라,7
user-lv9pm2gx3x,장난하나? 사지를찢어도 모자랄판,0
freedom_is_notfree,15년 ㄷ ㄷ ㄷ,0
papafishing1987,0하나 빠졌다. 150년도 작다고본다.,4
joojoo216,저런게인간인가,2
minotao,모자이크에 15년입니까?,0
S2Laurent,면상 공개!!,2
user-hm7ee8ne4x,물리적거세 추천,0
joojoo216,징그러,0
user-bu7iq9iq8h,15년 뒤에 또 하겠네,1
user-eo5ml2sc5c,꽃다운 나이에 극단적 선택을 하게 한 사람을 15년? 헬반도 법 잘 돌아간다 진짜로,0
user-sp8ob6nc3w,공군참모총장도 공범인데 왜안잡아가,0
joojoo216,얼굴좀보자,0
bado6z,장동훈,2
