작성자,내용,추천수
user-pd2zg7by4n,사건이 일어나고 또 수사하고 그리고 또사건 터지고 또 수사하고..... 에라이~ㅁㅊ짓이다 여군을 분리시켜라.,7
seo533481,군대가 진짜 케바케인게 어떤 군인은 진짜 존경스러운 참군인이고 어떤 군인은 사회에서 매장 당해도 할말 없을 정도로 개막장임,11
alexpark8557,고인의 명복을 빕니다.. 정말로 안타까운 일이 재발하다니 이것은 고쳐져야 한다고 생각합니다. 제발 자세하게 조사되어 근본적인 문제가 해결되어야 한다고 생각합니다. 유가족분들에게 미안한 마음을 전달하고 싶습니다.,0
user-zw9iz2by2n,말도 안되 철저히 수사해서 처벌하고 재발방지해야한다 썩은군수사관들 밑을수있나,3
jihyejeon7416,저 부대는 간부 다 갈아버려야돼,16
user-ww6jr4cq4z,마음 아프다,6
piesunny,형법 & 형사소송법 군 형법 & 군 형사소송법 현재 보다 10배 이상 강화해야 함 흉악범 사형수 사형 집행 & 감형없는 종신형 도입,8
user-rh7vt9oy1w,죽임을 당했겠다 성폭행한 놈이 사실이 탄로날까봐 그놈의상관놈 여 하사관을 죽였겠다 수사해서 그놈 잡히면 무기징역으로 처넣어야한다,2
kimhyunsu303,성범죄 아니면 자살할 이유가 있나?? 불쌍다.,5
user-mc3sr7nq2h,하....이해를 못하겠다....90년대도 저리 안했는데.....,3
shopsnow4481,병사면 이해라도 하지 간부가 참,3
lovelddter5121,가해자에게 발정억제제를 지급하시오.,3
user-gv5ll9kz2x,군대가 썩었네 ...,6
102g2,대단합니다 한국!! 쯧...,1
user-sd1ly6hl4b,다들 쉬쉬하고 간부들 공범들 아님?,4
user-wc1me2co5g,군바리들은 안돼,8
user-gv4sy5sd3m,부대폐쇄 이전!,1
user-lp2pi1sg2f,ㅋㅋ 여군들이 먹으면 다 내꺼냐 당나라군대네,4
user-st4ov8gz1v,성 폭행 때문에 죽은것 같네요 세상에나 윤대통님 제발 엄벌을 요합니다 이런일이 왜 자주 나오면 안되잖아요 여국인을 무시하는 남높은 분들 싹스리 멸망 시켜야한다고 봅니다 제발입니다 이나라가 잘될거라고 봅니다 국인정신 계급이 있는 사람부터 정산통일 시켜야 한다고봅니다 여군이 왜 이 힘든곳에 입대를 햇게어요 가정환경때문에 입대한것이죠 그르면 정말 잘 해줘야하는것 아닐까요 여군이 성노리개두 아니구요~~ 이르시면 안됩니다 본인들도 딸이 있잖아요 본인딸이 이런 사항이라면~ 생각해 보셔요 상대성입니다 삼가 고인명복을~~~~,6
user-ml9il8lg5k,부대장이문제구만,0
zxr012,여긴 전투비행단이아니구만,0
hotgod4284,부대장 뭐하냐?,0
user-nv9wi1vy5m,️️️,1
user-uw9vh9eh2b,여자는 그냥 집에서 그릇이나 닦아라,0
