작성자,내용,추천수
user-do6en1dr5s,가해자인권에 최선을 다해주신 대법원에 찬사를 보내드립니다~,61
nyang-e,우리나라는 범죄자 복지국가 입니다 피해자는 알아서 살면되고 범죄자는 최대한 보호해줍니다,25
user-gt7vz7ot9u,법은 범죄자들을 위해 존재하는것 같다,78
Tara-nd6vv,떳떳하게 하늘 보면서 살 수 있을지.....사는게 지옥이길 바랍니다....너무 화납니다!,7
soahngahn366,진짜 미친 나라네 사람 죽이고 7년 ㅋㅋㅋ 답이 없다 이 나라는,65
user-eq1xz1ek5x,법은 상황에 따른 잔혹성이나 위험함보다는 직급과 계급 사회적 위치를 우선적으로 바라본다 다들 권력에 충실히 충성하고 살으란 교훈을 얻을수 있다,20
user-ck1tp6zh4i,"판사를 욕할게 아니라 법을 바꿔야한다는 목소리를 내야한다고 생각합니다 판사는 그저 법전에 쓰여있는대로, 증거가 나열된 대로, 서로의 주장 대로 판단할 뿐입니다 언제나 따뜻한 마음과 여러 사람의 목소리에 따라 판단할 순 없었을겁니다 어찌됐건 자신의 양심과 법으로 심판하는 사람들이니까요",2
user-jj9fr5mh6l,한국의 법이 진짜 약하긴하다.,38
user-hm7bl8jv2w,법을 잘못 배운 법조인들 다 짜르고 새로 채용하는 게 맞는 듯 하다.,11
user-se3ph7fl7l,법이 약해도 너무약하다 이러니 범죄자가 않줄지,43
csj7332,법은 가해자를 보호한다,2
user-pv9wm7xr1x,7년? 와 제대로 미쳤네 이건 무기징역감이지 징역7년 세상이 완전히 미쳤구나 사람이 죽었어 사람이 죽었다고 이건 무기징역이라고,18
user-pf3fp7hi3g,대한민국은 가해자를 위한 법치국가임. 법과 경찰은 절대 시민의 편이 아님. 그냥 엮이지 않는게 최고임,1
user-iv2vh4qe5r,7년은 너무 했다..너무 충격입니다..법관들은 저승에서 죄값 치루시길..,5
user-rh2ce1bz9u,"대단하다~ 대단해~ 약혼자가 있는 여성이었고 가정을 이뤄서 오손도손 자식도 낳고 살아갈 사람이었는데 성욕에 미친 남자들의 탐욕으로… 저출산, 저출산 거리는데 당장에 스토킹 범죄나 성폭행 범죄는 바로 구속수사로 입건하고 형량을 늘리고 가중처벌해서 여자들을 살리는게 우선순위 아니냐? 닭이 없는데 달걀을 어떻게 낳냐. 국회의원놈들이나 판사놈들이나……",27
thegreenapartment4750,7년이 충분하냐???? 사람을 죽게 만들었는데?????,14
lindahan2970,저게 어떻게 협박이 아닌 사과일까..그 어느누구가 저런식으로 사과를 하나...모두다 나쁜것들이다.고인과 유가족만 안타깝고 슬프지...ㅠ,3
user-zv5ru3pr5i,"협박을 사과 행위로 본다는게 말이 되나, 입막음 협박이지 저건, 진짜 사과할 마음이였음 자수를 했겠지",5
lifepeople3075,고작 7년?.. 피해자가 뺏긴 시간이 7년 보다 크다.. 정말 답답하다 20년 30년 이런 판결이 욕심이구나,3
pororo520,협박한 걸 사과로 보다니... 참 말이 안 나오네요.,1
user-qt3zl3bx2u,우리나라 법 짜증 나네요?,14
prosoo12,"법이 이러니 잠깐 감옥 갔다오지 뭐~ 같은 쓰레기 마인드로 범죄 저지르고 피해자, 유족 모두 고통받게 하는 이런 줫 같은 세상..",4
liveletdie4,"이게 한두번이 아닌데 아직도 바뀌는 게 없는 거 보면, 법조인이든 정치인이든 전부 가해자라고 할 수 있다.",7
user-nh3ls5iz4x,여성대상으로한범죄 강력한처벌엄히 다스리자,6
aronk227,사회가 올바르게 돌아가지 않기 때문에 억울하게 살아가지 않을려면 출세하는길 밖에 없다.,0
user-hm8cm9bi8u,요즘 이런 뉴스를 보면 영화 '더 퍼지'가 생각나네 1년에 한번 죄를 저질로도 처벌 안받는 날 저런 악질같은 인간들 싹 정리하는 날이 생겼으면 좋겠다,0
user-wu9zo4cl3d,이러다가 소송에 수 백 수 천의 돈과 시간을 쓰는 거 보다 그 돈과 시간으로 가해자를 죽이는 게 더 합리적인 세상이 올지도 몰라,2
user-pn1dj1hx7h,한숨만 나온다,11
user-mr4gy5bu2e,얼굴 보여주세요 안그러면 계속 일어날겁니다,7
LOVEELSA-sr9qp,범죄자들에게 범죄를저지르라 부추키는 이런판결과판사는 필요없다,0
SSIIK89,몇년째 속타는 법 심판만 보고있다 우리나라 법 아주많이 문제 있는거 같다. 진심 촉법소년부터.,3
Mart_Ceo,직접적으로 죽인건 아니지만 블랙박스등 피해자가 죽을수밖에 없었던 증거와 이유가 차고 넘치는데도 7년. 언론이 스포트라이트 안했으면 4년 때렸을듯. 진짜 대한민국법 X같다.,1
airplanemachine13901,"법이 가해자를 인권하는데, 대비난 환영합니다. 대비난을 받아야 마땅하죠.",0
nyang9389,7년 20년 30년이 지나면 지금 죄짓고 형살고나온놈들이 사회로돌아오는데 그때가되면 대한민국사회는 대체 어떻게 흘러갈지 너무 궁금하다... ㅅㅂ 그놈에 모자이크에 죄짓는놈은 그냥 형만 살다나오면 끝이고 에혀,0
_k9799k,지들도 성범죄 저지르고서 빠져나갈 구멍이 필요하니까 사례를 만드는거?? ㅁㅊ...,0
user-ul4un6jn5p,ㅋㅋㅋ 협박 무죄 미친듯..... 사과와 협박 기준은 누가 해석해야하냐...,2
SINSA999,사람죽여도 4년 ~7년 이렇게 주내 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,11
adriangim2777,판사들이 사이코패스들이 많아..성폭력피해 교육의무화 해야함. 판사 이름공개하고 그동한 판결사례도 공개 해야함,0
user-yy4fz2dl2i,죽은딸이 지 자식 이라고 했어봐라 사형 선고 하고도 남았지,1
user-zb1lk5kr4k,무기징역을 줘야지 인간들아 얼마나 분하면 죽엇겟나 댄장들아,5
aka_Reze,사람이 죽었는데 7년? 에라이 퉤,8
user-cp2vo2xc7y,법원에서 쓰레기판결 낸가족분들ㅋ 꼭 같은일당하길,0
user-oj8pr7lg9i,법이 약하다 약해,6
starlee6357,나라가 법이 이따위면 누구 한태 범죄 피해당할거 같으면 차라리 상대를 죽이는게 내가 당하는것보다 낳겠네 일이 잘못해서 내가죽는것보다는 상대죽이고 4~5년 만 살고서 나오는댜...,0
gogisawaodaga234,70년해야지 빵 훔쳐도 7년 주지않냐?,5
user-tn7yf2tv5t,나중에 진짜 ..법이 저따위면 나두 한 3억 꾸고 그 사람 죽이면 빛 탕감도 되고 좀 살다 나오면 되겠네 ..그지 같은 법... 똑똑한 것들이 만든거 맞냐??,0
polarbear6752,강제추행으로 7년 받았으면 중형 받았구만,2
user-eh5bs8pj7z,역시 이번에도 가해자만 챙겻네 ㅋㅋㅋ 이래야 대한민국법이지!! 자라나는 애들아 범죄 마음것 저질러라 법은 가해자편이다!,0
user-rk6zt7dw9m,꾸역꾸역 특검까지 해서 7년받네 이게 나라냐?,1
user-zj2es1jf7m,법관시키들이 자기가 피의자가 되었을때를 계산하나봐,1
user-jr2ll5cw2q,잘못된 인권인식에 오염되서...뭐시 중한걸까 판단도 못하는...,0
jhshin9413,세종시 쇼핑몰 범죄자에게 1심판사가 징역 3년에 집행유예 4년 판결을 내림. 법이 아닌 판사들이 범죄자를 따듯하게 감싸주는 사례가 있다. 떡볶이가 화대라는 판사도 있고.,0
user-yq8vs9lz6z,법좀무섭게만들자 우습게 생각못하게,1
Thoughter1,범죄자 출신들이 정치한답시고 국회에 있으니 말다했지...,2
choijongsung7893,아니 그 윗선은 구속 안시키냐,1
user-gu7kn3np4y,썸네일에 나온 글처럼 피해자들은 엉엉 울고 가해자들은 하하 웃고...,1
user-dt3js9tl6y,사회적 민심이 들썩였는데 무기징역아닌가?,0
SHC_PHOTOGRAPH,궁금하다 판사 직계 가족 저런일 있다면 사법부에도전이니마니 개거품이면서,0
user-uy6vf9hy8n,7년...떄리치워라 짜고 치는 판결,0
user-hd5uc3du2l,징역 7년? 와우. 성범죄자 양성국가다.,0
ghj6612,그냥 엽총 하나 사서 가적 모임할때 찾아가서 다 죽여버리는게 맘편하지,0
hijoony9200,내가 아버지라면 나오길 기다린다,1
BOSS-ut7dr,7년? 장난까냐? 최소 20년 이다,0
user-hz7qj6kz9o,고작7년? 피해자는 죽었는데? 개법같으니라고,0
user-wy9kh6xy9d,영창7년후 실형으로 보내라 검사.판사 뒷돈 냠냠,0
user-bp3vf7uu6f,개판이네..판사 범죄자냐?,0
flower8264,왜자꾸 범죄자들을 사회로 다시 내보내는거지?,0
user-me2xc1qu9q,천인공노할 한국 성범죄 이해도,3
user-hv3bd1hm4s,ㅁㅊ사과???? 매일밤 악몽꾸길 하는일마다 안되길,0
