작성자,내용,추천수
ASMR-zr9xi,이제라도 제대로 된 판결로 이중사와 유가족들의 억울함을 풀어주시고 위로해주시길 바랍니다ㅠㅠ,1
user-ju7dt6ss9x,드디어…ㅠㅠㅠㅠㅠ 눈물난다 ㅠㅠㅠㅠ,16
DADA-et8yq,잘 해결되길 바랍니다,8
user-td7mc6hb9k,나도 눈물난다 윤대통령님 존경합니다,24
JJK99BEST,이런게 인권이라는거다.,7
gisik1592,ㅋㅋㅋㅋㅋㅋㅋ 오늘 판결 나온거 보고 이거 보니까 완전 개그,16
user-nm7tj2jh3t,이예람중사의 한을 풀어야한다,10
ASMR-zr9xi,"내가 이래서 여군의 꿈을 접었다. 여군을 꿈꾸는 여성 여러분.. 슬프지만 지금이라도 군대가지 마시고, 사회에서 더 멋진꿈을 이루세요. 범죄소굴로 들어가는건 정말 미친짓입니다ㅠㅠ 대한민국 군대는 범죄소굴입니다.",4
juliettekim0928,ㅠ.ㅠ 이번 기회로 군대 내 비슷한 사건이 안 생기길....,7
zzero3073,드디어 나라가 제대로 돌아가는구나,13
estad200,감형됬는데 머? ㅋㅋ 머했냐? 새로운 시각이 가해자에게만 책임을 물을수없다인가요?,6
user-hl4wu1bk5n,말로만 처잡는다고 하냐? 9년 판사가 이미 징역 때렸는데,3
kkk-ik9vc,법대로합시다,6
user-it3lu1vu9i,진짜 전정부 뭐했나. ㅠ ㄱ,23
user-jb1ic3pz1n,정말 이제라도 감사합니다,1
soomin1189,검수완박 되면 이중사 같은 피해자 늘어날거다,11
user-tq6nl6hf9b,이거지 ㅋㅋㅋ 군 내부에서 절대 해결못함,12
sullae5078,피해자가 살아있고 부대 내에서 도움을 요청했을때도 밝혀지지 않던 것들이 피해자는 사망하고 가해자들 뿔뿔이 흩어진 지금 밝히긴 어떻게 뭘 밝힌다는거지 ? 군내부에서도 덮으려고 안달났던 일들을 1년이 지나서 파헤치겠다 ? 퍽이나 ㅋㅋㅋㅋㅋㅋ 사퇴한 공군참모총장 얼굴이나 보면 다행이겠다..,1
junn1368,드디어 진짜 제대로 돌아가는구나 ㅅㅅ,13
jobk375,이번에는 제대로 해주세요,3
lucadelaloma7767,당연한걸 ...,0
user-qs4fi8ec4v,Good!,0
user-pf4gz8sg5m,군검때려잡고 그책임부대장잡으면해결될일에 특검으로 부산떨기는,0
jhl890901,이런 쇼하고 감형때리고 ㅋㅋ 잘하는 짓이다,0
kkogy80,조직 좋아하네! 공군 싹잡아 처넣어!,0
soungeilm,이걸 왜.. 페미니스트 대통령이 안하고 여성 차별 정당이라는 우파 여당에 대통령이 시행함? 혹시 그쪽 진영은 표가 안되면 거들떠도 안보는 그런 쪽임?,8
user-di2el2dt7z,윤서결 역시 ㅉㅉ 잘하는 짓이나 감형 ㅋㅋ 이미지메이킹만 오지게 하는 통령,0
user-ri2vp7qt7f,무슨 현판이냐.. 종이에 써 붙이면 될 것을.,0
kkogy80,문정부 그동안 머했냐?,4
chuckanderson218,대통령 하나 바뀌니까 세상이 바뀌네 ... 그나마 지금이라도 제대로 수사해라 ㅋ,2
