작성자,내용,추천수
MCaRcenter,당연한걸 2년 가까이나 걸리는 미친 대한민국 이라니.. 고인의 명복을 빌며 상식이 깨진 대한민국이 정신 차리길 바랍니다,2
k-popKorea007,아직도 국가에서 급여를 받고 고위직에 잇는 미필자가 널렸다. 60살 이전엔 모두 군대를 갈 수 있게 법도 고치고 이처럼 제대로 군생활을 해도 인정하지 않던 이예람 중사에게 당연한 것 아닌가..,1
user-bn1xg9cl4d,순직처리된건 정말잘됐네요,1
-_--ho3to,"진짜 처벌 받아야 될 인간들은 쉬쉬하면서 잘만 살아갈건데, 죽은 사람 순직 처리하면 끝임??? 그래서 예방 대책이 뭔데? 관련자 처벌은 왜 제대로 안하는데? 죽은 사람 순직처리하면서, 유가족들을 돈에 눈 먼 사람 취급하고. ""에휴~ 결국 니들 원하는 게 돈이지? 야, 순직처리 해줄테니까 이제나 먹고 떨어져."" 이거 아니냐??? 중요한 건 같은 피해자가 다시 나오지 않게 조치하는게 중요한건데, 순직 처리한게 예방조치냐? 조선남성 줄어들면서, 벌써부터 여성 징집도 가끔 화두에 오르는데, 아직도 이런 똥별들 사건덮기식 순직처리로 땡친다고?",4
yudonghun2309,안타깝네요,0
titleno7266,아이고~ 고~오~~~맙습니다~~~라고 해야되나?,1
user-ee1qg3pn8i,이게 맞는건가.. 이 방향이 아닌거 같은데..,3
RassKim,음...? 보통 순직이라고하면 임무 중 사망 시 순직이라고 안하나요? 공군부대 쪽 잘못이긴하지만 이건 국방부에서 여론 눈치 땜에 순직처리해주는것 같은데...?,7
FGLJK,"순직은 업무 중 사망하는 경우를 말하고, 계급이 있는 직업의 경우 특진을 하거나 국가유공자로 지정됩니다. 이번 경우도 논란이 있겠지만 그냥 넘어가게 될 듯하네요.",2
user-kz8km9fx4z,가해당하는것도 개같지만 2차가해도 개같다.,0
qpalzmwoskxn-dv7zl,당연한 결과다..... 군대에서 희생당했는데..ㅇㅇ,0
user-tl4zt4up6n,얼굴이 그대로 다나오네ㄷㄷ,0
