작성자,내용,추천수
user-re3ou8sv8r,가해자들 처벌은 어떻게 됐는지도 보도해주시면 좋았을텐데. 아니면 못 하는건가.,12
ilikemissy,배우 원빈이 입대후 귀가 조치되는데 1년이 안걸렸는데 대단한 군대다 이러니 군에서 죽으면 개죽음이라는 말이 아직도 살아서 숨쉬는 것이다,6
user-it9cj7bc6y,성범죄는 있을수있어. 문제는 피해자를 압박하고 가해자를 보호하려는게 아닌 사건이 없었게 하기위함인게 문제인거야. 사고 사건이 생기면 메뉴얼을 완벽하게 만들어놓고 어기면 모조리 처벌을 법제화를 해놔야돼 초동수사 또한 메뉴얼대로 안해놓으면 무조건 처벌 이유는 군대니 군대로 말한다면 부대에서 사건 사고가 발생하면 무조건 감점이야. 심하면 옷도 벗고 불명예 연금도 날아가고 그릐하니 모든 사안에 대해서 묻으려고 하는거야. 사람을 아무리 바꾸고 비ㅡ꿔도 안바뀐다. 사건 사고가 발생하면 메뉴얼대로 조사 지시하고 어떻게 잘 처리했는지를 중점으로하는 시스템을 만들어야하는거야 그리고 군은... 공상 비공상 요따구로 나누지말고 그와중에도 족구 축구하다 다쳐놓고 누군 공상 훈련중 다친건 비공상 확,3
EroomSung,이런건 대대적으로 퍼트려야지 뭐하는거야 가해자도 겨우 7년받고 진짜 처벌좀 제대로 내려라,0
user-bp5yo7qd6f,가해자들은 왜 아무소식없냐?,5
user-tm7qi1et8u,공군진짜 성범죄사건이 너무많음 나라도문제고 국방부는 도대체 뭐하는곳인지?,4
hyeongwonkang6915,근데 피해자인데... 왜 사진을 공개하나요... 고인이지만 언론에 사진까지 공개되는건 좀 그렇지 않나? 가해자들이나 공개하지.,7
user-sg2fw6ze7n,우리나라는 처벌 형량을 대폭 올려야한다. 이 나라는 솜방망이 처벌이 가장 큰 문제임. 아무리 형량 강화하라고해도 민주당 국민의힘 이 두 부패 기득권들이 말 안듣는거봐라. 이 사탄들이 가장 큰 문제다.,0
David_Y,가해자를 지옥으로 보내야 하는건 맞지만 국가유공자는 글쎄,8
user-mo4qe3zv5i,크/ 선진국? 에라이/진실이 뭐냐? 한심하구만/ 반여성적군대문화의 희생양이지 않나?,0
choidanny165,대전국립묘지로,4
user-if1uu4hn8j,예람이 이쁘다 ㅎㅎ,1
user-sl4sv7ml3m,ㄴㄷ슫ㅅ드.,0
user-bz7hj2op3x,순직...??국가유공자...?,10
user-dh9sj2go5s,국가유공자?,1
NoKaChuu,순직?,0
JK-rs1oc,순직..? 왜?,2
