작성자,내용,추천수
user-zs1ye1ih1g,남편도 내용을 다 알면서도 군인이라는 신분으로 적극적으로 대응하기가 현실적으로 어려웠을 상황이 마음이 아프다. 부부가 됨으로서 가장인데도 가족을 지키기 위해 어찌 할 수 없는 상황..얼마나 끔찍한 상황이냐? 악마 같은 놈들 살아도 사는게 아닐만큼 평생 고통 속에서 살도록 만들어줘야한다.,230
earth9716,"옛날이 좋은게 아니고 그냥 다 묵인하고 넘어갔던거지, 터질게 터지고 있는 것일 뿐 서로 노력해서 앞으로 더 살기 좋은 대한민국 만듭시다",2.4천
Ju_Hee_Lee,"다시는 이런일이 발생하지 않도록 가해자들, 방관한 사람들 전부다 벌 받고 반성을 했으면 좋겠습니다...",157
user-ns1ec3oz8j,직접적인 가해자 뿐만 아니라 모른 척하고 암묵적으로 동조했던 주변 군 관계자들에게도 불이익을 주어야합니다,596
dorrr3940,저 국선변호인은 변호사 자격이 없는 범죄방관자이자 직무유기자입니다. 자격을 박탈하고 강력하게 처벌해야 합니다.,1.4천
jaguarsee2043,남편까지 있는 분을 그렇게 괴롭혔다니 믿을 수가 없네,16
user-ul1ok3cp1i,저따위 변호사한테 일을 맡기면서 그동안 얼마나 불안했을까요...천벌받았으면좋겠네요,257
user-uq4db4gb2c,너무나 슬프고 안타깝고 허무하게 한 젊은 인생이 갔습니다. 이번을 계기로 똑같은 상황이 반복되지 않도록 강력한 법단의 조치가 필요합니다,1천
TV-lg9kd,까발리든 머하든 그 가해자 끝까지 쫓아가든 용기있게 같이 살아갑시다 국민들도 힘을 모아줄겁니다 저런 몹쓸 가해자때문에 누가 되었든 제발 소중한 목숨버리는 일은 앞으로 없기를 바랍니다,123
n.e.m.0,국선변호사 그게 대박이었지 아버지 : 좀 열심히 해야겠다는 생각 들지 않아요? 국선 : 하하하.네 아버지 : 웃어요? 자식잃은 아버지 앞에서 웃음이 나와요?,402
r.o.korean_army,이번사건 국선 변호사는 '공군 법무실' 소속 공군 법무관인 국선 변호사입니다. 이게 중요함. 결국 공군이랑 한패니까 저딴식으로 안움직인거지.,3.9천
user-xx6zh1gr7f,삼가고인의 명복을빕니다 오죽했으면 선택했을까요 시간이흘렀지만 하나씩 진실이 밣혀져 모조리 엄벌해야죠,0
user-bv5dj5gq9k,왜 꼭 사람이 죽어야만 문제가 부각되고 해결한다고 다들 난리야ㅜㅜ 신고했을때 이난리였으면 사람이 죽어나가지 않았자나 모든걸 뜯어고쳐야된다 이번에도 서로 봐주고 대강대강 넘어가면 또 힘없고 답답한 을이 갑에 의해 죽어나간다 ㅜㅜ,1.8천
