작성자,내용,추천수
user-iw2pi4mx1j,법이 국민을보호한다고? 지나가는개가웃겠습니다 이러니 대한민국법은 가해자편이라는말을듣지,13
muscle2458,성추행에 7년이면 엄청나게 많이 준겁니다 성추행을 한거지 죽이려고 하진 않았기 때문에 죽음에 이르게한걸 생각해서 이렇게 많이 준거라 생각합니다 직접죽이지 않았기 때문에 죽음은 본인이 선택한거니까요 억울하고 비통하지만 어쩔수 없는 현실입니다 너 때문에 내가 이렇게 된거야! 라는걸 법에 적용한다면 사회의 엄청난 혼란이 올수밖에 없습니다 너때문에는 어디까지나 너때문이고 거기까지입니다 그후는 본인 선택이기때문에 죽은사람만 억울한겁니다 자살하지마세요 살아서 보란듯이 잘살아야합니다 강력처벌할수 있도록 법을 바꿔야 합니다,7
KODA-io7jj,범죄자들 살기 좋은나라다! 정말!! 누구를 위한 법이냐! 내가 울하통이 터진다..!!,0
user-cw1cw4io6w,7년 식이나 .. 차라리 7분 으로 하지 그랬어 .. 그래야 욱하는 마음에 납치 후 기름이라도 부어 버리지 ..,8
richardson7139,가해자에게 따듯한 법이 아니고...우리나라 공감없은 쓰레기 저질 판사들이 문제인거다. 미국 같았으면 저 형량보다 훨씬 높았겠지.,1
user-fb7uf4xj7t,"미국의 정의로운 판사분들이 한국에 오셨으면..... 미국에서는 피해자가 가해자를 선처해줬는데, 가해자가 반성하는 태도를 보이지 않았으니 판사가 그 선처를 안 받아주는 경우도 있었는데",0
chicherova7013,사람을 죽여도 10년 맨날 그놈의 반성하는게 보이니 감형.. 에휴 이러니 승리가 대한민국 법을 사랑하지,1
user-pe6jw5cg6y,일반인보다 군형량이 높아야 하지 않냐? 군의 기강을 높이기 위해서 적어도 10년이상도 약하지,2
user-bs3op9zx7c,진짜 솔직히 얘기해서 성추행에 7년이면 진짜 형량 많이때린거임 이상하진 않은게 원래 군인신분은 민간인보다 더 엄하게 때림. 자살과 성추행은 별개로 보는게 맞습니다. 안타깝네요,0
user-hh2dh2qo9n,사람이 죽었는데 고작 7년이 뭐냐 !! 최하 20년 이상은 때려야지 !!! 피해자만 억울한 엿 같은 나라 !!!,0
atecbak5368,범죄를 키우는 법조계,6
user-dongurami-,"성추행으로 7년이면, 형이 엄청쎈거 아닌가? 살인하고도 5년 이하 받는놈들도 수두룩 한데, 이건 뭐 법이 형평성이 없어. 이슈되면 많이 받고, 이슈 안받음 심신미약이고..",1
vivian6825,판사가 가해자랑 소울메이트라 큰일이다 범죄집단 다됬네,3
user-xj5xe1rz9l,성폭행 아니고 성추행에 7년형이면 피해자 유족 입장에서는 어이없어도 우리나라 현행법치고 무겁게 때린거 아님? 그냥 궁금해서,2
user-xe9zr7ms2g,남자든 여자든 원치않으면 손도 잡으면 안됩니다.. 성평등이란 말에 속고사는 국민들..,0
adamlee807,2년이나 7년이나 너무 가볍지 않나,5
moonsooim393,법조계 사람들 현타와서 일 처리는 제대로 돨려나,1
user-vb8sf6mu2v,판사 딸 성추행해도 7년일까? 별 개가튼 법 다 붙여서 30년은 처먹일거면서,4
user-tg7ey4nx6u,판사들은 그들과 한 패라고!!!!,1
yohanlee1176,"징역 7년이라.... 엄한 벌이라 해도 피해자의 원은 안 풀고... 군부와 법조계가 이런 꼴이니 북한과 중공, 러시아와 싸울수가 있나?? 차라리 '징역 7년+무기한 전자발찌 착용+군 계급 박탈 및 파직'이라고 하지... ㅎㅎ",0
UragilWorld,그래도 성추행인데 7년이면 많이 나오긴 했네. 마약해도 변호사 잘쓰면 집유되는 대한민국에서,0
brokenkenny1899,7년도 엄청나게 준건데 냉정하게 말하면,0
user-wx6ni1fk9r,판결잘했네ㅋ7년이면,0
kim-fq6pz,고작 7년?,0
neoghostblade,'7년',1
daeh3005,성추행 국방부? 언제까지?,0
user-wt5wj1nk1b,7년도 쌔다 5년으로하지,0
user-ue3fm6st5d,고작?,0
user-sk3kx8lb4g,오죽하면 우리의주적이 간부일까,3
user-ml8ze5cu9c,가해자가에게만 100프로 책임 지는것도 아니고 사회에도 문제도 있으니까 7년이면 길긴 하네요,1
user-zg9fq4gd5m,no comment,0
