작성자,내용,추천수
user-zk1xo2mr5h,제발좀 가해자 얼굴 공개하고 피해자 얼굴은 비공개하라. 미친것들이 사람을 두번 죽인다.,2.1천
enfpt985,아버지가 정말 울분을 토하시는가 느껴진다. 언론의 관심이 조금 멀어졌다고 수사결과를 저렇게 내리다니,2.3천
supporthong3813,불기소.. 기가찬다.. 사건 당시 음성 들으면 정말 치가 떨리던데.. 더 많은 사람들이 같이 분노하고 끝까지 지켜보면 좋겠다.. 응원하겠습니다,525
user-ur4cs8rt3d,아 진짜 화난다.... 피해자는 있는데 가해자가 없다? 유족 가족들에게 찾아간 적도 없다니... 너무 억울한 거 아닙니까,534
user-fo2dg1du5s,"우리 이예람 중사…..아버지가 한 마지막 말에 이 호칭이 너무 많은 의미를 담고 있는거 같다.. 너무 아꼈던 딸이고, 자랑스러운 대한민국의 군인인데 떠나보낸 슬픔과 지금의 억울함은 상상도 안가네요",572
user-bm8xf3hj1l,(故)이 예람중사의 명복을빕니다. 다시는 대한민국 군인이 억울하게 죽는 일이 없어야 하겠읍니다.,416
coavellhetero,저 분은 나라를 지키셨는데 왜 나라는 저 분을 지키지 않나요. 지키세요. 많이 늦은 걸 알면 지금이라도 지키세요. 제대로 수사하세요.,1.2천
hitto556,어휴 미칠거같고 울분이 터져요. 절대로 용서할 수 없는 일이에요. 아버지 꼭 힘내세요.,130
younghensley4225,"금쪽같은 자식을 잃은 부모에 마음을 나라는 등을 돌린다. 국민없는 나라가 어디 있다는 말인가!! 삼가 고인의 명복을 다시한번 빕니다. 건강챙기시고, 힘내세요",1천
user-ub2ok9wv1d,ㅁㅊ 대한민국!! 자식잃은부모님의 마음이 어떨지 가늠조차안되지만 너무너무 가슴아프네요!!! 반드시 억울함을 풀어주세요!!,180
user-yz6bd9bu6o,이렇게 공개적으로 문제가 된 사건조차 제대로 처벌이 안되는 나라 대단합니다,394
user-bu5yg8sx3t,이게 대한민국의 현실입니다 피해자는 죽고 가해자는 없다 고인의 명복을빕니다,16
