작성자,내용,추천수
user-hy2th2rh1f,정말....정신 좀차려라. 덮을려 하지 말고...강하게 처벌해라,24
FUBAO1004,아에없애버려라 관련된모두쓰레기들 처벌하고 흐지부지좀조사하다가 큰코다치지말고 참안타깝다,2
ydk4610,근데 왜 죽는거야 아가들아 안하면되지 그만두면되지 그게뭐라고 목숨을끊냐 ㅠㅠ,7
user-le2re6ys2w,"공군으로 여군보내지 마라. 유족들이 지들 딸 죽었는데, 지들 딸 죽게 한놈들 도와주네. 가만 두면 연루 된 놈들 디질껀데. 안되는 것들은 안돼.",5
user-be9qw9vw8v,비리천국 원주 판사는 고등사기꾼이 존재 비리천국...천벌을 받아 죽어야 명복을 빕니다.,3
user-lc4fb7pj8z,그 부대를 없애라~!,4
vigX1818,"하루에도 수많은 사람이 죽고, 물론 병원에서도 많이 임종 하지만 자택에서도 많이 죽는데 그럴때마다 그집은 부셔 버려야 하나?",6
user-cd4hf1hs4v,아~~ 철저하게 조사해라 국민들이 지켜보고 있다~~,1
user-be9qw9vw8v,법조비리 없어져야 한다 원주 판사는 고등사기꾼이 존재...비리천국,2
mpd02-TV,나이가 50정도 되었다면 사기꾼 판별 능력은 있어야 안 되나?? 부모들도 문제가 많고 필수 인력이 였다면 보호 했다고 생각한다 ㅋㅋ,0
user-bt3gm5jo6n,결국 문정권에서 군인들 편의를 의해서 한 정책들이 군 정신을 다 무너뜨리는 격이 되고 말았다 좋은 의미로 했으나 아직 우리나라 수준은 거기에 못미친것을 미처 생각 못하고 다시 예전처럼 군기를 콱콱 집어 넣어야 할뜻,0
fivefinger987,피해자이름은 당당히공개. 변태가해자는 안개속으로 ㅋ,4
hjj0147,문좬때에도 조사하는 척만 하더니 썩었다 썩었어,7
user-td9yj5ko2w,그런 대규모 소굴에서 그정도 각오로 여군을 해,3
user-be9qw9vw8v,비리천국 원주 판사는 고등사기꾼이 존재 하는 세상 ..부패행위,1
user-se8mj8dc7h,저런 정신으로 왜 군생활을 하는지? 전쟁이 나도 전쟁터에 안갈 군인?,1
destroyer3194,공군뿐이겠나? 전군 다조사해야돼,11
princesstv-rp3ih,상습 ㅜㅜ,3
IT-kz1yn,고이예람중사 저주가 시작되었다,0
fuckchina18,원래군대는그래 자기잘못없어도 하사때 ㅈㄴ힘들지 ㅋㅋ,0
JM0804,말같은 소리를 해라. 관사가 남편이름으로 돼있어서 몰랐다? 왜 비워져있는지 담당자가 몰랐다고? 그게 말이 된다고 생각하냐?ㅋㅋㅋ,1
user-tj1po9ku4u,21살인데 남편도 있어? 근데 하사야? 안타깝습니다,1
Penguin9502,군대는 정말 어떤집단일까 ㅎㅎ,2
user-sy3qo8wd5x,이제 막나가자는 거냐?,0
user-nl2cv6vq4w,여자들제발가지마군대,2
user-xp9ex1vg7c,공포영화로 나오겠구만,0
user-uv4pw1kf6o,또야 귀신나오겠다.,3
user-el3vh8bp9v,자살귀가 둘이생겼네 ㄷㄷ,0
Batista9999,군인은 강인해야 하거늘,4
Batista9999,귀신?,2
user-vw9ew4rn3c,"그냥 여자들은 입대하지마,... 저런대우 받을거 다알고 하는거아님?",1
