작성자,내용,추천수
owo1289,가해자 얼굴 공개하세요. 왜 맨날 피해자 얼굴만 공개해요!! 인면수심 가해자의 얼굴과 신상을 공개해라!!!,11
estebanhan9439,법정에서 피해자를 지켜해주시는 커녕 가해자편에 서서 어차피 형량도 얼마 안돼는거 내 가족이 저런일 당하면 가해자를 똑같이 죽이고 나도 감옥에 몇년 다녀오는게 차라리 답인거 같다. 우발적으로 저질렀다는 핑계 대면서. 이 나라는 그거밖에 답이없다,0
junonastormynight5575,가해자 편드는 법무부.. 이게나라냐..,2
user-dg6cx6dy1e,썩어빠진 이나라 답이없네,3
user-th6zs1wt4e,"기관총 하고 실탄 만발 사고 싶다!형 판결 한 놈 은 물론,그놈이 3대가 지옥에서 살기을 염라대왕께 간절히 빈다!그리고,재판관 놈들을 쓸어 버리고 싶다!!!!",1
user-th6zs1wt4e,"18!18!18!형 파결 한 놈 대대로 지옥에서 3대가 고통으로 지내길,빌고 또 빈다!",0
user-xp4nb2su3h,여기 성범죄자에 심리 의탁한 애들 많네. 그러니까 이런 일이 빈번하게 발생하지. 본인이 당해봐. 가해자 감형해주자는 소리가 그렇게 나오나. 본인들 인생 찌질한 걸 왜 고인과 유족한테 그러니.,1
kimjonghwa5749,거세하라,1
tv-rh6uz,하..ㅠㅠ진짜거지같아,1
user-sm3jq2wv2w,성추행으로 7년이면 쎄게 준거임. 성폭행도 5년 합의하면 기소유예임..,1
user-jk4jb4ml7l,1:13 이중사 아버지도 처벌해야하는거 아닌가요? 저렇게 물건들고 법원에서 저렇게 하면 특수협박아닌가 특수협박은 친고죄가 아니라서 경찰이 봤으면 피해자의 의사와상관없이 수사해야하는거 아닌가 저럴꺼면 법이 왜필요한데요? 이중사 아버지 처벌안할꺼면 이근대위도 처벌하지말아아되는거 아닌가요? 조두순때린사람도 처벌하지말아야 무죄로해야되는거아닌가? 그럼 그럼 김길태머리떄린사람은 왜 처벌안하냐 법이 왜이렇게 편파적이냐 이중사사건 판결한 판사욕하기전에 이런거부터 따져야되지않을까,0
user-zq3wk6zj1v,7년이면 너무 과하다...이예람중사가 지혼자 자살한거니 장중사한테 3년만 때려라...,0
konda586,아니 죽은게 뭐 어쨌다고 가해자한테 이래라저래라냐 ㅋㅋㅋ 호들갑도 유분수지,0
