작성자,내용,추천수
bigcarryman,인간의 잔인함 남이 어떤 고통을 격었건 자신에게 조금불편하면 남의고통은 전혀상관없어짐,56
user-vx9ed4hw1g,인간들이 아니라는 부친의 말씀에 백 퍼센트 동의합니다.,43
user-he4hy4ln7p,사람인가? 저런것들이 군법무관이라고? 군생활 꽁으로 하고 나와서는 변호사로 잘 먹고 잘 살겠지? 더러운 세상,91
yk-jo7hh,절대 자살하지 마십시오. 저런 것들은 죽음도 비하하는 인간들입니다. 증거를 모으고 힘을 키워 차곡차곡 복수해 줘야 합니다.,25
user-sn6fn5pw3s,그렇지 그럴꺼라 생각 했다만....그참... 안바뀌네...군대내 뿐만 아니라 그외에서도 피해자가 보호를 받지 못하는게 안타깝다,55
user-pi1tt6of7r,인간도 아니다란 아버님말씀 진짜 공감가네요 ㅠㅠ우찌 괴로워 죽은 사람까지 저리 모독을 ㅠㅠ에라이~~,12
torh9571,법조인들은 더 중하게 법적 처벌 받아야,11
user-mo7qi6uj1u,악인들~ 법조관련일을 못하게 해야함~,44
user-kc5uv7hz4s,군관련 사건은 더이상 군이 아닌 민간 경찰이 수사해야한다,5
user-bz5wm8ep2e,에휴 나쁜것들 엄벌해야 합니다,28
jmlee6677,유족들 심정이 어떠실지 가늠조차 되지 않습니다... 2차 가해자들 엄중한 처벌을 해주세요,2
user-ng8xv7er7w,대한민국 군사경찰은 그냥 개미들입니다.,5
helenk7619,왜 관련자들을 처단치 못하나?,18
user-zb6xs9tb4u,어휴...... 나쁜놈들....,29
topej9942,하..... 왜 자꾸 인간들이 비정상이 되어가지,15
klklklsdf5620,얼마 전 상사의 지시에 뛰어내린 군인 사건만 봐도 군대라는 조직이 얼마나 썩었는지 알 수 있음,20
user-sl2kc9de8q,처벌해야지요. 아무리 군이라는 특수성이 있다지만.. 이건 인간성에 문제입니다. 꼭 처벌해주십시요,2
user-hn6lm2vr3r,우리부대 원사새키중에 하나는 우리들한테 자기딸 이쁘다고 자랑하더니 “자기딸만 아니였으면 보쌈해갔다” 이딴 소리 하는사람들 저런 마인드가 당연한 윗대가리들도 문제,7
user-cp8mk4jy5o,군법무관 수준 참… 거지같,13
-sss102,쟤는 사람이 아니다..지옥에나 떨어져서 평생 제일 고통스럽게 죄값을 받아라.,2
user-vf5gr7tz2o,군인들은 안돼 ㅡ.ㅡ 수사권 박탈해야함,9
user-gi1rw3hz3f,제발 뇌줌 챙겨라 저런것들이 무슨 네,14
user-ow9cq7tu4t,정말 이해가 안가네.. 피해자 고통을 어찌 타인이 알 수 있겠냐 만은 나 같으면 피의자 전부 죽이고 자살한다 왜 혼자 가지..?,3
user-nm2ou3rw7r,사람이 아니네요..,17
user-rh9ng3pi9k,자기 자기 가족 피해자 그렇세 말하개야 법만 아니면 전부 대가리 날리고 싶네,5
ttvv9329,내가족이 저렇게 죽었는데 처벌도 제대로 안하고 저렇게 모욕하면 가해자들 스스로 죽고 싶을정도로 불구 만들어 버리고 감방 들어가 버릴란다,0
user-wp7if3zv5v,가해자들 사형시켰으면....쓸모없는 것들,0
Slava_Ukraini_791,저런 쓰레기들이 군법을 사수하고 판결을 내리겠다고? 지나가는 개가 웃겠다.,0
iLoveGodJesusChrist,가해자들 보거라. 너희는 스스로 앞다투어 형벌을 받고 용서를 빌었어야 했다. 그러나 너희는 그러하지 않았다. 여전히 짜증내며 귀찮아하며 조롱하는구나. 너희는 damnation 을 면치 못하리라.,0
ggmind,법을 집행하는 인간들이 ㅉㅉ 저 모양이니 ㅉㅉ,1
user-yp9lo5lk7n,인간이길 포기한것들 자기 가족이 당해도 저럴것인가,1
user-mk2gj1kz5s,저런것들은 인간으로 취급해주면 안되는데,0
coco-th9dg,군법무관.. 드럽다 드러워.,1
user-ql3kh2wq1o,"악마류,검새류,서결류 단지 인간의 탈을 썼을 뿐 더러운 악마의 자식들!!!",0
wallofthehell,"이글루 하나 비우고, 2차가해 한 놈들이건 주범이건 다 넣고, 비닐로 밀봉하고, 그냥 선박용 살충제 뿌리고, 그대로 땅에 묻지 말고, 먼바다 아무 데나 뿌려라. 왜 피해받은 가족들의 고통에 상응하는 형벌이 가해자놈들에게는 면제되는가?",0
user-ps6tz1wz6h,엘리트만 모인다는 공군이 이렇게 수준 이하 라니.. 자신이나 가족이 이런일을 당해도 그런소리가 나올런지. 이런 군에 우리자식을 뭘 믿고 맡기나?,0
user-po5mb3kp6u,이런 것들이 대접 받을 생각만하지 더럽다 더러워,0
no_psionicstorm7232,원래 어렸을때부터 험한환경 못겪고 머리로만 쌓아온인간들은 인간성이라는게 없다. 오로지 자기이익과 남의 아픔가지고 희노애락즐기는 벌레만도 못한 디엔에이들 많음,0
nhh2774,우리 군바리 수준이 . . ㅠㅠ,1
paullee659,가해자ㄴ들은 지 처자식 오누이가 갈갈이 짓이겨져지고 똑같이 더러운 모욕 당하길 바래본다,0
user-zk5bz8pz6s,군인 너무 대우해주지마라,0
pack7677,신원공개 하면 딱 좋을텐데 아쉽네,1
user-nj5zs7pm1f,군전체를 파야한다ㅡ,0
TWLoad,군간부도 개나소나 쉽게 될수 있으니까 이꼴 나는거임 자격요건을 빡세게 올리던지 해야함,1
ckim9750,너무 화가 난다.,0
electricshock900,국방부 장관에게 권고했네 퍽이나 그 권고 받고 움직이겠다 지금 국방부 장관 멍청이라고 온국민이 다 알고있는데 말이지,0
user-sb1fn5qs2q,제발..,0
user-hu9gh9hi1r,군대나 사회나 개검이 문제다,1
user-qc5ce1zd9t,저런 사람들은 뭘 믿고 저러는거지?? 북한 믿고 그러나? 중국믿고 그러나?? 민주주의국가인 한국과 그 국민들을 믿고 저러는건가??,1
user-rv7us9if3e,군법무관은 무슨 다들 미친 성도착증 환자 같네 진짜,0
user-cf6eu1ut2g,군대도 개혁하자. 니들 안되겠다. 나라 잘 지킨다. 그치?,5
happytoyours,아니 어차피 문자 확인 한거면서 군무관애들 왜 이름 안 보여주냐? 범죄자 보호해주는게 이런것때문이지? 지들이 범죄자들이니까 ㅋ 판검사기타등등,0
user-cs9ds3gu4r,자기보다 쎈 놈한테는 찍소리도 못하고 ..,0
user-xc9vk3mk5j,군법무관이 사람 맞나요...,3
user-ii2vf8lp2b,대한민국은 군대를 무조건 가야된다는게 짜증,4
user-ji3hg8wd2k,에휴...그냥...너희들이 똑같이ㅠㅠ,0
woo_yeon22,군대를 다녀 온 사람은 알지. 군대가 어떤 집단인지. 근데 그게 단연 군대만의 특징일까..?,0
dolepumpkin8145,검사가 그렇지뭐,2
saswordzecter6038,결국 자결하신 건가요..?,2
user-jm6od1vw5g,굥같은것들이네,3
mouton8653,이 중사가 재벌 딸이엇으면 달랏겟쥬????ㅋㅋㅋㅋㅋㅋㅋㅋ부모님을 보니 재산도ㅜ없고 학력도 높지 않더라구요...하긴 좋운 환경에서 자랏다면 '성노리개' 소리 듣는 여군을 지원 안 하지 안치안나여??상사들 인터뷰를 들어도 군내부 여군에ㅜ대한 그들의 인식이 한심한 수준이던데여,0
hunt11078,조사하면 뭐하노 다 플려나는데,1
user-zb9qd8ly3g,쓰레기가 너무 많네.............,0
user-nq7on4ue5c,군비판하지마법어기지는맙세요육군이잘못한거잔아요이예람여자동생비난욕설하지마세요육군은성추행한잘못있잔아요육군이예람중사아버지에게사과하세요,0
user-qf1wd4gk1t,사람새끼라고 보기엔 영~~,1
vouchergift5462,군대 쳐 썩어가지고 ㅋㅋㅋ,0
user-rr5kf9ex1r,한남이 미안해,4
user-py3qp3wg8q,마계공군,1
user-zl4gk8nl7b,진실은 알수 없으니..뭐라고 못하겠네..,4
user-0ok9ij8uh7yg6tf,검찰개혁 도베르만 도검사가 해라,1
