작성자,내용,추천수
user-cb8qp7hn6u,같은 부대라는건 조사가 더욱 필요하다는 말입니다.. 제발 자세하게 조사되었으면 좋겠습니다..,6.5천
staringbeyond9649,고인의 명복을 빕니다... 한국사회 곳곳이 병들어 있음을 다시 보여주는 가슴아픈 사례라고 생각합니다. 다시는 이런 비극이 일어나지 않길바랍니다...,3.8천
plmnko098,21살 너무 어린 나이인데 안타깝습니다 고인의 명복을 빕니다 반드시 죽음의 원인을 밝혀주세요!!!!,2.3천
likeme9588,왜 회사에서도 그렇고 군에서도 그렇고 도대체 일하면서 같이 일하는 여자 동료를 보고 무슨 생각들을 하는거지? 어떻게든 뭐 해보려는 생각들 뿐인가? ㅈㄴ 역겹다. 꼭 저지른사람 인생 성폭력 범으로 평생 괴로움에 찌들어 살기를. 삼가 고인의 명복을 빕니다.,1.8천
user-zw3fw3zm3o,참대단한 부대인듯 여러모로... 고인의 명복을 빕니다..,2천
ShinJjang,21살? 나랑 동갑이라고? 이렇게 어린 나이에 젊은 나이에 죽는다니... 얼마나 괴로웠으면 그런 선택을 했나 싶고.. 너무 안타깝다... 삼가 고인의 명복을 빕니다. 이젠 행복만 가득하길 바래요.,432
user-jb1uy2kr3x,대체 얼마나 더 많은 사람이 죽어나가야 저사람들을 벌할 수 있을까요...안타깝네요,3천
heedae111,같은 부대라... 제대로 수사해서 고인들의 억울함을 풀어 드립시다..,2.3천
mkg7513,피해자의 명복을 빕니다. 가해자가 반드시 밝혀지고 처벌을 크게 받았으면 좋겠습니다.,386
user-wg6up3jl1e,삼가 고인의 명복을 빕니다 같은 부대에서 2명이나 숨진채 발견되었다는 건 문제가 있다고 봅니다.. 사건조사가 어떤 외압도 없이 명명백백하게 밝혀지길 바랍니다 후속 기사도 추후 꼭 내주세요,546
tobitaru4579,"같은 부대안에서 또 피해자가 나왔다는건 심각성을 인지하고 신중하게 수사 진행해주시길 바라고 시간이 걸리는 한이 있어도 진실이 밝혀져 한을 풀어줬으면 좋겠습니다, 고인의 명복을 빕니다",168
annjung8416,고인의 명복을 빕니다.. 어떤 말로도 유가족을 위로할 수 없겠지만 힘내세요,88
alexpark8557,고인의 명복을 빕니다.. 정말로 안타까운 일이 재발하다니 이것은 고쳐져야 한다고 생각합니다. 제발 자세하게 조사되어 근본적인 문제가 해결되어야 한다고 생각합니다. 유가족분들에게 미안한 마음을 전달하고 싶습니다.,395
borissal8100,21살 동갑이라니 더 마음 아프고 안타깝네요.. 더 이상의 피해자들이 생기지 않도록 철저하고 명백한 수사가 이루어지길 간절히 바랍니다,288
free7459,고인의 명복을 빕니다. 또 같은부대라니 정말 할말이. 철저하게 수사해서 다시는 저런 슬픈일이 발생하지 않길 바랍니다.,164
user-pw9fv4xg3s,삼가 고인의 명복을 빕니다 군부대 내에서의 가슴아픈 사건이 자꾸만 발생해서 막막한 마음이 드네요. 이런 비극이 반복되지 않도록 철저히 조사해야한다고 생각합니다.,90
pauluciasam,이 정도면 그 부대에서 기존의 범죄를 덮고 옹호하는 분위기가 형성되어 있을 가능성 매우 높다고 합리적 의심을 할 수 밖에 없겠죠. 이미 이전에 비슷한 사건이 터진 상황이었는데도 반복된다는 것은 전혀 변한 것이 없다는 말... 곧 해당 부대의 최고 책임자 급이 이전 사건에도 불구하고 아무런 개선 조치를 취하지 않았다는 것을 의심할 수 밖에...,2.6천
user-gt2gl9do8o,"이악물고 부사교 수료과정 거치고 수료했을텐데 얼마나 참담한 일이고 ,,, 안타깝네요 꼭 벌할수 있기를 .. 고인의명복을 빕니다…",372
user-qn6yo3pk5t,"사건 조사 안해도 뻔하다 ,, 진짜 남의 귀한 딸을 아버지 어머니가 얼마나 슬퍼하실까",942
user-ki8rc5uk3j,21살... 얼마나 힘들었으면... 삼가 고인의 명복을 빕니다,204
bigstar1319,삼가 고인의 명복을 빕니다 군대 정말 부조리가 많은 곳이죠. 같은 부대에서 2명이나 숨진채 발견되었다는 것은 정말로 문제가 많이 있다고 봅니다. 가해자(들)이 밝혀지고 강한 징계 그리고 처벌을 받게 정확하고 빠른 조사 부탁드립니다. 제 나이보다 어린데 정말 안타깝습니다.,65
user-gg8kw1od4u,21살이면 02년생 어린 사람입니다…. 제발 이런 일이 안 일어나게 해주세요,31
user-vv8bw2sx5n,삼가 고인의 명복을 빕니다,579
user-xk4qx4ir8z,고인의 명복을 빕니다.,0
user-br4mv5kr8y,아직 우리 군은 여군을 받아들일 준비가 안되었나봐요... 씁쓸합니다... 딸같은 아이를... 삼가 고인의 명복을 빕니다,285
user-dx3do5gn4v,너무 마음이 아픕니다.. 고인은 생전 어쩌구저쩌구만 하지말고.. 가해자들은 어떻게 살아왔고 어떻게 살고 있다 이런 기사 좀 써주세요ㅠㅠ 어떻게 살아왔으면 가해자들은 그러고도 발 뻗고 잠만 잘 자는지,156
howims1165,부대 윗 사람들이 제대로 된 군대 기강을 잡아야지.. 군대는 남녀로 구분 짓지 말고 사람으로 봐야지.. 안타까운일이 또 발생 했네..ㅠㅠ 삼가 고인의 명복을 빕니다.,723
316att,고인의 명복을 빕니다,0
user-vp8dr2cf6u,고인의 이름으로 사건을 명시하지말고 가해자의 이름과 사진으로 사건을 명시했으면 좋겠습니다,195
bichbyeol,진짜 가슴 아프고도 너무 슬프다 은폐 축소 골몰하는 군 발표에 유서조차 없었단 건 못 믿겠다 이 중사 사건 때 진작 뿌리 뽑았어야 했다 저 분도 진짜 살고 싶었다 바람에 흔들리며 꽃피우며 반짝이며 그렇게 살고 싶었다,177
user-zq4wt2ot3z,헐... 진짜 저도 여군이 꿈이였는데 진짜 이런 뉴스 소식 들을때마다 너무 마음이 아파요...진짜...,53
