작성자,내용,추천수
user-gy1mj1mj8b,이걸 감형 시키다니..; 전 국민들의 공분을 산 이사건들을....... 하 진짜 부모님 모습 보니까 너무 마음아픈데 어떻게 도와야할까요.... 너무너무 화가 나시겠지만 몸 잘 추스르셨으면...,78
latonp711,판사들은 피해자한테는 공감을 못하면서 가해자에겐 큰 동질감을 느낌 .... 맨날 뭐만.하면 감형이고 집유고.... 사장님이.미쳤어요 창고 대개방도 아니고 맨날 형량을 세일하고 있어,216
user-kannhappy1508,이렇게 말하고 싶지 않지만 당신들 가족들도 같은 아픔을 겪길 바라겠습니다!! 곱게 키운 자식을 먼저 보낸 부모님의 아픔이 얼마나 클지..이런 판결 나올 때 마다 답답하고 분노가 생깁니다.,33
user-er8nz9fs9x,판사 지 자식이 당해도 똑같은 판결낼 수 있냐?? 감형이라니 말도 안된다,81
flower8264,감형…?미쳤네 진짜 와 우리나라 답 없다,90
bj60477,판사님들이 그런 취미가 많으신가 희한한데서 공감을 열심히 하시네,132
user-hr4ke6lt9n,아니 도대체 뭘 더 감형시킬게 어디있다고 더 감형을 시켜요 진짜.. 우리나라가 형량이 적은데도 또 감형을 시키는게 이해가 안된다..제발 피해자의 입장에서 형량을 내려주세요 부탁드립니다.,58
user-ot2zg1jp1o,이걸 감형 때려버리네?ㅡ.ㅡ 정말 대단하다,115
nana_070,"우리가 도와드릴 것이 있습니다. 그건 바로 형벌 강화의 목소리를 높여야 합니다. 있으나 마나한 법들이 너무 많습니다. 형량이 약해서 사람들이 범죄 저지르는 것에 부담감이 점점 사라지고 있습니다. 특히, 가진 자들은 흉악 범죄를 저지르고도 교도소에 짧게 살다 나오니 다시 사회로 거뜬히 재개하고 없었던 일 처럼 하고 다닙니다. 반드시 형벌 강화해야 합니다. 아니면 교도소 환경을 열악하게 만들어야 합니다.",17
strawberryyy520,소름끼친다 어떻게 여기서 감형을 시키냐........하.......내가 이렇게 참담한데 유족은 어떻겠냐,63
user-uz6ok2cb2o,역시 판새는 유족이 용서안해도 반성문과 눈물찍하고 판새의 전 직장상사고용하면 감형되는 우리나라 판새 만세,108
ijik7386,감형 시킨 판사의 실명을 밝혀라,52
user-bp8ei8br1m,판사들도 감사 해야 한다 군 전체 감사도 군에 맏길게 아니라 공수처든 검찰이든 감사 해야 한다,37
user-wf1bm7bd4w,이런거 보면... 진짜 ai 판사가 나와야함,55
user-tg4kz9qd8m,"술마셔도 살인해도 성폭행해도 가해자를 감싸는 대한민국!!! 매일매일 음주운전에.. 성폭행에.. 그래도 가해자를 무조건적으로 감싸는 대한민국이다. 아버님의 분노가 여기까지 느껴집니다... 내가 될수도있고 나의 자녀, 친구, 지인이 저렇게 피혜받아도 가해자를 감형해주면 나도 눈돌아갈꺼 같다.. 가해자를 위한 나라는 전세계에 대한민국밖에 없을듯... 살인하기 너무 좋은 대~ 한~ 민~ 국~!!",86
saida1004,우리나라 판사들은 무슨 생각으로 저런판결을 내리는걸까,53
user-mx4hu6eg9t,역시 감형... 건국이래 최강 최강의 조직.,19
howims1165,재판장들 딸들이 성추행 당해도 저따위 판결을 내릴건지 재판장들 모아 놓고 물어 보고 싶다..,59
henricharriere5188,이래야 코리안 판사지 판사가 판사했네,2
user-tf7ux5hw1w,"진짜 인생 그렇게살지마라 진심으로 진짜 인간도 아니다 가해자, 판사 모두 정말 개보다도 못하다 진심으로",14
user-ho1qo1vj1f,죄를 지어도 감형되는 나라 대한민국..,62
phachae8578,(02:09) 하필 킹받는 감형에다 개킹받는 효과음.,0
user-vb1ys3og1v,또 뭐때문에 감형인데? 어휴 진짜 판사 놈들 답이 없다.,9
user-cn4fy5mt3e,판사의 재량권을 축소 시켜야 된다. 반성하고 있다면 감형시켜주고 합의 했다면 감형시켜주고 판사가 신보다도 더 막강하니 항상 피해자 쪽은 판결에 성복 못하고 화 병으로 죽는 사람이 많아지지.,16
user-uo5he3qs1q,보복하면 됨. 판사랑 가해자 보복하면 됨. 그게 이 나라임,16
