작성자,내용,추천수
park88891,"현직 8급 교도관입니다.먼저 피해자분께 대한민국의 교도관을 대표하여 위로의 말씀 전합니다.현장경험자로서 대한민국 징역의 졸속성과 인권의 그늘아래서 벌어지는 부실징역의 실체 그리고현장근무자들이 격는 어려움을 피해자 분들께 알리고 싶어 이렇게 나마 유튜브에 댓글 남기게 되었습니다. 범죄자 징역 사는거 다 부질없는 짓거리입니다. 선량한 준법시민 여러분들이 생각하고 기대하시는 그런 징역은 대한민국 어디에도 없습니다. 징역 형기가 중요한 게 아님. 이미 인권의 그늘 아래서 대한민국 징역의 위화력은 사라지고 꿀징역만 난무하는 게 오늘의 현실 일례로 난동 부리는 수용자 진압하다가 손톱 반만한 상처나면 독직폭행으로 처벌받고 합의금 물어주는 일이 다반사 성폭력 전과자,조직폭력 전과자가 교도관이 자기 고충처리 늦게 했다 상담 늦게 했다고 무고성 고소하면 사실여부와는 무관하게 무조건 담당 근무자 중징계 때리는 교정본부 클라스 새벽에 수용자 변소에서 자살하면 다음날 밤샘근무한 직원 소환해서 열시간 강압조사하고 징계먹이고 직원은 자괴감만 들게 만드는 병신 법무부 교정본부 제가 느낀 현대 행정의 교도관의 역할 그냥 약간의 월급 받고 범죄자의 잘못을 대신 벌받아 주는 사람 딱 그정도 이런 상황에서 강력범죄 누범들에게 대한민국 징역은 범죄자의 쉬어가는 코스 더 궁금하신 분들 댓글로 질문 달아주세요 꿀징역의 실체를 알려드릴게요 아울러 추가적으로 내가 생각하는 교정본부:자신들의 영전을 위해 일선직원 희생시켜 수용자의 인권을 챙겨주고 피해자의 가슴에 두번 대못을 박는 세금 낭비의 대표적인 부서",579
user-mc3nq3tm7c,성폭행만은… 무관용원칙 적용하고 공소시효 사라져야 한다.. 10년 20년 등 30년이 지나도 자유롭게 신고할수있는 법제도가 꼭 필요한거 같다. 형량도 외국처럼 최소30년에서 사형아니면 무기징역으로 바꾸고 근대 우리나라는 매년 법을 강화한다치고 자꾸 법형량이 최소를 뜯어고쳐야하는데 최대로 법을 고치는거 같다. 예시 : 최소1년에서 최대10년 형 ㅋㅋㅋ 우리가 원하는 법형량 최소형량을 대폭30~40년징역으로 늘리고 최대 사형,108
tv-ln6zk,나쁜 어른들이 또다른 나쁜어른을 만들고 계속 악순환 되며 미성년 성범죄 공소시효 없애고 무조건 강력하게 최소 무기징역으로 법을 바꿔야 한다 ㅜㅜ,1
TheThirdEYE637Shinhan,"첫번째 경우는 너무 상식을 벗어난 경우라 믿기지 않고 그 뒤에 2,3번재 이야기는 충분히 그럴 범죄가 있을법한.. 아동이고 친족이기에 쉬쉬하게 된 경우.. 성폭력은 마치 인격살인이기에.. 살인죄에 준하는 형량과 제대로 된 수사가 이뤄졌으면 물론 사건의 은폐성때문에 무고도 많기에.. 제대로 수사해서 엄한 처벌과 피해자들에게는 회복할수 있는 장기간의 치료지원이 있어야한다고 봄..",13
user-qwerr55,"가해자와 가족관계로 얽혀 있으면 피해자가 정신적 독립이 어느선에 달하기 전까지, 용기 내기 까지 신고하기 매우 어려워요. 이걸 고려해서 공소시효를 늘려주세요. 괜찮아서 나중에 신고하는게 아니에요. 왜 피해자가 용기를 내서 신고해만 하나요. 이것도 억울해요. 범죄자는 당연히 죄질에 응당한 처벌을 받고 피해자는 신체적,정신적으로 안전 할 수 있다는 보장과 확신이 있어야 힘들게 용기 내서야 신고하지 않고 좀 더 편안한 마음으로 신고 할 수 있어요. 괴롭게까지 용기 안 내도 되게 만들어야죠. 피해자의 신상을 궁금해하거나 '그러에 왜 따라갔냐. 왜 바로 신고 안 했냐.'라는 식의 시선도 2차가해 입니다. 조사하는 과정에서도 이런 느낌을 일절 안 받게 해주세요. 피해자를 캐묻는게 아니라 따지는건 가해자에게 하는게 맞죠. 조사중에 가해자가 많이 하는 말이 ""젖어 있었으니 즐긴거다""라고 해요. 모래알이 눈에 들어가면 깜빡이게 되는것과 같은건데 젖었다고 즐긴거라 볼수 없다고 해요. 너무 당연한건데 그들이 그런식으로 말 하니까 썼어요. 피해자가 버티는 삶이 아닌 살아가는 삶을 살게 해주세요. 가해자가 피해자 보다 편히 살 수 없는게 당연해야죠. 인생은 나비효과기 때문에 피해자는 그 일 이후 삶에서 많은 선택지가 바껴요. 마음이 이전과 같을 수 없으니까요. 피해자는 잠도 편히 못 자는데 가해자는 저런짓을 하고도 밤에 발 뻗고 자고 낮엔 배고프다고 밥 먹고 살겠지? 오늘은 뭐가 맛없었다느니 맛있었다느니 할 거 생각하면 싫어요. 남의 가슴에 피나게 했으면 죄책감에 미쳐야 정상인데 잠 자고 밥 처먹고 사는거야말로 진짜 미친인간이란 증거 아닐까? 가해자가 일상을 보내는게 피해자는 억울하죠. 실제로 공소시효안에 고발해서 처벌 받는다해도 형량이 피해자의 아픔에 비해 한없이 가벼워요. 성폭력은 암수사건이 많다는데 그 많은 피해자들 죽을때까지 정신적 감옥에 갖혀 산다고요. 꼭 사람을 칼로 찔러서 피를 봐야만 살인 인거 아니에요. 사람 인격을 살해하면 그게 인격 살인 입니다. 인격살인한 사람은 인격 살인자지. 성적 선택권을 짓밟고 박탈할 자격은 누구에게도 없습니다.",40
inyoungjeoung8132,8살..7살..아니 나이를 떠나서 가족을.. 언제까지 성범죄에 관대할지.. 경찰에 신고해도 징역 몇년 깨작 살고 나오면 피해자랑 같이 살게 되는 현실.. 이게 제일 답답한거죠,15
user-md7xn9uy5x,반드시 상대방의 뇌검사를 해보고 결혼하자. 인간이 아닌 것과 결혼을 하면 이런 일이 발생한다.,0
user-gm5ty9ti7j,뭐 그러면 뭐해 대한민국에는 관대한 범과 판사들이 있는걸? 피해자야 죽거나 숨어있으니 신경쓸것없고 가해자들은 모두가 주목하고 있으니 신경 써 줘야지.. 그리고 반성하자나~반성문도 쓰고 반성도하니 용서해줘야지 판사에게 죄송하다는데 뭘~~~,0
user-gq5ls2hk6s,판사가 약하게 처벌할땐. 지도 저질렀던 범죄라. 나중에 까발려졌을때 지도 약하게 처벌받기위함이라고 변호사 유튜브에서 봤음,1
seulkeelee2977,친 엄마? 설마 친엄마가 아들이랑 성 관계를 했다는게 말이 되나요? 검사가 필요할것 같은데...,4
user-fo4we8yb6u,이나라 판사들 본인 자식이 이런 성범재을 당 해도 약한 판결을 내릴까,0
user-um2gr4iu9i,성폭행범은 사회에서 매장 무기징역,1
user-dz6kc7cu9e,이런 기사는 솔직히 조회수 올릴라고 언론의 구라라고 밖에 안믿겨짐 ; 현실성이 없을 뿐더러 이런건 양쪽말 모두 들어보고싶음 ㅋㅋ 실제 법원 판결이나 이런것두 딱히 없구말이야,4
