작성자,내용,추천수
user-vk7pg8ow6l,"이 사건 결말, 장 중사 고작 징역 7년,, 이러니 나라가 욕을 먹고, 이러니 판사가 욕을 먹지.. 씁쓸하다,, 삼가 고인의 명복을 빕니다",2
TV-mo9zv,"저지른 죄에 대한 강력한 처벌을 요구합니다!!! 솔직히 세상은 불공평, 정의롭지 않다는 걸 잘 알지만, 그래도 다시 한번 희망을 걸어봅니다. 황당한 판결앞에 선량한 국민과 피해자들은 정직하게 살아야 할 희망이 무너집니다.",0
hs245,이제 장교 부사관 인성검사도 같이해서 입대시켜야 됀다고 생각합니다. 진짜 저런사람들은 장교 부사관직 달고있으면 안돼요 관련된 사람들 다 파면시키고 가해자는 얼른 구속시킵시다. 가해자뿐만아니라 방관자도 가해자입니다. 그에 맞는 처벌해주시길 바랍니다.,0
user-gz7dj7rl9d,생판 남인 나도.. 억장이 무너진다 이 사건 철저하게 수사하고 제대로 판결해야 한다,3
kang2163411,증거가 있는데도 불기소는 말도 안된다!!!당장 해임하고 징역살이가 답 아님?,0
sunwayjin1310,제발 무기징역을 받게해주세요,1
user-ej3xe9ue9w,같은 남자로서 부끄럽다. 영상속 내용은 습관적으로 추행해온게 명백해보인다. 죄를 무겁게 받아들이고~판사의 형량이10년이 나오면 지은죄가 너무크니 형량이 작다고~ 꼭 항소해서 고인에게 조금이나마 용서를 구해라. 고인이 마지막 까지 너를위해~ 너에게 남은 인생 바르게 살 기회를 준것이니!,2
black_bean925,세상 진짜 무섭다 어떻게 살아 수사 똑바로 하자 국방부야 가해자 징역 가야 되잖아,0
cemfrrh8093,"피해자는 죽고 범죄자인 가해자만 살아남는 대한민국. 이런 나라를 만드는 건 범죄자에 아주 관대한 대한민국 형법과 판결. 그리고 이 적절치 못한 낡은 법을 2021년 7월, 아직까지도 바꾸지 않고 있는 국회의원과 정의의 재판관이라기보단 그저 판례에 얽매인채 법의 하수인 노릇만 하는 판사. 이러다 정말 피해자와 그 유족들이 법으로부터 보호받지 못한채 죽어서 대한민국에 범죄자, 가해자만 남게 되는 날이 오지 않을까?",663
user-hl4wu1bk5n,9년 때린 판사 이름 좀 알자,3
carolj7586,무기징역을 받아야 뿌리채 뽑힐라나,0
