작성자,내용,추천수
user-bm2er2hc8y,"군인이든 경찰이든 검찰이든 검사든 판사든 자신들의 직업 명예를 위해 후배, 선배, 동료의 죄를 눈감아주는 관례는 정말 비겁하고 불명예스럽다는걸 잊지말고 오히려 더욱 투명하고 정직하게 명예를 이루기 위한 노력을 보여주길 바랍니다. 이 나라의 국민이 당신들을 믿고 사는 것이 부끄럽지않도록 말입니다.",4.7천
user-jz4ip5bk3m,하여간 대한민국은 여자가 투신자살을 해야 슬슬 조사한다니까.. 이사건땜에 검사가 10명 붙었다던데 참 기가 찬다. 저 어린여자애 한을 제대로 풀어줘라 또 수사무마 시키지 말고,81
user-xx2br8qq9m,후배님 저도 군대에서 억울하게 제대 했었는데... 후배님에 비하면 아무것도 아니었네요.... 처벌이라 해봤자 징역 9년 그리고 관련자들 법관련자 처벌은...하나도 ... 하늘나라에서도 얼마나 원통할까 생각듭니다. ㅠㅠ 아버님은 얼마나 원통하실까 걱정됩니다. 제발 이 사건은 묻혀지지 않았으면 합니다.,3
user-yd7mp6id6r,장똥훈 중사 참으로 위대하십니다 ! 인생쫑났네요. 얼굴 다 퍼져서 한국에서 살기는 글렀네요. 여윽시 관상은 과학이여 . 생긴대로 논다는말 딱 맞는 관상입니다. 그런데 짱똥훈이 형량이 겨우 9년이라니 !,193
user-gd4mx4bw7g,판사들이 자꾸 풀어주니까 우리나라는 성범죄에 대해서 남자가 한 번 쯤을 실수할 수 있지라는 인식이 있는 거 같음. 지들 딸이 저런 일 당하고 죽으면 어떻게 판결할 지 궁금함. 물론 본인 가족 재판에는 관여할 수 없겠지만.,2
flyfuny,군대가 아무리 좋은 이미지 쌓으려고 쌩 난리를 쳐도 이런 사건에 다 무너진다. 좋은 이미지 쌓고 싶은면 최고 형량으로 사회에 못나오게 해야 다시 국민의 군대로써 신임을 얻을수 있다,5
user-ig2bk3uj9c,건강한 조직으로 거듭나야 전쟁에서도 승리한다. 저런 짓은 군의 전투력을 약화시켜 적군이 유리하게 만드는 이적행위. 군검찰 군판사 똑바로 못하면 없애고 검찰과 법원이 맡아야,1
user-zh3hf9ql3f,저런 인간은 실명과 얼굴을 대한민국 전체에 공개해서 얼굴들고 밖에 돌아다니지 못하 해야한다?!. 절대 가벼운 형량을 받아서는 아니될것이다?!.,1
junhohan5648,일벌백개를 해야 재범이 없어지지 피의자는 사형 또는 무기징역으로 처벌하고 관련자 모두 중형으로 처벌하라,0
tripls9388,아오..진짜 저런 인간들은 그냥 무기징역 밖혀야지,0
user-dx1uf1kw9f,고양이한테 생선 맡기는것 검사도 판사도 군인도 경찰도 수사할 수있는 단독수사기관이 있어야하는건데 에휴 대한민국 자체가 썩어있어,1
damianlee6418,개인적으로 자살은 정말로 하면 안되고 어떻게서든 살아서 복수를 하든 뭘하든 해야한다는 생각인데.. 이 경우는 왜 이러한 비극적인 선택을 했는지 조금은 이해가 간다. 모두가 절 죽였어요 ... 라는 말로 피의자에게 더 큰 형량을 주고 자신이 느꼈던 절대권력 자들을 난처하게 하고 심지어 그 자리에서 끌어내리게 했으니 말이다... 다만 그 선택으로 인해 아파할 가족들과 신랑이 너무 안쓰럽다 ㅠㅠ 부디 좋은 곳으로 가시길 빕니다.,37
user-bi8et8ei3y,가해자가 당당히 사는 나라이기에 신상공개를 안한다. 판사들 역시 가해자다.,1
