작성자,내용,추천수
Hokimo,군 재판 맡은 판사야. 너는 나중에라도 네가 무슨 짓을 저질렀는지 꼭 알길 바란다,98
user-ty5go5px9m,이 따위 결과라..군사법원의 어처구니없는 판결이라..대단하십니다.,14
user-sw7kt5ef5l,상식이 없는 판결입니다 윤석열 대통령님은 하루라도 빨리 덜 고통받게 유가족의 탄원에 귀 기울여주시기 바랍니다,8
user-hi6ku9kp3t,대법원 판사들 국민이 뽑아야 한다,39
user-pk8vn6tr8f,어쨌든 범죄자의 죄를 감형해주는 우리나라 법 진짜 답이 없다 이러니 성범죄자가 점점 많아지는것 아니야,70
Jerry-uu6ld,판사도 AI 로봇으로 대체하자,27
Kira-ys3zc,유가족들은 가해자가 20년넘게 징역 받아도 만족못할텐데 오히려 2년을 감형해주다니 진짜 저러다가 유가족분들 못버티고 극단적 선택하면 어떻게 할려고 저런 판결을 내리다니,17
user-om1yy8lt4v,내가판사라면 더올려버린다 무슨법이 이런식이야 뭐잘했다고 항소를 하는건지 죄지은놈이 더당당한나라 기가찬다 에휴 답이없다,50
twmstrap,저런 판결을한 판사는 존재 의미를 모르겠습니다... 어휴,21
Kim-wf2lh,도대체 이나라 판사들 정신감정이 필요함.,6
user-lu4wi1lf9h,형량이 15년에서 7년까지 줄어 버리네. 10심 재판이면 형량 사라지겠다.,29
lws00539,아 ~ 판사야~ 너희 아든딸이 꼭 같은사건 으로 ~ 너같은 판사 만나서 7년받기를 빈다 내가~!! 제발~!!,11
user-js1kv8er7g,7년까지 내릴거면 방관자들과 관련자들도 다 똑같이 7년해라 15년에서 7년이 말이 되냐 판사야 진짜 판사 맞냐,4
dogs_Watch,이 나라는 사적제재가 답이다 어차피 술 먹고 욱해서 찔러죽이고 모범수로 나오면 10년 안사는데 평생 저런 같지도 않은 재판결과에 고통 받느니 나같으면 죽여버린다,9
youngsoonjang7767,우리나라 판사들 피해자 생각은 하나도 안한다,12
Ryankim1231,"사형을 시켜도 모자랄 판에,,,어휴. 감형 판결낸 군판사놈은 지 딸이 저런 일 당해도 감형운운할 수 있을까? 이게 나라냐?",2
user-np2jp5lo2g,판사야 너와 네가족이 대대손손 이 죄를 다 받길 바란다,2
Tuna6964,판사 딸이 있다면 반드시 똑같이 당하길 빈다.,1
estebanhan9439,법정에서 피해자를 지켜해주시는 커녕 가해자편에 서서 어차피 형량도 얼마 안돼는거 내 가족이 저런일 당하면 가해자를 똑같이 죽이고 나도 감옥에 몇년 다녀오는게 차라리 답인거 같다. 우발적으로 저질렀다는 핑계 대면서. 이 나라는 그거밖에 답이없다,0
user-kv4ie1fi1m,왜 감형인가 !?! 정말 이해할 수 없다,5
simonhwang7190,"군대든 사회든 법조계가 개판인건 다들 이미 알잖아. 검사들은 기득권 타령, 판사들은 정권 눈치. 자기 일 아니라고 나몰라라 하는 국민들 덕에 국회는 법개정도 미루고 피하고.",2
lll7085,법 없이 살고 있는 이나라국민들 무법천지에서 살게 하는 이나라 판사들,5
user-nm1dl9ir8n,좋다 감형.. 대신 신상 공개하자 성폭력 가해자 잖아? 전역 당하고 나와서 비슷한짓 할거잖아,21
Leeds0114,이러면 무슨판사가 필요있어 모든 재판을 배심원제로 해야지,0
user-wr6og1du2y,지들이 뭔데 감형을 해 아무도 용서한사람이없는데,0
koleanan1001,사실 가해자가 전관예우 찬스를 썼으니 군사법원 판결이 거지같을 수 밖에 없지요.,0
user-lc2go6iy2x,우리나라 재판을 피해자위한 재판아닌 가해자위한 재판이네 가해자 형량 낮춰주는 재판하는곳이네,2
user-gg4ps9pt2v,저기있는 판사도 미래에 지가 저러다가 걸릴거같으니 미리 형량 낮게 주는듯,0
user-et6mv9sc1m,왜지들이 감형을 해주고 용서를 해주냐고,2
user-dv3mh9sf4b,근데 판사가 범죄를 저지르면 누가 판결함??? 자기 선후배들이 판결해서 꿀 빨겠네 ㅉㅉ,1
user-tq9md3oy4k,판사인간들은ㅈ사람이 아닙니다,0
user-mo3fn9js4t,이런판결 들을 때마다 본인들도 추행한적 있었나 생각됨,1
user-zz7rj4dv5f,내가 부모였으면 판사랑 판사가족 전부다 죽이고 나도 죽었다,1
sungdy87,사형이켜야되는거 아니냐? 판사도같이,1
user-vw8mv6ir9t,사망원인이 장중사만 돌리면 안된다? 그럼 다 수사하고 징역해 감형하지 말고 몬소리야진짜,0
WindStar-oe1sg,신상 공개하고 감형 해주든지 해라,0
user-xo5om5ml1d,아니.. 다 알았는데 모자이크좀 없애면안되냐? 징역때린거면 유죄라는건데 무죄추정도 아니고 왜 모자이크를 계속하는거야?,2
user-yp6tn2px4u,다들 난리들 이기는 한데 우리나라 군사 재판은 원래 다 봐주기 있던건 옜날부터 많았거든여 별로 그렇게 놀랄이도 그렇게 저거 할일도 아닙니다 뭐 거의 전통적으로 내려오는 판결들이라 이제 별로 놀랍지도 않음..,0
