작성자,내용,추천수
tyffanyrufallo7108,에게~~~~사람목숨에 7년이라니? 이건 검사나 판사나 문제다!!!! 무기징역형 구형 해야지..,27
user-jy4fe2iu2f,참 ~~군사나 판사나 참 대단하다 어떻게 저런 말이 나오냐 참 공부잘 하는사람 필료없다니깐요,9
user-hb1hj1xd7q,사람이 죽었으면 살 수 있던 시간 만큼은 형량을 때려야한다고 본다,4
coracarom,반성없는 쓰레기에게 뭐 겨우 7년? 장난하나 살인죄를 적용해서 무기징역으로 가야지..,4
rori3802,도대체 검사들은 뭐하냐 … !!! 7년이 아니라 7000 년도 모자란데,10
user-dk8cp8ko9o,미쳤냐 징역 70년이 아니고 7년?,8
sidewinder6855,민일 당신들 자식들이 저런 꼴 당하면 과연 저렇게 판결을 내렸을까요?!,4
user-bz2ld3mb5y,이예람중사가 누구때문에 무엇때문에 혼인신고 끝난 젊은 목숨을 버려야했는지 알고 판결하라 더러운 추행범을 봐주는 판사 공개를 원한다,0
user-qz5op5qn1n,애초에 군사법원에 맡기면 안돼 지들 끼리끼리 덮고 감싸는 한통속인데 공정하게 판결하겠냐,0
jideabc1966,에고~~~~애초50년구형해야~~~20년정도내리지~검사뭐하냐~~~~ㅠㅠㅠ,2
user-le6db3lq5y,징역7년....? 사형받아도 모자란데 ㅋㅋㅋㅅㅂ 역시 법은 데코로 달고다니는 나라,1
user-hv5zu5nz3d,"성추행과 2차가해 형량이 이렇다면, 독신여성을 14년 넘게 집단적으로 스토킹해서 괴롭힌, 2009 프랑스 한국인유학생 불법촬영 조직스토킹 기타 가해 범인들은 몇 년 징역 살아야 마땅할까요? 궁금하네요.",0
SPK4720,7년이래.. 몇년 살고 모범적이어서 형량줄고 집행유예로 나오겠지?,0
jchulyi7843,표창장처럼 천인공로할 일에만 4년이 판사의 공정이지.,0
nkj5413,다음 대선땐 범죄자들 형량 늘리는 후보 촉법소년법 없애는 후보 무조건 찍는다,1
