작성자,내용,추천수
user-pp7su1sm3e,판사에게도 꼭 같은일이 일어나기를 빕니다,2.2천
mint3892,"칼에 찔려 사람이 죽었는데, 수송한 구급대원이나 응급의학과 의사선생님이나, 수술한 외과 선생님도 잘못이 있을 수 있으니.. 찌른 사람의 형량을 낮춰 줘야 한다는 판결이군요....",4.2천
forzahorizon5433,판사한테도 꼭 똑같은 일이 일어나서 피눈물 질질 짜시길 빕니다^^,213
wooriiiii1625,아침부터 이런소식을 들으니 기분이 좋지 않네.. 정말 가슴이 미어진다.. 감형되서 조금이라도 기분이 좋아졌을 가해자에게 말하고 싶다. 남을 못살게 굴고 괴롭혀서 눈물나게하면 언젠간 자기 눈에 피눈물 난다.. 이번생이든 다음생이든 똑같이 악연이 되서 그대로 돌려받을거야. 그러니 안심하지마라.. 살아있는게 고통스러울 정도로 불안에 떨며 살길 바란다..,4.7천
rubymagnolia55,진짜... 부모님의 마음이 얼마나 찢어지실까... 성추행도 정신적인 피해를 입히는 만큼 강력하게 처벌받았으면... 심지어 피해자가 죽기까지 했는데 저런 판결은 동의 못하지...,46
gymjjang48,존경하는 판사놈들 오판하는 범죄마다 네 가족들이 똑같은 범죄 피해를 받아서 평생 후회하며 고통받고 살아가길 ....,2.5천
mocca2655,가해자와 판사가 같은 일을 겪기를 기도합니다,594
user-ie6mr1tv8j,직장 밖도 아니고 직장 내에서의 성추행이였다. 직장내 괴롭힘은 더 치명적이기때문에 감형이 아니라 가중해야 맞았다,27
user-ld2wf3wv5m,"장 중사한테만 죄를 지울수 없어 2년 감형했다면, 뺀만큼 같이 쉬쉬했거나 감춘 윗선이나, 간접적으로 가해를 준 사람들도 다시 샅샅히 조사해서 더 처벌합시다",1.5천
user-jl1mc8fr7l,너무 마음아프다. 악하려면 악마보다 더 악한것이 인간이라더니. 가해자+판사 둘다 꼭 단명하길 기도할게요. 피해자분 영면하시길...,5
star63022,와... 가해자 때문에 사망했는데 책임을 가해자에게만 물을 수 없어 감형했다니.. 진짜 판사들은 상식이 통하는 정상적인 인간이 아닌거 같다..,1천
hardystory,사망에 대한 책임을 장중사한테만 줄 수 없으면 장중사를 감형 시키는게 아니라 장중사 포함 책임자들까지도 모두 세게 형량을 줘야 맞는거 아닌가?,3.5천
roikoy8488,성추행이 너무 큰 죄악이고 결정적인원인이지만 이이후에 이예람중사에게 가해진 2차 3차 군가해가 더심각하다고생각하는건 동의합니다 그에따른 다른 처벌없이 감형만이 이루어진것이라면 정말 답이 없다,115
user-vt8ss9wy5p,판결내린 판사님 꼭 자식이나 소중한 사람이 저것보다 더 심한 짓 당하길 빌게요. 다른 사람눈에 눈물나게 하면 꼭 본인은 피눈물 흘리게 된다는걸 명심하세요.,703
brandonlee8508,아버님 참지마세요 군판사놈과 가해자놈들 다 찾아가 잔인하게 죽이세요 복수가 답입니다 이 나라엔 정의가 없어요 내 가족이 같은상황이면 전 절대 참지않습니다,2
thisismyworld1457,"아니 가해자를 유족이나 피해자가 용서해야지, 법이 무슨 권리로 용서하고 감형하는건지 우리나라 법 진짜 이해가 안가;;;",1.2천
woobluetooth,너무 마음아파서 눈물이 납니다... 사형때려도 시원찮을판에 감형이라니 참.... 항상 우리나라 법에 대한 회의감이 많이 드네요,885
user-cy1db4iy3u,"나라를 지키려고 군인이 됐는데 정작 나라는 피해자를 지켜주지 않네요 ,, 참 씁쓸합니다 ,,, 한 사람의 생명을 앗아간 사람인데 감형이라니요,,, 이러니 군 내에서 사건사고가 끊이지 않는겁니다. 바로 잡을 건 바로 잡고 벌을 받아야하는데 그저 위에서 쉬쉬하는 분위기니까 반복되는거에요 ,,, 답답합니다 정말",875
user-ip4je8oh1l,피해자가 용서를 해줘야 감형 가능하게 법을 바꿔야한다. 피해자가 사망했을땐 감형이 불가능하게,420
user-dh5co2eo3w,"공부 잘 하는 판사 말고, 상식과 법이 통하는 판사가 필요하다.",612
user-jo8bw1su3k,아버님의 절규가 정말이해간다.. 이중사 동영상도 봤는데 징역7년이 말이되나. 아버님.. 그 절규 꼭 기억하겠습니다,0
bestmath667,존경하는 판사님. 부디 당신에게도 똑같은 일이 일어나길 빕니다 ^^ 뭐 특권의식 선민의식으로 본인에겐 이런일이 안 일어날거라 믿고 사시겠지만 업보는 반드시 받게 되어있습니다 ^^,328
user-fv5gt3yf1g,판사들아 니네 아들딸이 이렇게 죽어도 그딴식으로 판결할수있냐? 어떡게 그런 모자란 머리통을 가지고 그 자리에 올라간거냐.... ㄹㅇ최대의 미스테리다....,544
user-tf8os8kt8u,저런 판사들 꼭 더 심한 끔찍한 일 당했으면 좋겠다.,1
user-ez4kb5cs1x,어머님 아버님 너무 가슴아프고 눈물난다.... 이 나라 판사검사는 정말.... 용서할수없다,47
user-fu1kx4yc8u,책임을 가해자에게만 돌릴 수 없다는건 추가 처벌을 해야한다는 것이지 감형의 해석이 될수는 없다.,132
user-zo3fu7nl7x,판사님 살면서 피눈물 흘리시면서 돌아가시길 빌어요 판사님 자식들도 저거보다심한 일이 있었음 좋겠네요 ^^ 아침마다 기도할께요,0
user-vq8lv5pb5n,"이래서 복수는 직접 해야 됨. 그냥 복수하고 징역 사는 게, 정신건강에 좋음",155
MangMooSe,모든 판결시에 판사들 얼굴 공개해놓고 판결하게 해야합니다.,272
user-ds9bf5gg8b,판사에게도 이런벌이 내려집니다. 꼭,1
user-cc4rl4xd6g,정말 피가 거꾸로 솟네요 대한민국 국민들이 분노합니다 감형이라니~~,857
Kim-ze2go,판사 가족들에게 보복이 있기를 간절히 하나님께 기도합니다,69
user-od4mu2md8r,판사들에게도 더 심한일이 일어나길,0
toss4625,생각을 안하지? 왜 항상 법은 피해자보다 가해자의 인권과권리를 더 보장해주는가? 가해자는 피해자에게 어떤 가해행위를 했을때 피해자의 인권과보호받아야할 귄리를 지켰는가? 그걸 지키지 않은 가해자는 왜 피해자가 용서해주지 않았는데 국가가 나서서 가해자의 인권과권리를 보호해주고 챙겨주는지? 아직도 모르겠다 법은 지키는자에겐 공정한것이고 지키지않은자에겐 공정해선 안되는것이다 법을 지키는자에게 불리하고 법을 안지키는자에게 유리한 판결이 지속된다면 과연 누가 이사회에서 법을 지키고 살까요? 법을 지키는자에겐 당연히 사회와국가가 지켜주는것이고 법를 어기는자에겐 사회와국가로부터 보호받지못하고 법을 어기면 그에따른 정확하고 강력한 처벌을해야 법을 어기지않는다 법은 각종 범죄를 행하지 않게 하는 안전장치일뿐이다 근데 그 안전장치가 법을 어긴사람을 보호해주고있을뿐,40
LEMON-gc6tv,피해자가 사망했다는 이유만으로 중형이 내려져야만 한다는건 법치주의에 맞지 않는거지만 법이 국민을 충분히 지켜주고 가해자에 대해 확실한 처벌을 준다는 믿음이 있을때 국민이 법을 따르고 지키지 않을까 싶네요. 물론 가해자도 국민이겠지만 가해자에게도 무죄를 입증할 3번의 기회가 있으니 형량에 대해서는 확실히 예전보다 확고해졌으면 합니다. 또한 항소가 된걸 안 시점에서는 원고측에서도 최대한 더 근거를 찾아 가해자가 그저 형량을 줄일 목적으로 항소를 했음을 어필해야 할거 같다는 느낌을 받고 갑니다.,84
