작성자,내용,추천수
user-qc6to2ku2e,판사 딸 부인 엄마에 할머니꺼지 꼭 똑같은 일을 당하길 간절히 기도한다,80
user-uk9nj4vd6x,어처구니가 없다 살인마가 9년 징역이라니?? 유족들의 억울함 어찌하나~~ 고인의 명복을 빕니다,50
moveon2,"한국 법이 피해자편에 서서 보호해주고 도와주지를 않는 현실을 또 느낀다. 가해자 죄질이 얼마나 피해자에게 고통스럽고 역겨운짓인지 사회적 인식을 갖게하고, 죄값에 책임지게 하려면 미개한 법의 개정 및 판사역량 강화를 요구한다!",24
YKjykgg,재판장이 입장 바꿔서 생각해보세요 제발 자기딸이면 과연 이런판결이 날지 이런기사보면 진짜 화납니다,27
user-sn3fs5gy6p,항상 판사 가족들 사건 나길 기도 합니다,66
user-rk6zt7dw9m,우리나라 법 수준 1. 전국민이 아는 큰 범죄 = 무기징역 2. 무기징역보단 약한데 심한 범죄 = 20년 3. 그냥 적당히 주자 = 10년 4. 그 외 = 5년 이하,124
user-nc3uz6bb3t,사람죽여놓고 고작 9년 어느나라에 사람죽이면 징역 몇십년넘는데 대한민국법의 어떤기준인지 참 궁금하군,95
user-rd4ql1lf8l,9년이라니 너무한다 정말 모두 다 납득할 수있는 형량이길 진정 바랬건만,8
7cleanshot,"판사 특 : 깎기 장인 다 깎아 본인들 뇌도 깎은듯 이 나라는 이상하게 10년 이상 때리는걸 판사들이 두려워함 근본 없는 법체계과 ㅂㅅ 같은 법이론 학설 , 구시대적인 판례에 구속되어 있는 꼰대 판사들 물갈이 되어야함",59
user-ev7ll1mp4j,"인과응보,사필귀정. 이 일을 은폐하려했던 모든 사람, 방관자, 판사까지 분명 언젠간 돌려받게 될거에요. 반드시 돌려받게 할겁니다.",0
younghoonkim9199,"여론이 들고 일어나니 가해자 징역9년 나오네,피해자보다 가해자 인권을 더 우선시 하는 풍조는 없어제야 한다. 만약 여론이 없었다면, 그냥 묻히고도 남았을 사건이라 좀 그렇네요. 억울한 피해자가 없도록 법을 좀더 강화 해야합니다.",12
-sss102,남은 가족들은 어떻게 살아라고..저런 판결이 나는지..다시봐도 진짜..억울하게 죄인이 만들어지면 안되는거지만..누구봐도 죄가 있는놈을 벌을 제대로 안 주는 모습이..누가 피해자고 가해자인지..가해자면 가해자한테 줘야할 벌을 제대로 줄 수 있는 나라가 되었으면 한다..,0
whitehair_grows,가해자보다 피해자가 더 많이 우는 판결이 맞다고 생각하나? 가해자를 질질 짜게 만들어야지. 피해자의 기대수명만큼 징역 때려야 한다고 본다.,6
give_kim5105,9년... 소중한 가족을 잃은 피해자들에겐 평생인데.. 가해자측은 무기징역이 맞는거 아닌가요..,4
motrdd9873,"인생사 ""인과응보"" 징역 몇년으로 끝날거 같아 한숨 쉬겠지만 당신이 죽을때까지 그리고 대대손손 고통을 겪을 것이다.",12
user-ts4tr3ce5t,이예람 중사님이 얼마나 힘이들었을까요 분노 증오 억울함 또한 재판의심사 판결 왜진작에 똑바로 억울함을 보살펴 주지 않았는지 한사람의 고통을 막아주 못해는지 정말 너무 하지 않았는지 싶다,0
tedchei364,법원 판결도 진짜 답없 ㅡㅡ 진짜 군대가 이렇게 썩어빠졌으며 폐쇄된 집단임.. 사람 죽이고 숨기기 바쁘고 .. 돈 줄줄 세는건 누구나 아는 거고.. 우리나라는 싹 갈아 엎어야하는게 너무 많다... 법이든 국회든 군대든 전부,6
user-gv6nl6yz1t,아무리억울하다고 분노를해도 판사들은 어느집개가짖나합니다.왜냐면 본인들일이아니니까 관심이없죠,7
kernel4685,와우 9년! 멋져! 근본없는 판결,33
qqdddse1648,"저 판결 내린 재판장 아들, 딸놈들도 똑같이 꼭 당했으면",0
