작성자,내용,추천수
user-mf5xv5nt7x,검사와 판사도 재판결과 국민평가받아서 부정결과나온 사람은 옷벗겨야한다,17
hycho7410,진짜 법원 검판사들 문제네요!!특히 판사들 개판오분!!!오판결시 판사처벌법 만들어서 끝까지 책임묻고 처벌해야할듯!!,4
user-be1tn9vq3h,법은 검찰 검사 등 높은 사람들 본인들의 자기 방어권을 위한 법이지 국민을 위한 재판이 아니네요 .. 대통령도 법원도 검사 판사 재판장도 국민을 위한 단 한사람도 국민을 위한 사람은 아무도 없고 그저 대한민국에 모든것을 갖기위해 국민을 이용 하는 사람들을 방어권행사하는 입막음용일뿐이네요 그걸로 국민을 처단 하고 말이죠,4
freeman7617,계속 이런식 판결이 나면 피해자가 가해자 또는 그 사건에 대한 동조한 자에 직접 벌을 내릴지도 모른다....,0
johnnybegood632,벅관에겐 유죄란 없다. 좌웆지간 우리나라는 그렇다. 검사 판사 만만쉐이.,4
ggondigi,"이제 좀만 있으면 ""술마신 건 맞지만 음주운전은 아니다""라는 판결이 나올 듯.",2
user-mc3rg9ku2y,참 이걸보면 우리나라 판사들 필요없을것같다.AI판사 도입이 시급하다.,0
tjahn6429,빨리 판사를 AI로 대체하든가 해야지 진짜 젖같은 세상이네,11
YOUNGPARK-in9py,"부적절했는데, 무죄야? 뇌가 분열된 사람말고, AI판사가 판결하지.",3
hongikyonghwa,판사필요없다. AI시켜도 된다.,0
user-or5wg9vy2i,전쟁나면 다 불행졌으면~안그러면 저 서울대 출신 검사 판사 기레기들 정치인 마피아들 못 없앤다~ 치가 떨립니다,2
user-et5qp1yl7t,범죄는 맞다 근데 무죄다 이런 판결 누구나 하는거 아니냐 이게 판결이냐?,1
