작성자,내용,추천수
user-ck1tp6zh4i,"판사를 욕할게 아니라 법을 바꿔야한다는 목소리를 내야한다고 생각합니다 판사는 그저 법전에 쓰여있는대로, 증거가 나열된 대로, 서로의 주장 대로 판단할 뿐입니다 언제나 따뜻한 마음과 여러 사람의 목소리에 따라 판단할 순 없었을겁니다 어찌됐건 자신의 양심과 법으로 심판하는 사람들이니까요",2
user-pv9wm7xr1x,7년? 와 제대로 미쳤네 이건 무기징역감이지 징역7년 세상이 완전히 미쳤구나 사람이 죽었어 사람이 죽었다고 이건 무기징역이라고,18
user-rh2ce1bz9u,"대단하다~ 대단해~ 약혼자가 있는 여성이었고 가정을 이뤄서 오손도손 자식도 낳고 살아갈 사람이었는데 성욕에 미친 남자들의 탐욕으로… 저출산, 저출산 거리는데 당장에 스토킹 범죄나 성폭행 범죄는 바로 구속수사로 입건하고 형량을 늘리고 가중처벌해서 여자들을 살리는게 우선순위 아니냐? 닭이 없는데 달걀을 어떻게 낳냐. 국회의원놈들이나 판사놈들이나……",27
lifepeople3075,고작 7년?.. 피해자가 뺏긴 시간이 7년 보다 크다.. 정말 답답하다 20년 30년 이런 판결이 욕심이구나,3
LOVEELSA-sr9qp,범죄자들에게 범죄를저지르라 부추키는 이런판결과판사는 필요없다,0
adriangim2777,판사들이 사이코패스들이 많아..성폭력피해 교육의무화 해야함. 판사 이름공개하고 그동한 판결사례도 공개 해야함,0
user-zb1lk5kr4k,무기징역을 줘야지 인간들아 얼마나 분하면 죽엇겟나 댄장들아,5
user-cp2vo2xc7y,법원에서 쓰레기판결 낸가족분들ㅋ 꼭 같은일당하길,0
jhshin9413,세종시 쇼핑몰 범죄자에게 1심판사가 징역 3년에 집행유예 4년 판결을 내림. 법이 아닌 판사들이 범죄자를 따듯하게 감싸주는 사례가 있다. 떡볶이가 화대라는 판사도 있고.,0
user-dt3js9tl6y,사회적 민심이 들썩였는데 무기징역아닌가?,0
SHC_PHOTOGRAPH,궁금하다 판사 직계 가족 저런일 있다면 사법부에도전이니마니 개거품이면서,0
user-uy6vf9hy8n,7년...떄리치워라 짜고 치는 판결,0
user-hd5uc3du2l,징역 7년? 와우. 성범죄자 양성국가다.,0
user-wy9kh6xy9d,영창7년후 실형으로 보내라 검사.판사 뒷돈 냠냠,0
user-gj8eh8wo4s,우리나라는 아직멀었다 성폭행 범죄에는 형량이 넘 가볌다 .사람이 죽었는데 7년형이라니 ㅈㅈㅈ,0
