작성자,내용,추천수
user-cb3pq7lh1c,국선변호사건 그 변호사랑 엮여 있는 검찰이건 판사건 대대장이건 간부건 잘못이 있으면 명명백백 밝혀야합니다,0
ajajaaja2231,법을 다루는 판사.변호사.검찰..모두다 공범이다.,0
user-hv4uj1ny1q,"군인 뿐만 아니라 검사, 경찰 이시대는 비리 시대 언제쯤 제대로 된 시대가 찾아올까",40
user-sv2gx8ds3h,보면볼수록 가슴아프네요 반면 2차가해자. 국선변호인. 전부 징역형을 받앗으면 합니다,16
fefe3043,"검찰 부터 김양호 판사,국선 변호인등 법조 카르텔들 지긋지긋하다.자신들의 이익과 안위을 위해 살고 공정과 정의,양심을 내팽개치고 돈 밖에 모르는 법조 기생 카르텔 이들을 도려내야 이 사회가 건강해진다.",0
eldorado8942,모두 싸그리잡이 징역 에 쳐 넣고 다시는 성폭력으로 희생되는 분들이 없길,1
wise_writing,사형이나 무기징역 그 미만은 다 유착관계로 같이 집어넣어서 똑같이 때려야된다,0
user-zr3gf6le3v,의사든 변호사든 군인이든 인성검사 도입해야겟다 쓰레기 천지네,54
user-bf2bx1gt6l,가해자넘은 군법중형으로 엄중히다스리고 사법재판관 선임하여 합동조사판결 물건거세하고 무기에서 사형으로 판결되야한다,0
tastegood1425,돈없으면 법의 보호를 못받는... 이게 인권문제지... 괸히 엉뚱한 인권찾아 흉악범형량이나 낮추고... 참...,0
MrCbn1515,"친정집이라고 스스로 증언하고있는 국방부수사기관도 없애고 경찰이 직접 조사하도록 법제도를 바꾸자. 지들입으로 친정집이라하니 객관적으로 제대로 수사를 쳐 하겠냐고. 국방부수사관,군사법원 다 없애고 경찰이 직접 수사하고 사법부가 직접 판결도 맡도록 법을 바꿔야한다. 국방부에 소속되어있는 기관들이 애초에 스스로 수사하고 판단하는 기능이 제대로 될 리가 없다. 국방부소속이 아니고 외부에 따로 독립적으로 존재해야 국방부 눈치나 압력없이 비판도 수사도 객관적 판단도 가능한거니까. 쟤네가 수사하고 판결하면 다 짜고치는 고스톱밖에 안된다. 사건 덮고 은폐하고 축소하고, 썩을 것들. 피해자가 왜 극단적 선택을 했는지 생각해봐라. 가해자와 모두 다 한패니까. 공군법무실도 인권센터도 공군소속 국선변호사도 국방부수사관도 군사법원도 숨막히게 전부 다 국방부 소속들 뿐이니까. 다 한패고 지들끼리 짜고치는 고스톱이니까. 국방부가 폐쇄적이라 외부기관이 하나도 참여되지않으니까, 감시하는 세력이 없으니 지들끼리 고여서 썩어서 온갖비리와 연고로 지들끼리 사건 은폐,축소시키니까. 피해자의 말을 들어주는 사람이 한 명도 없으니까. 군사법원, 국방부수사기관, 국방부소속변호사 전부 다 해체시키고 경찰, 사법부가 담당하게해라. 견제세력이 없으니 지들 세상인 것처럼 굴지. 다른 피해자가 더 많을 거다. 그러니 국방부의 폐쇄성을 박살내야한다. 경찰과 사법부가 국방부를 견제하도록해야한다. 그게 국방부의 미래를 위해서다.",0
joojang5144,그 국선변호사에게 무기징역을..,2
user-go8vz2pd1v,견찰 검찰 군대는 판사 의사 이것들은 인간아닌것들 투성이임,24
user-fo1hf3wr5x,가석방 없는 무기징역 시켜라 독방으로~,0
user-xx5hq4lb4t,우리 헬조선은 전쟁과 훈련이 아니라 군내에서 정치를 잘해야 승급을 하니 저모냥이지 ㅉㅉㅉ 군법 처리후 꼭 형사법 처리까지해서 두번 처벌 받아야합니다. 군법으로만 처벌 받는건 군법상 어긋납니다. 그래서 휴가나가서 사고치면 형사랑 말하지 말고 무조건 헌병요구 하는이유가 형사처벌 피하려하는건데 이사건은 무조건 두배로 보직해임 군징역살고 나와서 또 징역살기를,0
user-nv7cf2cf6c,국방부 검사원에게 맡기냐 ㅋㅋ 이것또 그냥 흘러가게네 이럴때 여성부는 조용한가벼 ㅋㅋ 역시 이나라는 돈 만있으면 뭐든지 된다 돈이최고여 ㅋㅋ,0
