작성자,내용,추천수
hwanhikang6367,왜 사람이 죽어야만 움직이냐 진짜 가해자보다 피해자만 더 피해받는 세상 지긋지긋하다 진짜 난 내 가족이나 친구한테 이런일 생겼으면 지구 끝까지 쫓아가서 어떻게든 할거다 진짜 처벌 제대로 내려라 저런 사람들 무기징역? 필요없어 사형 때리세요 제발 ..,34
Jay-ih9vm,같은 부대 안에서 또 같은 사건이라니요.. 이번에는 어떤 판결이 나올까 걱정됩니다...,0
user-iw6mq8vy6j,형량을 제대로 내리지 않아서 유족들이 법원앞에서 항의하고 그러셨는데 또 같은일을 자식이 죽고나면 부모가 평생 안고 살아야 되는데 진짜 이런 뉴스볼때마다 말문이 막히네요,0
Lee-ul3jq,삼가고인의 명복을 빕니다. 어차피 검.판사는 수사 안할꺼니 기대는말아야되겠죠? 돌아가신분만 불쌍하고 속상해야겠죠? 또 한숨이 나옵니다.,0
jhkim6126,부대 없에고 관련자들 전원 징역보내고 피해자분 보상확실히 하고 마무리 하세요~넵!!필승!!~사이다~~,4
HT45,비리에 범죄 덩어리네요. 저런 일이 다시는 일어나지 못하도록 관련자들은 전부 불명예 전역 및 징역살이 시키고 부대 자체를 몇 개의 대대로 쪼개는 작업이 필요하다는 생각이 듭니다. 다신 저런일이 발생하지 않았으면 좋겠습니다.,0
Aries_5446,군 내부에서 분명 묻으려고 할거임 사건 제대로 조사해서 가해자들 모가지 날리고 옷 벗게 해야한다..사회에 발도 못 붙이게 해야하는건 당연하고 쓰레기들이라 분리수거가 안되는 인원들이고 사형은 분명 불가하니 무기징역 때려서 감옥살이 가즈아…,0
aBunnyOnTheMoon,제가 딸이 있고 딸이 폭력을 경험한 이후 저런 선택하면 저는 추정 피의자에게 마체테를 사용해서 저의 사회적인 삶을 마감하고 차라리 무기징역을 선택할 것 같네요. 딸도 잃고 평생 ptsd 시달릴텐데 그런 게 복구가 될 수가 없을텐데.,1
neviestube,부대 해체 안하냐.. 관련자 다 징역 보내야 돼 저정도면..,1
meme8438,피해자들만 죽어나고 좆같은 가해자들은 감형받아서 잘살아가지ㅋㅋ 난 사람이 아무리 죽어나가도 이 현실이 바뀌지 않는게 소름돋는다,0
awas7628,그러고도 사망자가 나오는거 보면... 군검이 아닌 일반 검사님들이 수사 해야 함..,0
user-ev5gx2te4r,부대 해체해고 책임자 징역 보내라,0
aishwv,와ㅋㅋ 인성 검사 하고 부사관 장교 시켜라 사람을 죽이냐 진짜 ㅋㅋ,0
Zara9Zom,제발 범죄자들 연금 없애버리고 징역살이 보내라 금수만도 못한것들 한국남자이미지만 추락하네,0
user-pc8ez3vd4o,군검사 도베르만 출동시켜야겠다,0
