작성자,내용,추천수
cappununa2193,이대로 대법원까지 확정 판결 가기를 바랍니다!!!,5
user-st7wr9mo6l,판결문이라도 이렇게 속시원히 써주시니 좋으네요 집행은 안하더라도 엄연히 사형제도가 있는데 선고라도 내려주셨음 좋겠어요 교수님들 고생하셨어요,11
user-bw9cv4qq2r,정말 오랜만에 듣게되는 속시원한 판결입니다. 인천지방법원 이규훈 부장판사님 존경합니다. 이번 판결이 상징이 되어 앞으로도 극악무도한 범죄자들에게 올바른 판결이 될 수 있길 기대해봅니다.,14
kkk1106yr,출석합니다~^^ 저놈 얼굴 다시 보니 토나오네요ㅠ,5
user-yu5up9rr7c,무조건 사형아니면 우리나라법은 개법!!! 쓰레기들은 반드시 사형시켜야함. 고유정도 반드시 사형,7
user-hx4nn6pg3g,계속 오랫동안 방송해 주시길 응원합니다.,2
oooh1167,뒷방이닷 ㅎㅎ.. 권재찬 이 악마얘기들엇지만 또 다시보니 또 열받네요.. 김교수님..염교수님.. 날씨 더우니 건강유의하세요. 정PD님도~~^^ 깍꿍ヲ,8
user-yk8ro5tj5c,사형을 받는게 당연하다,7
user-cm6lz1yt1h,김복준교수님 오늘 완도 조유나양 사건이 일가족이?이렇개 견양됐다 하는 뉴스를 접하고 있는데요 너무 괴롭고 우울허내요,3
user-py9hb1qh3j,세상에나 너무다행입니다!! 더위에 조심들 하세요~^^,5
user-yz5mp8tl4g,사건의뢰 모두분 감사합니다 건강하세요,0
user-qm8uz9fc9y,모처럼 판사다운 판사님이 나오셨네요! 흉악 살인범은 당연히 사형선고 하고. 사형을 집행해야 정의롭고 합당한 판정이라고 생각 합니다!,1
user-rh2kx4fd4e,오랜만에 명쾌한 판결 ... 존경합니다 세상 이치가 뿌린대로 거두어야 한다,0
user-yb2tk3oe2n,사형집행은 없더라도 사람이아닌 저런 인간과는 우리사회에서 함께 숨쉬는 일 은 없어야한다고 생각합니다,0
user-rc5xb2nk4o,살인범들은 사형선고 꼭 해야한다,1
user-wo4om6pt9x,반갑습니다~,4
user-jd2cg6xe9b,얼굴도 모르는 판사님 이지만 판 결 깔끔 하게 해주 셔서 감사합 니다 천 하에 나뿐 놈들 은 다 그렇케 해주시면 참좋켓 읍 니다 그런 놈들은 이세상 살 가치가없 는 놈들입니다,0
user-yv6ci7ks9y,사형제도 있어야합니다!,0
user-hl5hh5gp8c,좋아요 누르고갑니다,0
user-ch9hl8sh9l,최종 무기 나오겠네요~30년 전자발찌,5
user-in5ve8nv7v,감사해요ㅡ교수님들께서ㅡ계셔주셔서ㅡ든든하게ㅡ대한민국좋아요,0
Zxqwt57890,사형이. 꼭 필오한. 사람,0
user-sf4kl3ne4r,ㅏ사형선고하면뭐하냐고,0
