작성자,내용,추천수
user-we1xl9cr6k,군인이 전쟁에서 적군을 죽인다고 살인범이 아니듯이 사법판결에 따른 사형은 정당한 집행이라 생각합니다. 그리고 유족의 입장보다 범죄자의 입장에서 고려되는 것은 절대 안된다고 봅니다.,157
user-pw2ez3gq1y,김원님 아직도 목소리가 안좋으신데 영상을 올리셨네요 오프닝멘트가 참 마음에 와닿네요.. 왜 자꾸 재판부는 감형을 해주는걸까요 사형집행을 할수 없다면 당연히 가석방없는 무기징역을 줘야지요 얼마나 더 많은 희생자들이 나와야 재판부는 제대로된 판결을 내릴수 있을까요! 저들에게 죽어간 피해자는 저런 판결로 인해 두번 세번 죽는셈입니다. 생각할수록 화가 납니다!,151
user-ik3ub5pw1e,진짜 저런범죄자들이 인권어쩌고하는게 정말역겹네요 지들은 살고싶은가보네 사형제 제발 집해해주세요 제발 저런쓰레기들 치워주세요 저런것들이 눈뜨고 살아있다는 자체가 정말 열받아요 편찮으시다구 그러셨는데 아프지말아요 꼭 건강챙기세요~,27
ppumppum8937,"사형제, 무기징역 세분화 찬성입니다! 저는 상대방을 죽이거나 피해를줬다면 똑같이 되갚아줘야 공평...하지도 않지만 최소한 똑같이 되돌려줘야 한다고 생각합니다!",10
qwerty-cq7rs,"다른사람 목숨을 빼앗았으니, 범인도 목숨을 내놓아야 답이다, 사형은 집행돼야한다, 잡아두는것은 현실과맞지 않는다, 유가족을 헤아려야한다, 죽음으로 죄값 치러야한다",25
cg.c954,"사형으로 강력범죄의 증가를 막을수 없다고 하는 사람들이 있지만, 적어도 흉악범의 재범과 흉악범이 사회에 다시 나오는것을 두려워해야하는 피해자 가족들의 근심과 걱정은 막을수는 있다고 생각합니다. 전문가분들이 방송에서 말하는것을 들어보면 흉악범들을 보면 이미 전과자인 사람들이 많다는것을 생각해보면 과연 사람들이 말하는 것처럼 별 영향이 없을까? 하는 의문도 듭니다.",13
user-ms4mc7qp6m,아직도김원님은 정의로운일을 하고계시군요~항상존경스러워요,10
user-he3nx5yx7k,2003년에 무기징역 또는 사형을 받았으면 그 뒤 피해자는 나오지않았겠죠....그때 무기징역을 15년으로 감형시켜준 재판부도 처벌을 받아야 합니다. 이런 법을 만들어야 합니다.,19
user-hb3mm7rw9f,피해자 유족의의문점을 확실히 수사해주십시오 진심으로 방송해주셔서감사합니다 김원님,55
user-ff8mf5pv2j,자기부모나 자식이 잔인하게 살인당해서 선처를 베풀수 있는 사람이 과연 몇명이나 될까? 사형폐지국가면 징역을 미국처럼 100년씩 때리기라도 해야하는거 아닌가요?,61
