작성자,내용,추천수
user-bg4cd3ts8q,요즘 직장에서 실시간 못들어와서 다시보기 합니다. 그래도 늘 애정하는 사건의뢰 재방보면서 좋아요 누르는거 잊지 않고 있습니다. 오늘도 나쁜넘도 많고~좋은분들은 더많고 함께 축하 드릴일도 많았네요. 김교수님 홍박사님 사건의뢰팀 모두 수고많으셨습니다 ~^^,20
user-bl8bt6pr5t,"요즘 다방면으로 속터지는 일들이 많은데 교수님 말씀 들으면 마음이 따뜻해지고 시원해집니다. 김복준 교수님, 홍박사님 건강하세요~~~",13
SS-og1hb,군인아저씨 마음 아프네요. 저희 큰아들 휴가때 국가에서 지원해준 KTX타고 춘천에서 왔는데 신경주역에서 내려 집까지오는 리무진버스를 탔다가 버스비를 현금으로 미쳐 마런하지 못해 난처한 상황이었는데 이떤 아주머니가 5천원을 선뜻 내어 주셨답니다.얼마나 고맙던지요.복 받고 계실겁니다 그때그분요.,67
user-hm6rj9if9i,미혼모에게 돈떼도 괜찬으니까 갖다주자고 하실때 이미 따뜻하고 정이 있으신분이세요 분식집 사장님 돈쭐나셔야겠네요 들으면서 메마른 가슴한켠이 뭉클해지네요 아직은 살만한 세상이네요,13
user-og9yj5oi1r,직장퇴사후 꼭 하고싶었던 작은 커피숍을 한지 두달이 지났어요. 항상 출근길 퇴근길..차에서듣고. 예전사건들도 다시듣고. 라이브도 꼭 챙겨보지만. 정말 사건의뢰는 가족같은분위기 너무 좋아요. 하루힘들었던게 방송들으면서 치유되는기분이에요. 오래오래 해주세요. 화곡동에 오시면 저희 카페두한번와주세용^^ 예전부터 경험은 있었는데 용기가 없어서 못했던일 이제야시작하는데 하루하루 보람찹니다^^ 따뜻한얘기만 많아지면 좋겠어요,8
happykong,용돈! 선물드릴 수 있는 부모님이 살아계신것만으로도 큰 복인거 같습니다ㅜ 하얀카네이션을 꽂아드리고 오는 마음이 참 아프네요,8
user-rt7dd9gh3u,늘 수고 많으십니다 정의로운 분들!!,11
user-nl3jx1ui6i,열심히 해주신 방송 감사히 잘봤습니다유일한 찐 사건방송 사건의뢰 화이팅입니다 ~100만 꼭 찍읍시다!!,3
i...2688,매일 이것 저것 하면서 빠짐 없이 듣고 있습니다~~ 세분 교체없이 쭉 오래오래 방송해주세요 존경하고 감사합니다^^,2
user-yb4lp3wp7o,라방은 거의 안빠지고 들어오는데 오늘 이름 처음 불러주셨어요. 눈물이 앞을 가리네요 ㅠㅠ 홍박사님 사랑합니다,13
