작성자,내용,추천수
user-yr7bq3tv4z,이리 저리 가해자 잘 챙겨주는 대한민국 사법부,12
user-uu7ld7qs5t,요즘 니라에 왜 이런 일이 자주 일어나는 지... ㅠㅠ,11
user-tr7si7yl5j,"한명을 살인해도 똑같이 사형시켜야 우리나라 살인 범죄가 없어진다,,,, 남을 죽이면 자기도 죽는다는걸 대대적으로 공표 해야한다,,,,",20
monstery1000,제발 범죄자 보호하지 마라. 짜증난다.,29
user-pf4hj6hj5g,연쇄 살인한 인간한데 인권이 필요한가 의심스럽다.,23
user-tb2el7xj4d,마스크 벗기 거부하면 손으로 확 벗기면 되지 ㆍ무슨놈의 법이 이래 ᆢ무조건 사형을 집행하라 ᆢ무슨말이 이상황에서 필요하냐 ᆢ남의 목숨 끊었으면 본인 목아지도 잘라야 마땅하다 ᆢ,6
user-we4rd8uk2z,못벗는다고 그냥 내버려두냐?? 살인범 악마 인권보호 하는겁니까 참 답답하네요 큰일입니다 문제야 문제야 그냥 확 벚겨요 에휴 징말 짜증지대로네......???,13
user-vx5zs9sq9y,사형시켜요 재판이 왜 필요한데요 이런 인간한테도 인권이라는게 필요합니까,16
user-jp7sz2up1c,나쁜 사람 말이 안나오네 피해자 여성은 나의 지인 가슴이 너무 아파요 세상이 왜 이런지,3
user-bq8ms5yh9g,사형제도 부활하고 촉법소년 폐지하고 3범이상 무기징역하고 무단횡단자 처벌강화하자,27
user-yi6on4ct6c,강제로 벗겨야지 이나라 인권보호가 자가당착이다,10
user-nl6lb1os9i,살인하고 죄송하면다냐 살인하지말아야지,14
didzl0320,저런게 무슨 신상공개냐! 마스크도 벗기고 실체를 보어줘야지,10
user-pb6rz2dx7u,살인자를보호해주는나라 살인은계속된다,17
hskim350,악마는 사형하라!,4
user-ug4us9fd9c,누굴 위한 인권인거지 울세금으로 먹이고 입히고 사형제도 부활했음해요 저런 사람도 아닌것들 인권이라고 얼굴가리니 법이참 무섭네 죽은사람만 불쌍하고 이러니까 이런사건이 발생하지 평생자기잘못 살ㄱㅅㄲ,1
