작성자,내용,추천수
behappy5047,오늘 라이브도 너무 잘들었습니다 언제나 빈틈없이 준비해주시는 사건의뢰팀들!!! 저는 덕분에 시건의뢰가 장마로 습한날씨를 버티는 버팀목이 된답니다^^ 이번주도 잘들을께요~~,23
user-qc3jk5zs7d,염교수님 웃으시는 모습 진짜 귀여우심ㅎㅎ 눈웃음도 치시고ㅋ 사건얘기하실때랑은 완전 다른 반전미♡ 저도 사건의뢰 라이브보고싶은뎅 그시간에 아이들이 안자서ㅜㅜ 9시이후에 라이브하면 매주 들어갈수있는데 아쉽ㅜ 그래도 꼭 다시보기로 보고있슴돠~,36
user-ol7wj5ib4v,"즐감 했습니당>.< 몸이 마니 안좋은 환자라 평소 몇편씩 몰아보기만 하구 라방 첨 참여해봤는데 방송 꾸려가시는 두분 교수님들과 피디님들, 실시간 잼난 댓 올리시는 구독자분들 덕에 오랫만에 웃어봤네요^^ 다음에도 기회되면 또 라방 보고파요 흐린 날씨지만 모두 행밤 보내셔요️",21
user-kd2ep3eo6h,부장판사님같이 죄를 바로 보시는 판사님이 많이 나오시길 바랍니다,4
user-pl7lw4mc8r,늘 감사히 잘보고있습니다.~예방의중요성 도머리속에 기억해두고 있어요~ 항상 느끼는건 범죄자의 형량이 더 높여지면 좋겠어요.피해자의 인권이 너무나 더 중요한데요..판사들이 본인들의 입장으로 오버랩해서 더 깊은 생각하며 판결내면 좋겠습니다~,30
user-st2jy1gl1s,두분 만담하시는것처럼 너무귀여워요 두분 건강하셔야 합니다 그래야 오래오래 사건의뢰 볼수있으니까요 월요일이 기다려집니다,47
user-ky7jg6pr8x,두분감사드려요..사건의뢰 제작하시는 모든분들...홧팅입니다,7
user-xi4et8ne1v,판사님같은 분이 더많아지길 검사님도 쵝오이심,17
user-fj6ny7sh6m,항상응원합니다!! 얼마전에 경찰분들이 일하는곳에와서 수배자분찾는다고오셨는데...김복준님생각나서 최선을다해도와드렸는데 그러시더라구요.. 너무고맙다고 요즘은 싫어하시는분들도계시고 도와주지않는분들이더많다고.. 마음이 좀 아팠네요ㅠㅠ,40
hansj96,"김교수님 염교수님 두분 케미도 너무 좋고 두분의 정의로움과 선량함, 성실함이 느껴져서 인간적으로도 너무 매력적이고 좋습니다^_*",12
user-oi7lv7mf6p,장마날씨에 두교수님 수고많으셨어요 사건의뢰 잘듣고 잘보고갑니다 늘사건의뢰 가족분들 늘건강 하십시요. 감사합니다.,14
user-iu9yr6rn4p,아침편지읽고 오늘이 복준교수님생일이라는걸 알았네요 라이브때 귀뜀이라도 해주시지... 피디님들 미오~~~ㅠㅠ 축하드린다는 말이라도 전했을텐데... 생일축하드려요 건강하시고 늘 행복하셨으면 좋겠습니다 오늘하루 교수님말씀처럼 많이 웃으시고... 사무실이사 잘하세요^^ 인증샷필수입니다ㅎㅎ,7
bnm86,오늘 라방은 울 교수님께서 괌여행 가셨다 오셔 많이 피곤하셔 힘들어 하시면 어쩌나 했는데 역시 대한민국 최고의 형사님 울 교수님께서는 사건의뢰 방송때 에너지가 뿜뿜합니다~더욱이 아끼시고 사랑하시는 최고의 귀여우신 염건령교수님과의 방송은 늘 에너지 충만합니다~!!괌에서 울 교수님 만난 팬님들 부럽습니다~!! 저는 언제쯤 사건의뢰 김복준 교수님과 염건령 교수님 홍유진 박사님 그리고 피디님들과 악수 함 해볼수 있을까요~~,8
