작성자,내용,추천수
user-rs3wh5qx2o,"얼굴 오랫동안 띄우고 나이, 이름 또박또박 말해주고 무슨 범죄를 저질렀는지 말해주는거 아주 좋아 계속 이렇게만해라 제발",1.5천
user-yz1iw8rv9e,사회와 영원한 격리가 필요합니다!,682
WonSukJo,범죄자에게 인권은 없다!!!!!!!!!!!!!!!!!! 범죄자의 인권을 매우 중요시 하는 대한민국 법!!!!!!!!!!!!!!,886
simpsonbro7,"흉악범의 신상을 공개하는 경찰과 언론의 노력은 칭찬할만한 일입니다만, 몇년전인지도 모를 증명사진 공개는 국민 우롱에 가깝습니다. 검거직후 촬영한 머그샷을 공개하도록 해야 합니다.",698
user-lp6ks2pk1b,사법부는 중대한 책임이있습니다. 살인자를 풀어주고 또 죽게만든 악랄한 책임이있습니다,259
user-gr9vf5ye2s,주변에서 흔히 볼 수 있을 것만같은 아저씨가 끔찍한 살인을 저질렀다니 충격이네요 흉악범의 신상을 공개하는 것으로 많은 범죄들이 예방되었으면 좋겠습니다. 앞으로도 가해자 보호가 우선이지 않고 흉악범들의 민낯이 더 드러났으면 합니다!,10
worldofdrinkschannel4630,주변에 흔이 있는 아저씨 같은 모습으로 저런 흉악한 살인을 저질렀다니 끔찍하네요 ...,129
tadah7890,신상 공개는 정말 칭찬해줘야합니다 이제야 조금씩 변화해 나가는구나,402
user-kn9nl9qx3m,요즘 수치를 모르고 배째라하는 많은 범죄들이 이렇게 신상공개만으로도 예방이 되리라 생각됩니다.,396
user-mv9wc7ii7o,강력범죄자에게 인권이 어딨어?,99
user-yl8fr9iw1n,"언제적 사진인지, 보정도 엄청 빡세게 들어가서 뽀시시하게 보이는데...가능한 보정없는 최근 사진, 범행현장 등에서 찍힌 전체 실루엣등이 있다면 같이 걸어주면 좋겠다.",432
jj-lq2nl,사형제를 실시해야한다.,80
user-dz3tt3do9e,돈을목적으로 여성을 살해하고 본인과함게 저지른 공범까지 살해한 극악무도한 살인범이요 잡힐때까지 방송공개수배 하십시요,200
user-in7oo5fm2p,"실물 공개, 정말 대환영합니다!!!",43
sasumchan,흉악범은 신상 공개는 의무화하고 특별한 사유가 있을때만 안 해야 한다.,195
user-mb9mi1sn3z,외국에선 도덕적 잘못도 신상 잘공개하는데 우리나라는 악질범죄자만 공개하니 좀더 법이 개선되어야한다,0
bleejackson6662,계획적으로 살인을 한 연쇄살인범을 2시간 반 동안 회의를해서 이제서야 공개를 결정했다는게 참 놀랍다..,32
seohlove,당연한게 속보로 신상공개를 해야하는게 짜증나,165
RythmEng,좋은 정보 감사합니다.,0
user-vn9mk7bv4d,어렸을땐 어여쁜 아이였을탠데 커서 생명을 거두는 망령이되다니...,29
asdf74290,이건 당연한거 아닌가? 정부와 경찰은 모든 강력범들 수시로 신상 공개해라 이렇게 생색내듯이 대단한 발표하듯이 하지말고.,208
user-xx1gh9rc1y,흉악범들의 민낯이 점점 드러나고있는건 매우 바람직한 현상이에요,2
esb1079,에이구 신상 공개는 진즉해야는거 아닌가요 인권인권 때문에 못하는 신상공개 범죄자들 제발 신상 공개좀 합시다,230
user-sq6dc1xt9l,웬일이래? 가해자 보호가 우선인 기관에서 가해자 범죄자 신상을 공개하다니... 이런게 당연한 일 같은데 이게 엄청 특이한 일이라니...,8
nyamnyam1366,흉악 범죄자 신상 공개는 찬성하는 편이긴 한데... 가해자랑 피의자 구분도 못하시는 분들이 얼굴부터 까라고 우끼끽 거리는 모습이 참 유감입니다. 이런 민중수준을 가졌으니 아님 말고식의 고발로 무고 피해자들이 나오는 걸까요... + 오해하실까봐 미리 각설을 달자면 본 뉴스의 범죄자를 대상으로 하는 말이 아닙니다. 혐의 조사중인 피의자들에게 조차 신상 공개하라며 떼 쓰는 분들을 저격한 말입니다.,15
user-rp4yr6rk1r,신상이 신속히 공개되는 편이네요 요즘은,76
user-hs7ph8pd9x,악마들은 공개하고 댓가를 치루도록해야죠,0
user-im4po2px3t,정말 좋네유.. 이제 중범죄는 신상공개하는게 모두를 위해 맞아유,26
user-rs8on3pv1w,제발 쫌 사형 시켜라 !! 그래야 힘없이 억울히 당하는 사람 한 사람이라도 줄일 수 있다!!,0
livingjoe1,무엇을 고민하냐...... 번죄자라면.. 살인자라면 신상 공개해야지!!!!,197
blessingrice,앞으로도 공개심의 빨리빨리 진행하길 바람,0
user-hx8id3ny3w,진짜 이 나라의 뿌리깊은 보수적인 성향이 좀 바뀌는거 같아서 다행이다.,28
zzulungwo3089,인권은 사람에게나 있는 것!,1
user-mh9kl7rj8k,범죄자들 이렇게 신상정보+얼굴 공개하는 쪽으로 계속 추진해나갓으면 좋겠습니다 좋은방향 응원합니다 제발,0
user-sx9nf7ds7s,살인범에겐 인권은 없다,2
user-uj9tj8hq1z,저 자는..예전에도 한명 둔기로 살해 했었는데ㅠ...다시 세상 밖으로 내보낸 나라가 답답함..,7
Yi-df5nm,이렇게 하나 하나씩 개선되고 다듬어지고 최강의 나라 훌륭한 나라로 자리잡히면 좋겠다.,0
JU-mw8sz,뽀샵 지대로한 증명사진뿐만 아니라 좀 더 다양한 사진들을 돌려가면서 보여줬으면 더 잘 알아볼 수 있을거 같아용!!!,0
user-le7ss5sp9e,흉악범들은 사형판결 나오면 반드시 집행까지 가야한다,1
user-jm7rv7do9f,웃음을 던지면서 술잔을 부딪히며 권재찬 그러나 마음 줄 수 없다는 그 말,0
Yorido_jua,이런 일이 사라지길 기원합니다.,0
dalnimiya,살인을 한번이라도 하면 무조건 신상공개해야하는거아닌가.. 꼭 여럿죽고나야 하네,66
user-gv4hn3lg4t,Cctv 전국설치는 정말 잘한거다,45
yssm0731,"간지난다 ,, 멋있어",4
roadhong924,인권은 인간에게나 있는 것.,1
user-ni5dy2ej4s,"앞으로 전과3범 이상은 무조건 얼굴, 신상 공개하는걸로 가자. 이거 공약하는 당한테 표준다",4
user-lu6ue3xy6m,범죄자도 출소후 사회에 섞여 살아도 아무도 모르게 해주는 법이 있다는게 짜증난다. 보호색을 띤 범죄자를 선량한 시민들은 그냥 당해라??? 야생에서도 들판에 초식동물은 맹수동물을 알기에 끊임없이 주위를 살핀다. 그러다 나타나면 도망갈 기회라도 있지. 동물보다 못한 대한민국의 법정치 가관이다. 국회의원들이 자기네들 밥그릇 전쟁만 하다가 일을 안하고 이모양이 된겁니다.,0
ZIPIZIGI1,모든 범죄자는 모두 신상공개 해야 함. 미국은 범죄자 신상을 볼 수 있는 사이트 있는데ㅡ 한국도 범죄자 신상 사이트 만들어야 합니다.,372
Tradershigh,안잡힌놈들 말고 잡힌놈들도 좀 이렇게 해줘 영상 떡상할듯,0
user-ki4zd8my4f,와..이게 당연한 건데. 왜 이리 기쁘냐ㅋ,8
user-zh8zp9jh6c,저런인간 신상공개하는걸 두시간이나..의논해야된다니 답답합니다.,1
user-pz5qo5gl3j,인천은 도대체....약한자는 살아갈수 없는 곳인가?,5
