작성자,내용,추천수
gus9576,"그래!!! 이거지!!!! 사형!!!! 제발 판사들 사형좀 많이 선고해주세요. 사형이 실제 집행은 안되더라도 무기 때리면 20년 복역 후에 모범수로 나올수 있다는데, 저런 넘들은 완전히 사회에서 격리 시켜야합니다.",2
user-sn9py6dk6w,재찬이형 부디 이세계에서 행복하게 사시길 지구를위해 애쓰셨습니다,3
chunjoo02,"사형수, 무기지역자들 사막으로 보내서 노역시키라, 그게 답이다.",7
i_love_u..,사형이 무기보다낫다 사형집행은 없을것이고 무기수는 강제노역이라도 하지만 사형수는 집행이 확정이기에 미결수와 동일하게 방에서 방장노릇하며 노역없이 운동하며 산다. 한국이 사형집행할수없음을 사형수들이 더 잘안다는사실이다. 사형수나 무기수들만 가두어둘수있는 강하게 폐쇄적인 전문교도소가 필요하다,8
user-ux3ff5bb6n,사형 선고 하면 뭐하냐? 25년째 사형 집행을 안하고 있는데... 사형수가 무기징역과 같은 선고와 같이 되어 버린지 오래되었다... 이제는 사형 집행국이 되어야 차별화된 선고라도 있지....,5
tv-zi3gh,사형 집행도안하면서 무슨사형이레...,10
user-pk9ut5yf1d,사형 선고후 6개월이내 하라,5
SLR-nc3go,대통령님....집행 부탁드립니다.....,4
tyrone5906,선고하면 뭐해 집행 해야지,0
user-ly3lb4qv1s,집행은 하는겨?,4
user-df1sn4jh8z,"무기징역,사형수들은 사형 못시킬거면 우리나라엔 석탄 광부들이 이제 없음 마지막 회사도 문을 닫음 정부에서 광산 회사 싸게 사고 그 돈으로 마지막 광부들 퇴직금 좀 주고 사형,무기수들 광산에 한달정도 무장병력과 인수인계 후 투입시켜서 석탄 일일량 못 캐면 밥과 휴식공간 내어주지 말라",1
So-ks1mw,집행도 안하는거는?,1
user-xd6mp5fu6v,사형을 선고하면 뭐하노 집행 안하면 허울뿐이지,0
LoveConquersAll777,말로만,2
user-sp4yk5ve1e,아 ㄹㅇ 토달지말고 사형이라고하면 사형인가보다해라 ㄹㅇ 찡찡이들 많네 ㅋ,1
