작성자,내용,추천수
user-mp3gm2rf2f,미국 신상공개 = 연행될때도 얼굴 공개 한국 신상공개 = 몇년전에 찍은 사진인지도 모르는 증명사진으로 공개,33
user-zc8ub2vo2q,사형제도 부활이 답인듯,0
VWJPG,그냥 지인이면 지인이지 '여성'지인ㅋㅋ,6
og-h1501,파리때 기득권자들이 득세하는 세상이라 특별히 이 양반한테 뭐리 하기도 참.. . .,1
user-mr8bd2ro6r,사형이다. 저놈은,0
jus9618,"근데,,, 꼭 남자만 신상공개하더라 감금해서 매매 시키다 고문해서 죽었는데 그 여잔 공개 안하던데",2
jamesyoon108,관상은 과학이네. 생긴게 ㅋㅋ,5
CitydogsDuekiAhji,최근사진이야?,2
user-re7ji1tc3y,강호순이보이네,1
user-vu2ex6kj1x,살짝 호남형 얼굴이네요,1
user-ll2si1my1v,장초단타--------기선제압 당일단타--------창원개미 마 인 드---------야손TV,1
user-ed7iu1us9l,저넘 조선족 같다 아무래도,1
yarkiron5996,.,0
