작성자,내용,추천수
user-cx1zq1ug8d,범죄자 보호해주네 18판사가. 생명을 뻇은놈한테 어떻게 저딴 판결을 하지 . 대단하다. 진짜 한국판사들은 심판받을날 기필코 올꺼다.,22
user-xo3ml9tf6h,세상은 결국 피해자는 고려되지않는다. 가해자들만 법이라는 허울좋은 테두리의 보호를 받을수있다.,8
user-vs5tv2pr8f,왜?죽은사람은 피해자분은 영원히 생명을 박탈당는데 왜 판사가 감형을해주는건가요 피해자분 살려놓으세요 판사님 왜 멋대로 감형 다른사람 목숨을 빼앗으면 당연히 사형이지요,7
user-sz2xm2fh6q,하 진짜 역겹네...판사 무슨생각인지 이토록 모든증거와 결과물이 인간이 아닌것으로드러났는데 무슨 선민의식을 가졌길래 중2병같은 판단을 내리는것인지 진짜 우리가족이 당했다면..판사야 너포함해서 내가 모범시민에서 기꺼이 퍼니셔가 되줄게..,2
user-tq2bx5ur9y,제발 사람 같지 않는 사람 왜. . . . 또 누가 더 죽어야 집행도 하지 않으면서,5
RealMintZZing,사형 내려도 어차피 안죽일거면서 뭐하러 바꾸는거냐 도대체 어휴 그냥 말만이라도 사형이라고 좀 해라,1
thormayer5540,캬 범죄자 생명존중 지렸다~!,13
user-bo3pq3do6l,일안해도 평생 밥주고 방도주고 편히살곳 판사님이 정해주셨네~ 좋겠다,2
user-zd5go5ut8n,어떻게 이럴수가 있지???? 이제 우리나라의 적폐 1순위는 판사집단이다. 판사가 정의를 대변하지 않는다. 이럴 바에 국민의 자위권을 인정해라.,1
redbbkoong,"무기징역으로 내려왔으니 노역은 존내 해야겠군. 사형수는 사형대기라 일 안해도 되지만, 그밖의 징역수들은 노역을 해야함. 절대 가석방해주어서는 안된다.",0
Doohan_Kim2023,대한민국 인권위와 판사들은 피해자 및 유족들보다 범죄자 인권을 더 소중히 하는구나 정말 대단해,0
HaHa-ro8uu,몇명을 더 죽여야 사형 이냐 연쇄살인범 을 감형해 주다니 ... 한국도 선택적 사형집행 을 해야 한다,0
ggh4679,사헝수가 무기되면 감옥에서 노역도 더해야하고 헝편이 안좋아지는데 그거 거꾸로 노리고 더 극악해지는것,1
user-rh8mk4ve5c,이게말이돼? 미친 사형이여야지 무기수는 가석방 되자나,3
skokido,그래 남은 무기징역을 깜빵에서 보내게 하지말고 판결내린 판사랑 동고동락 하게하자,0
user-fj5zw9oh5m,우와 좋겠다 평셍감옥에서 살게되다니 인셍역전했네 나두 하루만 감옥에 살고시퍼요!!,0
errorunknow7394,가해자의 앞으로의 살날을 생각하면 사형은 아니다 내가 피해자가 될일은 없으니 무기징역으로 한다,0
small-store,범죄자 얼굴을 공개하고 공무집행하는 분들의 얼굴을 가리는게 지극히 정상적인게 아닌가요?,0
user-wl9vv9jr5g,이러니 쉽게 욱해서 사고치고 그냥 몇년살다 나오지뭐 이런애들이 생겨나는거아닙니까,0
user-wf1xi9qm5q,이런거 볼때마다 진짜 누군가 국회의원이나 판사들한테 고의성 없게 똑같이 한다음 판결이 어케 되는지 궁금하기도함 21세기 판 임꺽정 없냐?,0
user-qu3yf7md1r,판사야 객사해라,0
huleen3749,누가 판사 안 죽이나,0
khw36933,한국에서 샤형제도 의미가 있나 사형대기자만해도 52명인데 안죽이고 국민세금으로 잘 먹고 지내고 있는데 한국에세 10명 100명 1000명을 죽여도 사형 안시키고 살려준다 골때리는 국가,0
user-hl4fm7wm4i,대한민국 범죄자가 살기 너무 좋네,0
user-uy1uw6de4m,아이고 달다 달어 저런 놈도 봐주고 ㅋㅋ 걍 AI로가자,0
sugar0violet,왜이래 판사들?,0
SY-wm4xr,세금이 쳐 남니? 뭐냐고...,0
user-my2pz4gg6c,후하게 깍아주네요,0
user-ws4pm9nq9f,뭐가다르나 사형집행도 안하는데,0
user-ju6wp7oi3k,그냥풀어죠라 나와서 사고치게 ㅋㅋㅋ,1
ainz4922,0:26 2심 재판부는 재정신인가?,0
highend576,언젠데 옷차림이 겨울이냐,2
asdfqwer7877,무슨무슨특사로 조만간 출소하겠네. 또 엄한사람죽겠지?식량이 넘쳐나나?,0
YH-fg4us,무기징역도 많다 집행유예줘서 다시 기회줘라 그래도 산사람은 살아야지,0
user-sg3hj4hf7r,적당히 관대해라 관대하는것도 정도가있지 정의라는게 그냥 사람 살리는게 정의인가 에휴 ㅉㅉ,0
user-tg5di9ut7h,ㅋㅋㅋㅋㅋ나라꼴 잘돌아간다,0
user-cb7zm2pq7b,요즘 뉴스 신빙성이 떨어져,0
moonsoojeong9423,저러니 판새라고 하지…,0
katehan7956,특별한경우가 어떤경우야? 연쇄살인범인데?,0
