작성자,내용,추천수
yongjinkorea,사법부가 정신 나가도 한참 나갔구나 제발 정신 언제쯤 차리실련지. 연쇄살인마한테 가족이 당해봐야 정신을 차리실련지 으이구,17
inguktower1,"세금아깝다, 즉각 집행시켜라!",9
ilikemissy,이제 우리가 봐야할 것은 판사 2명을 살해한 범인에게 계획적이 아니라서 무기로 감형되어 판사의 부모와 자녀가 쓰러지는 모습을 보는 것 하나밖에 안남았다,9
mingorae719,판사야 정신차려,5
user-tj5hj3wd8l,1심판사 왈--요즘 사회는 언론땜에 일단 사형줘야지 1심판사가 2심판사에게 항소때 무기주세요 판사들은 임기에 사형주면 대법관 변호사못함,8
oganesson0,개판이 또 감형하는 이유도 말같지도 않네. 반성? 저런 범죄자가?,5
user-ui1qp8xm5o,연쇄 살인범 무기로 감형 해 준 판사님 참 궁금해요ㆍ 무슨 생각이신지 ? 또 나와서 판사님께 해로운 짓 함 어쩌시려나 ~ 억울 하겠죠 ? 그럼 사형아님 영구 사회 격리 가 답아님? 속터지는 인권 나부랭이들 ᆢ,0
uhh487,피해자유족이 용서안해줘도 판사가 마음대로 용서해줌... 무기징역은 감형되서 나올수도 있지. 사형선고되면 못나오잖아.,0
SeeYoungKim,우리나라 무기징역이 문제가 있는게 외국 처럼가석방없는 무기징역이 없다는거지 그냥 좀 긴 징역형이라는거 언젠가 나올수도 있는걸로 아는데 ....,3
pmc0715,2심 재판부 명단 공개하라…,3
changminoh1,그냥 민간이 죽이는게 더 빠르겠다 정의? 죽은 피해자는 억울하자아 내가 유족이라면 죽이고 난 정신병이 있다 애기 하고 징역사는게 좋다고 생각한다,1
skankcrew,판사한테 감형할수 있는 더러운 권리를 없애버려야 ㅡㅡ 이 나라는 국민들의 나라가 아니다 ㅡㅡ 검사 판사들의 나라지,0
user-dw5pq5ce8x,연쇄살인자도 감형시켜주는 판사는 범죄자 출신인가? 범죄자 인권을 위해서 일하는거 같은데?,0
cafrilee5190,2명 죽이면 무기 3명까지도 무기징역으로 알고 있습니다. 김태현도. 무기징역,0
chonkkaebi139,판사라 쓰고 피고측 변호인이라 읽는다 ㅋ 룬이 지지율 70찍는 유일한 방법은 지금 수감중인 사형수 집행하면 가능해,2
user-vi9sf8er5g,그판사 신상공개해라,1
user-qu6yl2sh3p,연쇄살인범을?,4
user-wz8kg4vd6m,판사 저마가 당해야지. 돈빽이네,0
user-un1re3cb8j,그래서 판사 이름이?,0
user-dr5sx4zv3b,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사람을 죽여도 감형받는 나라 괴꿀 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나도 판사랑 그 가족 몰살시키고 감형 받는지 나중에 실험해봐야겠노ㅋㅋㅋㅋㅋㅋ,0
