작성자,내용,추천수
user-ge1rg3bf4o,집행까지해야 완벽!,5
user-up6jj1wb7x,살인사건이나 뭐 그런것따윈 사형선고에 대해서는 이유불문이다!!!,1
kdelee7075,사형제 부활해야 합니다 현제의 법을로는 범죄자들 범죄율 따라가지 못합니다 일단 몇명은 사형을 시켜 경각심을 일깨워 주어야 합니다,36
nameless2118,이런 정상적인 판결은 오랜만이네요,2
user-ez1or1ri3u,사형제도 부활 해야한다~,18
armyno.1.201,CG의 속지말고 국가정부기관 검증도 안된 액체 물질을 자신의 몸의 주입하지 말고 직접 눈으로 보고 몸으로 체험한 것만 믿어라아,1
user-go7kx9ox7j,항소심 판사 찬스 도전,1
pokerface2198,"과실이나 정당방위로 인한 살인은 제외하고 고의로 사람을 죽이고 그 증거가 100% 확실하다면 다 사형시키면 안되냐? 최소한 남을 고의로 죽였다면 '내가 다른 사람을 죽였으니 나도 곧 죽게 되겠구나' 라는 경감심을 갖게 만들어야지 살인은 피해자 뿐만 아니라 그 가족들도 평생 고통 당하면서 살아야하고 한 가정이 무너질수가 있는데 판사한테 반성문 쓰고, 초범이고, 우발적 범행이고 등등 온갖 이유로 다 감형해주고 겨우 10~16년 감옥 살다가 출소하는게 맞냐?",11
user-xl9mu7gf6w,사형좀 시켜라,18
user-nz4qc7mq1w,집행도 않하는 사형 선고 세금만 낭비다.....,16
user-mm8ki6ki8n,살인시신유기죄가 확실 하다면 교화가 어렵다 판단한 사법부를 지지 합니다,8
jang7503,사형제는 유지되야하고 제발 사형집행해라,1
user-rk6zt7dw9m,사형제도 특징: 집행을 안함 (실제로 이행을 안함),8
user-yr7jj4ot6v,이런 놈들은 택배 상.하차로 평생 징역 해야됨!,1
user-ml6oc8db2l,사형 선고하면 뭐하냐 집행을 않하는데...죽여도 가장 고통스럽게 죽여야지. 그냥 목졸라죽이거나 약물로 죽이면 뭔 의미가 있냐? 옛날처럼 사지를 찢어야지.,2
user-fk4wi7uu3s,"정권바뀌니깐, 이제 비상식이 상식으로 걷히네. 그넘의 피해자, 인권 인권 인권 인권.. 내가 제일 증오하는 단어가 정의/ 공정 / 인권이 되어버렸다.",9
thqngjdb5832,1심 판사님 밥이라도 사 드리고 싶네,8
goodworld82,사형 선고 잘했다만 앞서 죽어간 사람들 어떡해!! 살려내!! 나쁜 범죄자들이 살기 좋은 나라...,1
user-jy7nk4vs2h,사형 안되면 그냥 죽을때까지 고문은 안되냐?,2
user-sz3tw2tu8m,윤 석열 대통령님 내일새벽 극악 무도한것들 보냅시다 사람1명죽일거 2명 3 명죽이고 있어요 사형이 없어서,6
user-qv2qq2nh7z,이제 사형집행 부활하고 저런것들 선고 떨어졌으니 바로 집행가능,0
user-zd1dg1jd5l,사형받는게 당연하 억울하게'사망한 사람들 안됐다,0
dakson5298,밥 먹고 똥만 싸는 것들은 형 집행하라,0
khw36933,사형도 안시키는데 먼 판결이 사형 중국으로 보내라 대리사형,0
davisvlogs3896,so many killers nowadays. Holly shit!,0
user-eq1jp4zn1c,과보가 다하면 종자도 따르지 않는다.,0
user-ml8ze5cu9c,사형이라면서 전자발찌 부착이왜나옴? 혹시 검찰이 구형한거임?,0
JohnKim322,"어차피 항소심, 대법원가면 무기징역이나 종신형으로 감형된다 ㅋㅋㅋ",2
UragilWorld,그래도 정권 바뀌니까 짐승만도 못한 놈들 사형 선고하는 건 좋다. 이제 시행만 하면 되는데,1
user-nt9so3hd5u,상고심서 혹시라도 무기징역 선고되도 30년 안에는 못 나오것네 ㅋㅋㅋ,4
armyno.1.201,지구 밖 영상을 왜 CG 로만 보여 줄가요? 무엇 때문에 실물은 안보여 줄가요 카메라 Cctv 다 있는데 말이죠 누구나 의심을 가지는 영상 아닌가요?,1
Plastics_,완전히 믿지마세요 1심 사형떳다고 2심 3심까지 사형 확정된다는 보장없음,0
user-zu4rc2re8p,다른놈들은?,0
