작성자,내용,추천수
user-ek3qg4tu1x,1. 선고만 하지 말고 집행 좀 해라 2. 이 판결 2심 3심에서도 유지해라,24
korean-english7436,사악한 살인마에게 사형을 선고한 것은 잘한 판결입니다. 살인범에게는 사형 선고가 중요한 이유는 가석방 대상이 안되기 때문입니다. 무기징역 선고받은 범죄자가 20년동안 모범수로 지내면 가석방 대상이 되기 때문에 살인범에게는 무조건 사형을 선고해야 합니다. 사악한 자들이 교화되는 것 쉽지 않다고 생각합니다. 왜냐하면 재범률이 높은 것보면 교화는 불가능한 것 아닌가 생각됩니다. 저는 개인적으로 전과없는 삶이 성공한 삶이라고 생각합니다.,13
yelli_930,실질사형집행은 바라지도 않음. 제발 이런 놈은 사형 선고 해야 함… 법적으로 사자로 만들어야 됨…,10
user-fc7wp5de5o,남의삶을 앗아갔으면 그목숨도 지워야지 감형은 무슨ᆢ 사형집행 없으니까 저런놈들 자꾸나온다 안에서 반성문 몇장쓰면 감형 유가족 생각좀 하시요 판사님들 !!,3
user-vj4fe9sm3b,사형제도가 있어야 무서워서 살인을 안하지.. 요즘 중고등학생들 학원끝나면 마중나가는 분들 점점 많아지고 있습니다. 너무 무서운 사회라...하루 빨리 법을 강화해서 안전한 나라가 되길 바란다.,0
logical_debater,첫 살인때 전당포 주인을 죽였을때.... 그때 사형선고했더라면 2명이 더 살수 있엇는데 사람이 사람을 죽이는건 실수의 영역이 아닙니다 사람 고쳐쓰는거 아닌데 재판부는 자꾸 선량한 시민들의 목숨을 담보로 범죄자들의 아주아주 작은 가능성에 도박을 하네요...,3
jhp2236,진정성 있게 반성하고 눈물 흘리며 판사에게 반성문 10장 제출하면 징역 3년 이 나라의 검사와 판사는 신 이니까,2
user-uj4mu2dn3l,선고했음 빠른시일내에 사형집행해라 그래야 짐승같은 악행도 졸어든다 살인자들 사형시켜라 무조건,0
user-qq3il8od2u,사형수들 사형집행 빨리해라 세금 아깝다,0
seungcho1738,"하루빨리 집행해서…식량절약해서…사회로 돌아가야….식량도 아깝다,,,…",1
user-zl3fi8pl8n,흉악범들에 관한 댓글은 대부분 사법부 불만이 만은것 같다 사실 한국의 대부분 판사들은 뭐가 똥인지 된장인지 도 모르는것 같다 그러니 늘 국민들로 부터 늘 지탄을 받는다 사법부를 보면 정말 안타까운 생각밖에 안나온다,0
o4805,사형선고 받으면 뭘해 집행을 해야지 ~~~ !!,0
user-jj1dj9uf6m,사형을 해야 ~ 법이지~,0
user-mz6dd5my2c,두분 목숨 더 잃은것은 사법부도 공범 아닌가요? 직무유기한 사법부도 처벌받아야. 이제라도 사람생명을 거둔 쓰레기. 과실치사 외에는 인간아님니다. 그런유전자는 울나라 에서 걸러나가야 되지 안을까요? 우리 2세들이 더나은 나라에서 행복하게 살수있도록 사법부의 존재이유를 국민께 증명해 주세요. 유가족은 직무유기로 사법부를 검찰에 고발해라.,0
worldmusica6984,97년 IMF이후 사형집행은 없었다는거군..,1
user-vd6xp4yl7w,남을 살해했으면 당연히 죽여야지요,0
jinjinpkpk9016,첫 살인때 사형 때렸으면 두명은 살렸내,5
hhh-hz5of,사형을 선고했으면 뭐하냐니...사형 선고했으면 잘한거지 왜들 그렇게 불만이야 잘한 건 잘한거잖아 사형 구형 한 것도 아니고 선고라잖아 그동안 무기징역도 잘안나왔는데,1
seungcho1738,저런살인자는…5장6보를 채취해서…이식용으로사용해야….인간쓰레기다……,1
pandol8214,사형선고후 사형을 해야 사형인데 쟤네들은 지들이 안죽는줄앎,1
user-dc7wl2ph3n,사형선고가 아니라,0
user-gr9ov3jb9y,사형집행좀 하자,0
user-zu3zm7qj7f,"""인간성 회복 기대 못해"" <<< 이거 웃기지 않나요? 그럼 저런 짓거리 해놓고 인간성 회복 되면 봐줄려고?? 저런 말장난 역겹다.",0
user-jp8li2yx8i,쓰레기는 소각장에 넣어라.,0
NB-xd4fj,굿.. 집행도 합시다.,0
user-lo7rn2gr5t,지옥에떠러저라,1
user-hm8vn9jy5c,집행도 안하는 사형선고 장난치나,1
user-qy3zv9bm7d,2심 무기징역 3심 징역15년 ㅅㄱ 안봐도 뻔함,1
s-checkitislife-7954,분명 식겁해서 반성문 조온나 쓰고 최종 무기징역 교화를 기대할수 없는건 범죄자만이 아니다 ㅋㅋ,0
user-yb2cc6hk5b,반성하면 2심 무기,2
user-dz4iq3xe8y,하던대로 집유줘라 낯설다,0
user-jl4ql1og5g,말만 사형이지,0
user-ve9hq4fx6g,밥돌이 구형했네,1
user-rh3gi7rj7s,"구원 받는법 ""네가 만일 네 입으로 예수를 주로 시인하며 또 하나님께서 그를 죽은 자 가운데서 살리신 것을 네 마음 에 믿으면 구원을 받으리라"" (롬 10장9절)",0
