작성자,내용,추천수
rhksgh81,간만에 판사님이 밥값 하시네요,35
akaikuni,제 정신을 가진 판사가 대한민국에 1명은 있네요 멋진 판결 응원합니다,2
user-zk1xo2mr5h,살인자는 사형선거고가 많아져야 한다. 또한 사형집행도 이루져야 한다.,46
_frogman,사형선고 내리면 뭐하나... 집행을 안하는데 죽어야할 범죄자는 죽어야 합니다,30
user-se2no1fw4y,이춘재사건보면 사형집행을 왜 안하는지 알 수 있습니다. 누명 쓰고 교도소 가신 분이 있을 수도 있는데 함부로 사형집행했다가 나중에 무죄로 밝혀지면 그건 누구도 책임질 수 없는 일이니까요.,4
sungwookim2075,사형집행을 안하더라도 살인자는 사형을 선고해야 한다...,10
user-oh9hb8uc9w,선고만 하지말고 집행좀 해주세요.. 감빵에 틀어박혀서 주는밥 쳐먹으면서 천수를 누리면 그게 무슨 사형이야 교캉스지..,14
js.wonking,현실적으로 사형을 선고해도 사형을 집행할 수 없다면 차라리 사형수들만 따로 관리하는 감옥을 만들고 평생 반성하면서 살게해줘야지 사형수랑 일반재수들이랑 같은 감방에 넣어두면 뒤가 없는 쓰레기들이 그곳에서 또 악질적인 갑질한다.,7
user-hl4fm7wm4i,사형제는 없어져야된다 편하게 죽이면 안된다 매일 죽고 싶다 느끼고 싶을정도로 육체적인 고통으로 살게해야된다,5
user-uj4mu2dn3l,사형선고하고 실제로 행을 집행해라,14
12cat,예방과 방지를 위해 사형선고는 마땅히 존재해야 한다,0
kyumgpark6980,판사들이 제정신으로 돌아왔구나. 당연히 사형이 옳지!,8
cksaud,저런것들에겐 인권은 없어야하고 사형집행도 집행자분들 정신건강 생각해서 독방에 가둬놓고 굻겨죽이자,3
user-np2ln5ly2i,사형집행해라 집행안할거면 니들 월급으로 그것들 먹여라,3
user-en4ed9vi2e,사형선고좀 많이 부탁드립니닷,3
user-lh1zb4jb6m,사형선고 당하고 언제 집행할지 모르면 극도로 고통스러울걸,4
user-lc2fi4wl5u,선고만 하면 뭐해??? 집행을 안하는데~~~ 그럼...법조항이 왜 있냐?? 그냥 쓰레기법 이지......ㅋㅋㅋ,12
user-tf1fd4pe3h,악마 바로사형 살려둘이유가없다 무상급식도 아깝다 국고손실,2
user-md6mw4up5v,"선고만 하지말고, 재발 좀 집행하자.. 저런 쓰레기들 좀 청소하게..",2
louis9584,1인 살인은 무기징역 2인 이상 살인은 사형으로 다루어야 합니다,2
jinsookang6080,사형선고 전문 판사를 두자. 그리고 연봉도 두배로 주자,3
ydpark0430,즉각 사형 집행만이 답이다!,0
user-lp1wk5ji4r,사형수들만 시설나쁘게해서 따로 수형만안대나 집행안할거면 호위호식하면서 지내게하는건 아니지않나 내세금이 저런인간한테 쓰이는게 아깝다 인권?저런인간들한테 적용할필요잇나,0
leeyoung271,사형 집행 이제 해라 진짜,2
jang7503,제발 사형수들 사형집행집행해라,0
user-pp9fw8nb9h,마약범 흉악살인범들 아동 성범죄자들 모두 즉각 사형시켜라,2
user-ms8im9be5e,죽어야할 범죄자는 죽어야 합니다........빨리 집행이 필요합니다...밥 축내기 전에....,0
user-ww5hy1cu3n,본인이 원하면 전산에 오픈해서 어느병원에 가더라도 이사람은 어떤약을 먹고 어느과 처방을 받고 등등 하면 좋을텐데 개인정보 때문에 본인이 원해도 안돼고 흉기를 들고 설치고 난리를 쳐서 식구들이 신고해서 병원에 입원을 원해도 본인이 싫다고 하면 인권때문에 정신병원에 입원이 안된다고 합니다,0
user-tz8ir4wp8b,예전 살인사건에서 사형해버렸으면 지금같은 살인이 없었을꺼아냐? 이건 예전사건의 판사도 공범으로 봐야지,0
user-kc9ui8fg2i,판결만 사형이지... 사형은 안시키는..,2
hyungmin82kim,아이고 세금으로 먹여살려야 할사람 또 늘었네,2
mr.j1039,첫 살인후 15년형을 받고 또 살인...살인의 영원한 공범 판사,3
