작성자,내용,추천수
user-hf4nb1us1e,점점 사법부가 범죄자들을 대변하고 비호하는 기관이 되어가는 대한민국. 무고한 시민들은 언제든 우발적으로 살해당할 위험을 안고 각자도생 해야함. 피해자와 피해자 가족들은 인권 포기하고 숨어 살아야함. 사형제도가 없는 범죄자들의 천국 대한민국,56
user-bi1bz2hc2n,더이상 범죄자들의 교화에 무게를 두고 판결을 해서는 안됩니다. 교화의 목적이 아닌 범죄자와 일반 시민의 분리에 무게를 두고 판결을 해야한다고 생각합니다. 지금의 가해자 교화 중심의 판결은 지금 세상에 전혀 맞지않는 상황입니다.,34
user-bi6zw5bt5h,공범살해는 우발적이었을수 있어도 공범을 데려가서 여자를 살해한 시점에서는 이미 그게 우발적이라고 할 수 있음? 점점 우발적이라는 단어를 너무 넓게 봐주고 있는 거 같은데 살인과 같은 범죄에서 우발성을 그렇게 넓게 봐주면 어떻게 하냐고 ;,56
user-zi3pn6gj9u,범인들 상습적 하는말 1번 우발적 2번 심신미약 3번 술에 취해서 다 인정하고 가벼운 처벌을 해주는 믓찐곳...한국과 한국 판사들,48
user-yx9dd4qu5d,범죄자들은 왜 하나같이 얼굴을 가리고 나타나지? 죽이는건 그렇게 당당하게하고 얼굴공개가 챙피한걸 안다는게 참 희한하다..,47
yjk9704,앞으로 판사가 검사가 무기징역을 구형했는데 그걸 지들이 판단해서 감형시켰는데 재범 삼범을 하면 판사도 같이 교도소로 보내는 걸로 법을 바꿉시다!! 검사개혁이 필요한게 아니라 판사개혁부터 해야합니다!!! 10년형에 가중처벌해서 20년형을 선고해야할것도 부족하여 반성문만 내도 3년 4년으로 감형해주니 살인자들이 판 치는 국가!,39
ahukah9010,암기 잘해서 판사되는 대한민국 ㅋㅋㅋ,52
user-th3pg3pp8k,살인 또는 성범죄자들은 예외없이 얼굴 공개해주세요 남의 인생 뺏은 사람에게 인권은 무슨 인권,22
yaholove,둘다 계획적.,7
user-mi7xe6rl8x,판사들때문에 범죄자들이 길거리에 넘치겠다 사람 한두명 죽여도 다시 감옥들어가서 편히 지낼거고~ 길거리도 무섭다,56
user-hk3eu5ss4j,난 우발적 살인이 감형되는 이유가 이해가 안됨. 욱하면 사람을 죽일수도 있는 놈이란 건데 더더욱 사회에서 철저히 격리 시켜야 되는거 아님????????? 우연히 주먹을 휘둘렀는데 지나가던 사람이 맞아서 죽으면 그게 우발적 살인이지 도대체 법이 말하는 우발적이란 건 뭐임????? 감형이 아니라 가중 처벌 되야 함.,19
gogokor9413,와 강도 살인등 여러 사건이 있는데 감형되서 나와 돌아다니다니 국가 잘못이다 이런건 저런버러지를 방치하다니! 꼭 사형시켜야한다,23
