작성자,내용,추천수
mistyarea4512,당초 사형이나 무기징역으로 사회에서 격리시켜야할 쓰레기를 15년 만에 풀어준 그 판사놈 때문에 선량한 국민이 죽은거다,43
zinger6724,"죄송할 짓 애초에 한 당신, 업보가 너무 필요충분조건이 가득한데, 내세에는 생명체로 태어나지말았으면 합니다. 개인적으로 저런 인물은 전자발찌 갯수 및 감옥의 공간조차도 아깝다 생각합니다. 그리고 현재 제주도에 5.3 강진 떴는데 많은 피해 없기를 바라며- 다들 저녁식사 맛있게 하세요.",14
user-wc5di5vl5c,재활용이 안되는 쓰레기는 바로 소각을 해야지 진짜 이해가 안되네,11
user-jq7dm6zh6o,판사님들아... 도대체 몇명을 죽여야 깜빵에서 못나오게 할겁니까? 진짜 이런 얘기는 하면 안되지만 판사 자식들이 저런일 당했어봐 봐로 사형 때렸을껄. 속이터진다 터져~~,3
user-od3hn5yf9w,"와..인생의 절반을 감옥에서 보내고도...그래도 또 하는 이유, 쫌 살다 나가면 된다는 희망이 있어서...",8
user-et2wp4zt7s,그놈의 인권 침해 ... 저런놈들 인권도 챙겨줘야 하나??,1
user-jv4hu6gl4d,출소되게 형량을 적게 하니 이런 반복적 사건생기지.판사들아,7
user-oz1re8bw9h,풀어주지말고 죽여라 좀 이나라는 사형제도가 아직 필요하다,1
user-ss7ux2mo6w,사형만이 답이다,4
jung1780,저런사람들은 지옥에서 똑같이 본인이 겪게될 고통임 52살인데 진짜 인생 헛살았네,0
ganekim,범행대상 가족이 판사였으면 좋겠다! 제발 걸려라! 가난한 서민을 모조리 죽이는 판사! 돈만 받으면 무조건 실행하는 판사! 개인정보 은행에 제출권 명령해 계좌압류해버려 가난한사람 사회에서 매장 시켜 더 가난하게 하는 법원의 판사를 즉결처리해야 한다고 생각함. 인권모독을 서슴치않고 저지르고 있는 것이 현재 대한민국 판사다! 무슨일이 있더라도 계좌압류는 행하면 안되는 것이다. 수 많은 서민들이 이것때문에 고통받고 있다. 사업자가 아닌 이상 서민에겐 그러면 안되는 불법을 판사 스스로 저지르고 있으며 남용하고 있는 것 세상에서 가장 나쁜 인간들이 대한민국판사다!,1
user-zp4go1gb8d,여기서 얻는 두 가지 교훈 1.관상은 과학이다 2.인간은 고쳐쓰는 거 아니다,4
user-xl7sj3fy4e,우리나라 법 짱이쥐~~사고치고 살기좋은나라,7
eugenewoo7702,형량에 문제가 심각한거 아니냐? 3배는 때려야지 참... 사람죽였는데 15년이라니 말이되냐고 이게 국회의원들 일 안할래?,2
factonly8056,역시 사람은 서울에 살아야함,0
user-qh9kv5vs2k,인간의본성은 변하지않아 이넘은 평생 교도소에서 못나오게해라,0
user-qm4gs5en8e,입법부를 탓 하십셔 여러분... 사법기관은 법적근거로 움직이는 사람들입니다,1
user-rd6yl3qd8f,죄송할짓을하지마,2
HappyJohnKim,장난하나...이게 말이돼?,3
user-ss7qo7ts9i,먹고살기 하도어려워 강력범이 폭증하는구만..,0
yongyong7063,전과 3범부터는 팔다리 자르고 닭장에 넣어 길러야됨. 애초에 갱생여지가 없는데 왜 꾸역꾸역 출소시키는지 ? ㅋㅋ 닭장에 넣어키우면 사료값 절약에 수감인원 대폭 증가하고 관리인원도 대폭 줄일 수 있고 업무강도도 훨씬 편해질텐데. 범죄자에게 필요한건 인권이 아니라 죗값이다,2
user-kf1tf2on1c,저거는 갱생이안되는 사이코패스다,0
user-pb8pz9mk3x,사형 법이 호구니,1
user-di3zu6ed9i,법이 문제야 개판이다 법이 이게 신진국? 꿈깨라,1
DS-bk8rf,근데 사형집행 왜 안하는건가요?,1
user-xl4up8ux8k,연쇄살인범이 15년형?,1
user-tq8oj8sn6z,조 두 순 만세,5
mumukoo3360,ㅋㅋㅋ검찰 sbs 물흐리네 윤석열이 됐음.좋겠지?,0
ykrr-og6ur,기독교냐천주교냐 사형반대하는것이,0
