작성자,내용,추천수
jwkim8361,친절한 경찰씨,13
jhl9307,무능한 경찰은 범죄자와 다를바 없다..,15
user-mg6dx4ee6q,저런 애들한테 국민의 혈세로 월급을 준다는게 진짜 코메디다,15
korona2033,아ㅋㅋ 당시 권재찬을 범인이라 단정할 근거가 없어서 그 근거를 만들어주려고 전화를 한거구나! 내가 그걸 몰랐네! 인천 경찰분들의 대단한 통찰력! 대단하나 K-경찰!,24
user-bl2lo6xw6l,경찰이 욕먹는 이유 신고를 해도 무시함. 일을 안한다는거니까,6
incyphe,절차상 문제가 없었다... 그 절차 만든사람들이 문제가 있네...,8
user-lu6ue3xy6m,경찰 ㅋㅋㅋ 내가 할까? 너무 쉬워 보여서 통화를 했어? ㅋㅋㅋㅋㅋㅋㅋ 이건 기본 개념이 없는거지?,11
user-nodamecantabile,경찰은 어떻게 된건지 궁금하다. 기본적 지식이 없는듯,8
user-oy4ii8hi5z,아니 저남자 만나고 실종 됐는데 범인인 근거가 없었다고 ? ?? 와 진짜 경찰 뽑을때 성적보다 적성을 더 고려해야될듯,1
user-cn5gr2pp8v,세상에 이런 경우는 참,2
jaychoi9804,진짜 요즘 경찰들은 지들이 '경찰'이 아니라 월급쟁이 '회사원'으로 스스로 인식하고 있다니깐. ㅎㅎㅎㅎㅎ 그러려면 회사에 취직하라고 제발. 경찰이 하는일이 뭔지 알고나 있나? 판사나 경찰이나 일을 전부 책으로만 배워 ㅋㅋㅋㅋㅋㅋ 생각좀 하고 살자.,2
seunggilee2128,또오오 인천경찰 ㅋㅋㅋ 경찰이 뭔가 ㅄ짓하거나 비리를 저지르면 높은확률로 인천경찰이네.,17
ashpoppy7136,절차상 문제가 없었다라... 아니 물론 경찰은 세상사람 다 남이고 다 남의 일이겠지만 긴급한 신고전화에 긴장감도 없고 기초적인 자신의 직업 의식조차 없어보이는데 과연 이런 경찰이 문제가 없을까?,1
user-kf7fw2cy3j,경찰합격하면 지능이 낮아지나? 지능이 낮은애를뽑진않을텐데…,6
junykim1130,하...경찰은 뭔가 편을 들어주려해도 항상 이런 무능이 튀어나온다...,0
bold2349,경찰이 꿈이기전에 개그맨이 꿈이였나 뭔 짓이고 저게,4
eunseonchoi7129,인천은 혹시 일부로 지역적인 이미지 메이킹을 안 좋은 쪽으로 하려고 경찰이나 공무원을 일을 이상하게 하는 사람들만 데려가나 싶을 정도로 심심하면 저런 게 나오는데.. 왤까;; 인천에 대한 이야기 나오면 특히 사건 사고 관련은 꼭 이렇게 엮이더라.. 그 지역 주민들 무서워서 살겠나...;;;,6
Jeanneryu,경찰한테 수사권 주다니 갑갑하네,1
js-oo8jn,경찰통화목소리가. 참...한가함이 보이네. 자기일 아니라는게 너무 보여,2
user-yx8ik7ge2z,역시 k경찰 위대하다,6
nonburn,경찰이 또 경찰했네,1
blueberryjojo,경찰 공무원 시험때는 추리력은 안보나보네 ㅋㅋㅋ,2
user-fn1sf6mo6n,대다나다,1
user-vi7je8yu6z,또 인천 경찰서야?,0
yd8850,욕처나올라하네 범인한테 범인맞으세요? 계획적인살인을 계획적맞으세요? 예끼 아무나댈다 수사하래도 그리하진않을터 초등학생 장난장난전화 치나지금????????,1
heartbeat7274,ㅉㅉㅉ,0
