작성자,내용,추천수
user-in7oo5fm2p,"이렇게 공개, 또, 또, 또, 공개해야 합니다!!!!!! 그래야만 살인 방지를 막을 수 있습니다!!",54
user-lx2ke2ni1x,어떻게 사람의 탈을 쓰고 살인을 저지를수가있지..,45
oldtime_1974,살인을 몇번을 했는데도 그냥 풀어주냐? 저런 인간은 인간도 아니다. 무기징역을 줘야지. 나라가 왜이러냐.. 눈물난다 ㅠㅠ,79
minjiso1778,가해자 신상 공개 계속해야 합니당@@@@@ 동의가 아닌. 필수로!!,76
CEBUCALL,사형제도 부활해야한다 아주 살인하고 교도소에서 편하게 쉴거 생각하면 파가 솟는다 사형을 못시킬거면 매일 매질같은 고통을 줘야한다 살인자들에게 편안한 교도소는 살인을 쉽게 결정하는 원인이 될것이다 우라나라 법은 살인을 방조하는거다 법을 바꿔야 한다,106
user-st5xo3jw1z,끝이 없는영원한~격리,4
user-vv3pn4kt3z,"저 리짜이밍은! 모든 범죄자들의 편입니다! 검찰 개혁, 사법 개혁 이루겠습니다! 범죄자들은 자유로워야 합니다! 저 리짜이밍, 음주운전, 폭행, 등 한다면 합니다!",1
story3448,이게 먼 인권 타령이야 정치하는것들 살인자를 풀어주니 또 살인을 하는거지 살인자는 최소한 무기징역 줘라 답답하다 진짜,61
user-kk3uj6dx7r,살인을 밥먹듯 하는 인간. 영원히 세상과 이별하길. 사형제도를 다시 부활해야되!,61
pij37201,인간이 아니네 이거 풀어주면 또 나와서 사람 살해하겠네 사회와 영원히 격리 시켜야한다 이런 악마는,59
joylee2131,사형제도부활시켜라 저런놈 세금으로밥먹여주기도 아깝다,32
user-rq5rl8ub4g,무기징역에서 15년형으로 감형해주지만않았어도 이런일이 발생안했을텐데 안타깝네,19
backgu34,어떻게 하면 무기징역에서 15년으로 감행되는거지? 11절 세일 행사라도 했나? 설마 감옥 좁아서 15년으로 감형해서 풀어준건 아니겠지? 진짜 악질범들은 사회와 격리 시켜야지,27
user-je6in7mg6j,왜 판사는 무기징역을 15년으로 감형해줘서 피해자를 추가로 발생시키게 하냐?,14
user-ov9mt1ru8k,정말 무섭네요 왜 저럴까요 사람에 소중함을 모르고 저런짓을 하는게 너무 나쁘네요 신상 공개도 미리했어야했네요 여러분들 정말 조심하세요 무섭네요,0
user-sw8hw1op4i,노력해서 살아야지! 힘들게번돈을 왜? 그냥뺏어쓰려하는지! 세상 무섭다.,12
user-qh5fo2tq2x,범죄자나 흉학범들은 앞으로도 계속 신상공개 하길 바라며,35
user-kk8vl2ky1y,살인자 사형답이네 빵 살고 나오면 또 살인할것 같은 얼굴 공개 처형합시다 22년 사형제도 묵혀두지말고 집행합시다 살인 천국 되어가는 대한민국 법 강화해서 엄벌합시다,21
user-qf8xp3ej3q,이인간 무조건 사형이답이다 판사님 꼭부탁드립니다~~,10
user-rk6zt7dw9m,"사형을 했다면 다시 안일어났을텐데,,,",29
user-if7nm1wf8r,저런 죄인은 사형만이 답이네 장기간 교도소에서 숙식제공 받을 권리는 없다.,7
happychung4951,살인자를 쉽게 풀어주니 또 살인하지 너네 재판관들도 공범이나 마찬가지야!!!,52
user-nr5us9qj2m,사형을 했어야지 살인을 하고도 15년 받고 기어나오니 또 살인 이게 대한민국 법이다,6
HS-lx7pr,살인자는 제발 감방에서 내 보내지 말라...,2
googookandJAM,"저런 짐승을, 움직이는 흉기를 왜 내놓는겁니다. 법 개정을 통해 짐승은 우리안에 두고 안전한사회를 맙듭시다.",7
user-id1ql3un9y,제발 법좀바꿔라 한번 살인 한것들 또다시 살인 한다 사형시켜라 저런것들때문에 억울하게 돌아가신분만 생긴다,1
user-ch9is1lx3h,이사건은 법무부가 책임져야합니다..강간범 강도 살인범을 사회에 내보낸 법무부..,11
siok519,"사형이 답이다, 저런인간이 사회에서 잘 적응하고 살겠다 1992년부터 살인강도로 감옥갔다 나왔다를 반복하는데 풀어주는게 맞는걸까,,,",4
user-kr2yi1fu4t,더이상 인간으로선 구제불능 부디 감옥에서 회개하고 반성하고 참회하고 거기서 다시는 이사회에 발딛지말고 네인생을 종치거라~,4
