작성자,내용,추천수
user-fr9gr8uq3m,우리나라에 제정신인 판사가 아직도 살아있다...,9
user-lp7fz8fs8e,"재활용이 안 된다고 보면, 사형시키는게 당연한거 아닌가?",7
user-uq3zi9ln1f,모처럼 사법부가 국민을 존중하군요 사법부의 판결을 존중합니다,4
user-qf8xp3ej3q,무조건 사형이답이다 ~~,6
soolee8243,이런 살인자들 선고라도 사형이길 바랬었는데 어떤 판사인지 고맙기까지하네,4
NO-wf4nb,말로만 사형?....모든 사형수 빨리 실행해라!,3
user-jx5ku7gy7n,악마구만 딱 맞는판결임니다,4
user-yr6xr9pe3o,사람을어떻게돈때문에죽이지 저런자식부모는누군지 ㅠ,2
user-zy9tm2zd2f,사회정화에 도움이되겠네요,2
user-rf1uk7jt9j,퍼포먼스인가? 사형때리면 뭐하나 경종도아니고 집행을해야 무서워하던 이런일을 안벌리던할텐데 조금열심히하고 반성문 한없이쓰면 엉뚱한판결내리는 우리 판새들이 많은 자유대한민국인데,2
MDF77777,사형 코스프레만 하지말고 집행도 좀 해라 제발 내일 당장 사형 집행해라. 또 한 15년 살리고 모범수라고 감형시켜서 한 5년뒤 출소하는 레파토리 만들지 말고,4
user-kz1do4hi7w,국민들은 극혐 범죄자를 사형시켜야만 사형제도가 부활했다고 믿는다. 살인자들을 세금으로 호사생활시키지 말고 극한 노동이라도 시켜서 세금대처해야 된다. 그것도 안되면 사형을 집행해서 국민들에게 신뢰를 받는 정부가 되기를 바란다.,2
user-yr6xr9pe3o,사형이면뭐해 실행도안하면서,3
user-hw7qs2dn4l,사형없는 사형선고가 무슨 의미가 있음?,1
seungcho1738,나의 글뜻을 전국에알려서…범죄예방을 하기위한교육으로…전국에 방송보도로 국민 교육을…시켜야……,2
user-lh2hq6mn8v,사형? 없자나,1
user-er9ku4jt9z,이거지,0
