작성자,내용,추천수
worldpeace1004,30년 되기전에 제거해라 세금 아깝다,10
user-wf1xi9qm5q,경찰관에게 죄수들 호송할때 강제로 모자 벗기고 마스크 벗기고 선글라스 벗길 수 있는 권한좀 부여해라 맨날 뭐냐 저게 ㅉㅉ 아니 국회의원 니들도 살면서 꼭 유튜브가 아니더라도 이런 댓글 수도없이 봤거나 들었을꺼 아니냐고 ㅡㅡ;,5
user-uj9gk9jg4q,그렇지 잘했다! 집행하지않는 사형선고가 무슨 의미냐고 자의적.집단적 판단을해서 사형선고를 내리지않는 판사들아 잘봐라.,2
user-er5vf1tc8f,확정 후 바로 집행해라 세금이 얼마나 아깝냐 ㅅㅂ,4
user-nb9rw5sn7k,우리나라 헌법이 구식이긴해...시대 흐름을 못따라가는 느낌이야,3
user-or1yi7nr9e,제발 집행하자,6
UuU-oj6md,사형 집행도 안하면서 무기징역도 세금아깝다...서로서로 좋게 빨리 가자,0
user-cz1od2fh5z,사람을 죽인사람한테 인권이 어딨음? 죽은사람은 어쩌라고? 세금낭비다 교도소에서 사형수들은 떵떵거리며 생활한다는데 살인이 확실한 범인들은 제발 사형 좀 집행하자 어떻게 사형수가 교화되길 바라냐,0
user-cz2ex3zz8x,교화는 말 말임다 더 많은걸 배우고나오겠죠 많은 범죄지식을 쌓으라고 보내는거라고봐요,0
user-yx5ye2vh9j,흠...죄질이 안좋군 2심에도 사형나올꺼고 대법원 가도 사형 나올뜻 항소포기하고 징역사는게 맞는거임!!,2
user-eb8ql2sp2d,살인을 해놓고 마스크랑 모자쓰고 얼굴가릴권리는 도데체 어디서나오는 거지?,1
westhero76,촉법소년도 낮추겠다는 전지전능한 한동훈이 보고 사형 집행도 하라고 떼 써보지 그러냐? 지지율 뚝뚝 떨어지는데 그거라도 해서 눈 돌리려나?,3
user-qc6wt5ph3y,사형선고??ㅋㅋ사람죽여도 본인은 평생을 교도소에서 먹고자고 하는데 무슨..아닌말로 사형제도를 못하겠으면 삼청교육대 다시해서 평생을 노예처럼 살도록 하든지..범죄자인권 타령하는 것들은 똑같은 것들이다..,0
user-nk8sv2vs2c,응 최종공판에서 무기징역,1
user-es2yt2hl8p,어차피 무기징역 나올꺼 뻔할꺼고,0
user-ij5si2nv5b,김태현은 그럼 교화 가능성이 보여서 무기징역이냐,0
yellowdragongun2443,그냥사형집행이 답30 년 발찌 위헌이다,0
jaxxxxxxxxx,집행하자,1
user-ls8zj3ki4k,한국법은 잘 모르겠음. 권재찬 3명 살인 사형 김태현 3명 살인 무기?,2
user-il2mx2td1d,사형선고 해놓고 전자추적기 30년?,0
user-yx5ye2vh9j,동종전과까지있음!!,0
user-bu6gy5po4k,고조선 8조법인용 집행해 다 세금이다,0
kenjikawakatsu3141,사 형 내 리 면 뭘 하 나 요 사 형 집 행 을 원 합 니다 쌀 한 톨 도 아 깝 고 같 은 하 늘 밑 에 서 숨 쉬 는 것 도 싫 습 니 다,4
korea.funnytv,지금 대통령 이름이 머더라? 세금 아깝다 공무원 줄이던데 70명 사형슈 1년.식비 58억 7500만원 그거좀 절감 하지그래,1
yellowdragongun2443,두다리잘라라 그럼됬지?일단 목숨은 붙어있으니 자비를베푸도다,0
