작성자,내용,추천수
gold_mark,무기징역에서 15년으로 형량 깍아준 서울고등법원은 반성해라,82
user-gm6nd3zw1d,살인자를 사형선고 안하면 판사를 사형시키는 제도를 도입합시다,105
wolfsearodo8385,사람을 죽였는데 15년 밖에 가두지 않았다는 것 자체가 아이러니하고 인생 자체가 범죄꾼인데 방관했던 것도 기가막히고 저런 놈들이 우리 사회 곳곳에 또 있을 것 이라는 게 불안 하죠.,167
younggun454,판사의 잘못 100%. 고등법원 판사를 상대로 손해배상 소송.,74
Terry9024,숨진 피해자는 판사의 감형때문에 죽은거다. 쓰레기 판사들은 책임지고 자폭하라,121
user-ud6cz2oh6r,판사의 가족이 당했으면 과연 형량을 저렇게 때렸을까,93
user-bo7gw4zd6u,"대법원판사를 선거로 뽑아야함. 그래야 국민정서에 법판례가 따라감. 판사는 무소불휘의 권력과 아무도 간섭할 수 없기에, 국민정서와 따로 노는 경우가 많음. 국민이야 죽던지 말던지, 자기 편한대로 판결하는 판사가 많을 꺼임. 승진하고 싶으면 국민정서도 읽도록 해야함.",106
luckyyang6922,"판사의 살인 방조, 강도,살인 인데 겨우 15년. 싸이코패스 검사해서 뭘 어쩔건가? 제발 흉악범들 사형좀 시켜라. 살인범은 교화 자체가 안됨.",46
user-dw7hf2nc9q,이제는 50년이상 형이 집행되 길 바랍니다.,14
dywoo9427,담당 판사도 피해자들에대한 책임을 져야한다..판사가 살인을 방조한거지..얼굴공개는 범죄자들이 가장 무서워하는 또하나의 다른 형벌이지..얼굴공개로 직계가족까지 엄청난 비난과 손가락질로 얼굴들고 살지 못살듯...,126
enjuui,저 작은 체구로 잔인함은 엄청나네,39
user-tt9kn7gc6l,다른 죄목에 선처해주는거 백번 이해해도 의도적인 살인에 형량을 줄여준다는건..,0
brikim1204,제대로된 벌을 받았다면.. 다른 피해자들은 없었겠네..,47
as-jx6xo,판사가 살인을 키웠네,12
user-ds2eg8ql2o,강도 살인한놈을 사회로 내보내는게 정신이 있는거냐?,64
user-zi3pn6gj9u,판사랑 친한갑다 형량을 낮춰주는거 보니까,5
user-pu4wn4tj3p,판새도 돈에움직이는사람많음 이상한판결 대부분은 아마 모종의 거래가있었을것임,0
khu6207,"진짜 판사 세키들 세상 경험 시켜봐야 한다니깐? 강도,살인이 15년? 미친거 아니냐고",26
jenmonami3596,개버릇 어디 가겠읍니까? 사-형,0
user-tx9jk4kh2t,저런놈은 무기징역 필요없다 사형제도 부활하라,8
kkk-wn9co,이시대의 타노스 지구환경에 이바지 하시네,0
user-yl1fp9we9o,제발 사형집행 좀 부활시켜 주십시오 살인자 는 사형시켜야 합니다 무조건 사형집행 국회는 부활시켜야 합니다 그래야 살인자들이 사회에 나올수없게 됩니다,24
realjongsoo,강도살인을 15년 살린 판사놈부터 잡아들여라,37
user-ts5nw8ks5o,분명 막을수 있었다. 이건 적어도 저사람이 아직 감옥에 있었다면 헛한 2명에 목숨을 살릴수 있었겠지. 이건 저사람이 죽인게 아니라 15년형을 내린 판사가 죽인거다. 해당 판사도 무기 징역형에 처해라.. 본인이 하는일에 대한 책임은 어떤 직장이든 지기 마련이다. 유일하게 판새들만 그 책임을 지지 않는거 같네.,32
user-uu9qq4qb1s,요즘은 연쇄살인범이 연쇄살인을 못하는 이유가 금방 잡히기 때문이라고 하는데 그게 맞는듯... 우리나라도 감형이 없는 무기징역을 만들어야 할듯... 그래야 연쇄살인범이 모범수 노릇하다가 출소하는 일이 없어지지.. 이춘재도 출소할려고 모범수 노릇을 했다고 하든데...,62
martin.k.conank7172,"살인, 강간, 사기범들을 바로바로 사형시켰으면 이런 끔찍한 일이 다시 발생하지 않았잖냐. 멍청한 판세들아 쯔쯔쯔",20
gokinnation1034,2심 내린 판사는 재정신인가...레전드다 진짜 15년이 뭐냐 무기징역때려도 시원찮을 판이구만,23
user-nt1ok5hz3o,짐승도 이러진 않겠다 사형 부활시켜라...,17
user-up9fe7mo1q,"""사이코패스 검사""를 실시하지 말고, 사이코패스 검사와 판사를 조져야지... 어케 저런 사람을 고따위로 양형해서 쉽게 재범을 저지르게 만드나...쩝...",37
ilikemissy,"우리나라 판사들 꼭 자신이 살려준 살인,강간,폭행범과 영원히 이웃으로 살아야 천국 간다",17
xiapartzota,"사법부, 입법부의 무능함으로 사람이 계속 죽어가는걸 보고만 있는 대한민국 국민들이 참 대단하다. 언제까지 보고만 있을거야? 국민들이 뭐라도 해야 나라가 바뀐다",9
user-tp3kr6rf5e,강도. 살인범이 15년 밖에 안 살고 나오다니. 문제가 있다,17
user-ek1tv8ur6g,"왜 저런놈을 풀어줘서,,,사람을 죽게하냐,,,",15
sklee9295,"불과 얼마전 이런 사건 있지 않았나요?? 법이 물렁하니, 걸려든 피해자만 불쌍하네요.",17
user-dv9lg4zn4u,살인범들을 왜 풀어주는거냐??? 미친나라아니냐??? 내주변에 살인범들이 돌아다닐 수 있다고 생각하니 개소름돋네,20
user-cr4rg1pd9c,얼마나 많은 피해자가 더 생겨야 법이 강화될까,7
user-kw4kj5hf4z,살인은중독입니다 사회에 내보내는순간 희생자가 생기게됩니다 사회와 영원한겪리가 필요합니다,16
user-uy5rx3xl9g,국회의원 넘들아 사형제도 다시 부활 하자 법이 있으나 마나 하는간 미친인간들이 판 치는고 있잖아 국회의원 판사 검찰 일좀해라 답답하네,9
user-qf6io7pv5k,사형법 다시 부활시켜줘... 제발 사회에 복귀시키지마,8
user-nz2ck7fx1r,진짜 살인범들은 재범 시 그냥 무기징역 때려라,18
dyeverchem,형량 감경해준 고법 판사가 원흉임 그 판사 양심이 있으면 판사 사퇴하고 스스로 목숨을 끊기바람.,21
